,Latitude,Longitude,Name,Place_id,Type
0,43.336148,5.4825739,Allauch,ChIJEYyEEyiWyRIRcAWX_aUZCAQ,"[u'locality', u'political']"
0,43.3680228,5.5019158,Hotel Le Coin Tranquille,ChIJ_YyEEyiWyRIRBipEc-6IdU0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.36468,5.50659,Noel Albergne Travaux Publics,ChIJI45SNuqXyRIR-Wtr4kzVXEA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.361808,5.51921,Galerie de la Destrousse,ChIJW8z5yDKWyRIRFJfJQkSzIq0,"[u'point_of_interest', u'establishment']"
0,43.3630921,5.5008727,Garcia Ruggiero Isabelle,ChIJEZ1hGj2WyRIRxe7pFErADoM,"[u'point_of_interest', u'establishment']"
0,43.3630914,5.5006626,Dermaz Jean,ChIJezQRED2WyRIReCSM_AWrJOU,"[u'store', u'point_of_interest', u'establishment']"
0,43.3628645,5.5000266,Daumas Yvan,ChIJJw7HbD2WyRIR-hhhf6g36tg,"[u'point_of_interest', u'establishment']"
0,43.3628645,5.5000266,Garcia Rolland,ChIJJw7HbD2WyRIR9X1cOKGrNNE,"[u'point_of_interest', u'establishment']"
0,43.3628645,5.5000266,Petrillo Nicolas,ChIJJw7HbD2WyRIRpsz1F8zxzqk,"[u'point_of_interest', u'establishment']"
0,43.362954,5.500014,Low Cost Pieces Auto,ChIJJw7HbD2WyRIRrdrq93uK5Rs,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.362788,5.502428,Les Maurins,ChIJucYN7DyWyRIRQSPbe0Xnnvw,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.350805,5.4920628,Mcvd,ChIJP86tQfa9yRIRSCkrLc3McwU,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3559564,5.4919305,Excel Nettoyage,ChIJHcbDaxyWyRIR-IJ9V751QC8,"[u'point_of_interest', u'establishment']"
0,43.3569328,5.4914038,Résidence La Provence,ChIJjekNtQKWyRIR9dzPlYSNYHQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.3590839,5.4929412,Farrudja Benjamin,ChIJl23O0xuWyRIRo2hSVvRitpI,"[u'point_of_interest', u'establishment']"
0,43.3485254,5.4953141,Long Serge,ChIJt1KQlom9yRIRtgtpDEZhTiI,"[u'point_of_interest', u'establishment']"
0,43.3491055,5.494625,M2A,ChIJxZYPN_S9yRIRm6sOcFo05Hk,"[u'point_of_interest', u'establishment']"
0,43.3535942,5.4921559,Sci Papazian,ChIJncFPvx2WyRIRTKz9BIl_DKQ,"[u'point_of_interest', u'establishment']"
0,43.3539398,5.4920698,Cao Van Cuu Emmanuelle,ChIJ4Uc5gx2WyRIROqilIEJSYHE,"[u'health', u'point_of_interest', u'establishment']"
0,43.3498821,5.492792,Marinetti Jean Francois,ChIJN488Y_a9yRIRgr2hQJt8Nls,"[u'point_of_interest', u'establishment']"
0,43.3506897,5.4922818,Beltrando Etienne Alain,ChIJrebU8Pa9yRIRs-WcV6if-zs,"[u'point_of_interest', u'establishment']"
0,43.350805,5.4920628,Sci Vernot Desroches,ChIJP86tQfa9yRIRIsCro3Ubmfk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3530655,5.4914836,Pastore Gérard,ChIJK5ELmh2WyRIR8PqZwuoCb7U,"[u'electrician', u'point_of_interest', u'establishment']"
