,Latitude,Longitude,Name,Place_id,Type
0,43.703713,5.161234,Alleins,ChIJrfAxsTACyhIRjWNQgBC6SQ4,"[u'locality', u'political']"
0,43.708034,5.157142,Ekodome Guest House,ChIJtTdpbDECyhIR6-UHUmb0vPg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7031741,5.1602993,Mairie,ChIJ0S9bWDcCyhIRssmw6fyqSaE,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7051871,5.1549672,Vbm France,ChIJ1U-WRzACyhIRirAjuJ-akZc,"[u'point_of_interest', u'establishment']"
0,43.706196,5.153306,Association EUROPA FORMATION,ChIJw-Z7uDECyhIRmiTcAONbFOA,"[u'point_of_interest', u'establishment']"
0,43.7030853,5.1512736,Gamod Sarl,ChIJO-7pcyUCyhIRT39AXVM0Rlo,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.7051871,5.1549672,Mékicé,ChIJ1U-WRzACyhIRnPbkjXIfRGs,"[u'point_of_interest', u'establishment']"
0,43.704091,5.1569112,Chabaud Christophe Claude Michel,ChIJN6cckDACyhIRwF_ahgMNnS0,"[u'point_of_interest', u'establishment']"
0,43.704091,5.1569112,Spar,ChIJN6cckDACyhIRNnyyPbMhUwU,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7025246,5.1548525,AR MACONNERIE GENERALE,ChIJZ9tJvjoCyhIR72SVSdR2HFo,"[u'school', u'point_of_interest', u'establishment']"
0,43.702159,5.153812,Les Lavandes,ChIJO7-eyzoCyhIR8OnNwqedg18,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7035206,5.1596328,Chabaud Christophe,ChIJ0S9bWDcCyhIRnsEhTDTs8A0,"[u'point_of_interest', u'establishment']"
0,43.7035206,5.1596328,Tartines Et Calins,ChIJ0S9bWDcCyhIRilIVefrARbI,"[u'point_of_interest', u'establishment']"
0,43.704172,5.1604142,Esprit Sud Provence,ChIJn8nrazcCyhIRPmyn06HoBFE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.703431,5.1596224,Bullfighting Club Paul Ricard D'alleins,ChIJ0S9bWDcCyhIRxvUtNPnvOw0,"[u'school', u'point_of_interest', u'establishment']"
0,43.7034396,5.160961,Richaud Immobilier,ChIJB7BtfTcCyhIR5aWg_2hOmIc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.70345,5.160797,La flambée,ChIJ0S9bWDcCyhIRyE_MH6u51cU,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7034396,5.1609614,Noblimo,ChIJIWr_fDcCyhIR3TV49t-FWqs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7036943,5.1613124,Agence Immobilière des Associés,ChIJS9H4eDcCyhIR5V9yROiPfGE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7041243,5.1620266,L' Animateur de vos soirées CDJ Antony,ChIJdeZNlzcCyhIR6vjaboDl1kM,"[u'point_of_interest', u'establishment']"
0,43.7037633,5.1618655,Heaven Eye - Fanny Manovelli,ChIJRbNjgzcCyhIRTiY2j_IIdss,"[u'point_of_interest', u'establishment']"
0,43.7034963,5.1617526,Post Office,ChIJq4ughjcCyhIRCvamtgLqvik,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.703203,5.161838,House Pizza,ChIJ1QtDhzcCyhIRyFnrnsVBl3k,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.703555,5.1591336,Multi Accueil Pitchounets,ChIJlzrHVTcCyhIRuGmue39omeM,"[u'point_of_interest', u'establishment']"
0,43.706732,5.1528409,unnamed,ChIJUbfwOi4CyhIRz67s0bS053s,"[u'point_of_interest', u'establishment']"
0,43.7049073,5.1536473,Penot Berger Suzanne,ChIJI6H43y8CyhIRc-YOMLYPW94,"[u'point_of_interest', u'establishment']"
0,43.7049073,5.1536473,Gouget Geneviève,ChIJI6H43y8CyhIRbbym1CIaXGo,"[u'health', u'point_of_interest', u'establishment']"
0,43.7049073,5.1536473,Audipub,ChIJI6H43y8CyhIR5tazKAty5lM,"[u'point_of_interest', u'establishment']"
0,43.7049073,5.1536473,Dubois Stéphane,ChIJI6H43y8CyhIR_Gn3t8P98Qc,"[u'point_of_interest', u'establishment']"
0,43.704818,5.153632,Menc Bernard,ChIJI6H43y8CyhIR16oGeVHA7oA,"[u'point_of_interest', u'establishment']"
0,43.705233,5.155011,Evrard Nicolas,ChIJ5WmWRzACyhIR2hVfv8erszs,"[u'point_of_interest', u'establishment']"
0,43.7051871,5.1549672,Aix Dep'Elec,ChIJ1U-WRzACyhIRrh82uCn9-HM,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.7051871,5.1549672,Raynaud Pierre,ChIJ1U-WRzACyhIRvRai6BW8NnA,"[u'food', u'point_of_interest', u'establishment']"
0,43.705187,5.154967,Chez Buchette,ChIJ1U-WRzACyhIR2XJO2d52V2c,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7058562,5.1563215,PLOMBIÊR Arnould,ChIJ3SDe_zACyhIRKY9_TP5BAt0,"[u'point_of_interest', u'establishment']"
0,43.7072732,5.1571033,Lubatti Jean-Luc,ChIJ5S46bDECyhIRjAUOH_HyuWE,"[u'point_of_interest', u'establishment']"
0,43.7072732,5.1571033,JL Batt,ChIJ5S46bDECyhIR_vvouAUueVE,"[u'point_of_interest', u'establishment']"
0,43.7072774,5.157257,Favaro Eurl,ChIJtTdpbDECyhIRefITlsxs86w,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.7068729,5.1584504,Association Horizon,ChIJs3MkNjECyhIR9tEzrxdLbqk,"[u'point_of_interest', u'establishment']"
0,43.7041663,5.1569793,L Instant Detente,ChIJN6cckDACyhIR_oFGkamiBkA,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.704091,5.1569112,Beau Stephanie,ChIJN6cckDACyhIRCY0lfTJqthM,"[u'point_of_interest', u'establishment']"
0,43.7030478,5.1572313,les restanques de collongue,ChIJOcneczoCyhIRmTMe719Oj-k,"[u'point_of_interest', u'establishment']"
0,43.706566,5.160471,Lubatti Didier,ChIJ3x5V6TYCyhIRK_dugZHUDtI,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.7034233,5.1595391,Savella et fils,ChIJObU8WDcCyhIRKYm4UBNBF9g,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.711486,5.159668,Balastre Michel Edouard Cypri,ChIJ147hljQCyhIRNfVzSklO5GE,"[u'food', u'point_of_interest', u'establishment']"
0,43.7047375,5.1608595,Nouvelles Technologies Diffusion,ChIJWT6QDTcCyhIRHAfAU_m5kbI,"[u'point_of_interest', u'establishment']"
0,43.704624,5.1607991,Snowden-Bourret Jeanne,ChIJ49i8DTcCyhIRPGJsFrqoz6o,"[u'point_of_interest', u'establishment']"
