,Latitude,Longitude,Name,Place_id,Type
0,43.676647,4.6277769,Arles,ChIJzRRIXQdythIRUAWX_aUZCAQ,"[u'locality', u'political']"
0,43.5525916,4.6681595,Manade Blanc,ChIJPx0ntWxythIRFuQim9vE5Ds,"[u'food', u'point_of_interest', u'establishment']"
0,43.5525294,4.668417,Domaine De Paulon,ChIJAZMaEWt2thIRqGbwHbacTFM,"[u'point_of_interest', u'establishment']"
0,43.5592316,4.6720541,SAS Silos de Tourtoulen,ChIJ--NPZGptthIRedQ0bZXUctc,"[u'point_of_interest', u'establishment']"
0,43.557595,4.664974,13200,ChIJjQTKuhRythIRRci9zXnLmCo,"[u'point_of_interest', u'establishment']"
0,43.558174,4.666139,Société Agricole du Mas de Guinot,ChIJiWYDNmtythIRDEimgeavwsA,"[u'point_of_interest', u'establishment']"
0,43.558174,4.666139,Crozat Sylvie,ChIJiWYDNmtythIRjmQGsIkdQVg,"[u'health', u'point_of_interest', u'establishment']"
0,43.5480468,4.6815588,Mas Colombeau,ChIJqx15c3xythIRmNdtdRLag9Q,"[u'food', u'point_of_interest', u'establishment']"
0,43.5353624,4.6443431,Centre d'information de la Réserve Nationale de Camargue,ChIJN8SGOAluthIRTB3FYUENfRU,"[u'park', u'point_of_interest', u'establishment']"
0,43.453241,4.429074,Saintes-Maries-de-la-Mer,ChIJexX9dpdhthIRLWbvPeXuCYM,"[u'locality', u'political']"
0,43.567705,4.667387,La Chassagnette,ChIJh84ZFkdythIRGzvBRr819xA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.570908,4.6552049,Plo Florent,ChIJQZtiTCVythIRKb3wjH6KloQ,"[u'food', u'point_of_interest', u'establishment']"
0,43.570908,4.6552049,Plo Jean-Louis Aime,ChIJQZtiTCVythIRVoYnhGgrrGw,"[u'point_of_interest', u'establishment']"
0,43.513239,4.669909,Unnamed,ChIJI2j2W7dtthIROrdP77zlgLA,"[u'point_of_interest', u'establishment']"
0,43.57817,4.66494,Cartier Pierre,ChIJBRZemjVythIRxhE2AkWtRzc,"[u'point_of_interest', u'establishment']"
0,43.568891,4.679448,L'Armellière,ChIJr54LT1pythIR3bY0odbZUiU,"[u'premise', u'point_of_interest', u'establishment']"
0,43.565696,4.6428269,Tardieu Marie,ChIJAZMaEWt2thIRpr0GCiz-X7I,"[u'food', u'point_of_interest', u'establishment']"
