,Latitude,Longitude,Name,Place_id,Type
0,43.707188,4.947103,Aureille,ChIJZeXNfpj9tRIRXhxghP8hHEU,"[u'locality', u'political']"
0,43.6958179,4.9370821,LE MOULIN A HUILE D'AUREILLE,ChIJAbDVGp39tRIRSmjRjfrfqsc,"[u'point_of_interest', u'establishment']"
0,43.705771,4.9447329,Le Mas de l'Etoile,ChIJsZigl5j9tRIRqadixnVZ1B8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7040622,4.9428533,AUREILLE,ChIJo3QkiKL9tRIRUZtAqOhPgA8,"[u'point_of_interest', u'establishment']"
0,43.7000039,4.9477553,Alpilles Bâtiments,ChIJ7VQPG5f9tRIRLqjmsBTTiGI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.703974,4.938957,Le Balcon des Alpilles,ChIJp2v31gqmsRIRvkMIWPTm26Y,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7065747,4.9473715,Art Immo Sud - Gregory Lelievre,ChIJ78ad7bz9tRIRgODGS5IRd9M,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.699093,4.936623,Migliaccio Boue de Lapeyrere G,ChIJc2FydJ79tRIRqyVfv0fZtxE,"[u'spa', u'point_of_interest', u'establishment']"
0,43.695741,4.9383187,Provence Jardin,ChIJh5lL5Zz9tRIRzCvJJvAQPH4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.70619,4.947802,Aide à Domicile en Milieu Rural,ChIJ43s497z9tRIRvib5UzKgbdg,"[u'point_of_interest', u'establishment']"
0,43.70698,4.94626,Alpilles Villas Soleil,ChIJDYykubz9tRIRD9q4wDdzZM4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7065613,4.9488255,Mairie,ChIJwYaNirz9tRIRFYWbScL1Zmc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.70655,4.94777,La Table des Alpilles,ChIJjf_q9bz9tRIR375j4ZkRZ_A,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7068625,4.9485725,Alonso Gerard,ChIJ55pXZrz9tRIR8ZK7r1h5BnA,"[u'point_of_interest', u'establishment']"
0,43.7073772,4.9471148,Andreux Bernard,ChIJddQcmrz9tRIRycIOjcS7QyE,"[u'point_of_interest', u'establishment']"
0,43.7073334,4.9478355,Arlot Louis,ChIJF_1Mhrz9tRIRLlKUiAFMfY4,"[u'point_of_interest', u'establishment']"
0,43.705584,4.936292,Plaisirs et Maisons de Provence,ChIJE_gLZ6D9tRIRbCW5x6iaOxc,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7027017,4.9417457,Merlo-merlera Roger Robert,ChIJsZigl5j9tRIRdcjwKD7n0Gc,"[u'point_of_interest', u'establishment']"
0,43.7027017,4.9417457,Tudela Niel Helene Jeanne Charlotte,ChIJsZigl5j9tRIR3QSzcXReICU,"[u'point_of_interest', u'establishment']"
0,43.7027103,4.9416219,Pelissier Frédéric,ChIJsZigl5j9tRIRnPtC0qvjjJs,"[u'point_of_interest', u'establishment']"
0,43.7027103,4.9416219,Peronnet Borie Marie Therese,ChIJsZigl5j9tRIRcL_fFo7P_Us,"[u'point_of_interest', u'establishment']"
0,43.7027103,4.9416219,Mounier Francois,ChIJsZigl5j9tRIRaiHvvHHY1jw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.702872,4.940641,unnamed,ChIJw50Frpj9tRIRGInLRBJWOC0,"[u'point_of_interest', u'establishment']"
0,43.7016319,4.939497,Moulin de Saint-Roch,ChIJB-cjJZ_9tRIR3JSe2ik3sP0,"[u'point_of_interest', u'establishment']"
0,43.7040704,4.9428043,Il était une fois la Lavande...,ChIJGaiMYqL9tRIR3MUHuCSRv4c,"[u'point_of_interest', u'establishment']"
0,43.6979813,4.9387868,P.t.m.,ChIJ8_IBGH79tRIRdhIZxXQkp_I,"[u'point_of_interest', u'establishment']"
