,Latitude,Longitude,Name,Place_id,Type
0,43.369174,5.631363,Auriol,ChIJnwChvsiYyRIRhBJ00_v5MCo,"[u'locality', u'political']"
0,43.3636199,5.6584875,Appart'Hôtel Les Rochers,ChIJr9kEoVmfyRIR-aFFO2csFnc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.361154,5.655678,Provence Aventure Auriol,ChIJ_fMdwUWfyRIRivCb_fZv88o,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.358821,5.661674,La Maison du Légionnaire,ChIJE6bSuEKfyRIREkE2iMeejYU,"[u'health', u'point_of_interest', u'establishment']"
0,43.3602686,5.6639414,Tennis Club Auriolais,ChIJc33axEGfyRIRAJgVm8UNqH4,"[u'point_of_interest', u'establishment']"
0,43.362488,5.660203,Mobilier & Patines - Denis Laloy,ChIJo108aEefyRIRbjLEBzSxfhA,"[u'point_of_interest', u'establishment']"
0,43.3600515,5.6480173,Bati Services,ChIJXbSwc0ufyRIRPXW3pO08I0c,"[u'point_of_interest', u'establishment']"
0,43.3575406,5.6591009,Sma France,ChIJN7Z4M0SfyRIRmdtGSwolzmI,"[u'store', u'point_of_interest', u'establishment']"
0,43.357942,5.6643169,Adequat Diagnostic,ChIJgcQSK0KfyRIR1LEPsLLHQjY,"[u'point_of_interest', u'establishment']"
0,43.363037,5.666744,Auriol diesel auriol,ChIJ_z5I_j-fyRIRC14b-0JPIIs,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.359969,5.647968,Casanova Casanova Respaud Martine,ChIJXbSwc0ufyRIR0gUafD5nuQ4,"[u'point_of_interest', u'establishment']"
0,43.369618,5.656929,Mil Remorques Auriol,ChIJb1IFcjqfyRIRiw-xsBqlzkg,"[u'store', u'point_of_interest', u'establishment']"
0,43.367414,5.652401,VINCENT JACQUET OSTEOPATHE,ChIJ3XqjwDafyRIR1TBnSuDz6-U,"[u'health', u'point_of_interest', u'establishment']"
0,43.3677074,5.6517577,J & B Forme,ChIJLf17xsWYyRIRZeVhQIkhXDQ,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.3641733,5.6482789,Sourdet Sourski Sandrine,ChIJg3vjeDWfyRIRTwGMVHSj8y4,"[u'point_of_interest', u'establishment']"
0,43.36752,5.652154,Jeanine Angelini réflexologue,ChIJGXswuTafyRIR55Q5MiSuBV0,"[u'health', u'point_of_interest', u'establishment']"
0,43.367528,5.652079,Salle Lavande - SCI Vallée de la Vède,ChIJB65auTafyRIR0GWp9qcjirs,"[u'point_of_interest', u'establishment']"
0,43.367593,5.651923,CREATY,ChIJe-KiuzafyRIRrSwdpC4OYEA,"[u'point_of_interest', u'establishment']"
0,43.3691026,5.65577,Sécuritest - Auto bilan du pujol,ChIJnwChvsiYyRIR5yc16E2tyDk,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.357755,5.666897,Les Hélianthes,ChIJHwsM_mmfyRIRgsoS2x7y5b4,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.369018,5.65458,Docteurs Aymeric-Cuingnart et Djelalian,ChIJAX6JwTCfyRIRIc_NcXeAjDI,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.369212,5.654665,Clinique Vétérinaire du Loriot,ChIJlWPiwzCfyRIRWHOG7-_37Fg,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.3691889,5.6548619,Les Maisons Gautier,ChIJu9oC_cWYyRIRVscZqjdOwo0,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.368134,5.651403,Be-bop Salsa Club - Auriol,ChIJrdcDrDafyRIRXCTY7Y_Ek08,"[u'point_of_interest', u'establishment']"
0,43.368081,5.651232,Les Salons de Véde,ChIJj34v4dCeyRIRVlhdHAd-004,"[u'point_of_interest', u'establishment']"
0,43.369682,5.656611,CTS FRANCE/ Climatique et Thermique Service,ChIJAX6JwTCfyRIRT5aVubCYOLg,"[u'point_of_interest', u'establishment']"
0,43.358848,5.661678,13390,ChIJZSGRUkGfyRIRx15KXZP_Zt0,"[u'health', u'point_of_interest', u'establishment']"
0,43.360286,5.6636307,Gravost Maurice,ChIJ4TefBEGfyRIRcq4MWPoK2M8,"[u'point_of_interest', u'establishment']"
0,43.362524,5.66334,Menard Gambetta,ChIJE6bSuEKfyRIRX_jxe94muYs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.362524,5.66334,ADCGG13,ChIJzyhbmkCfyRIRMlYNX9WVf4g,"[u'point_of_interest', u'establishment']"
0,43.362524,5.66334,Journeux Pierre,ChIJE6bSuEKfyRIR1LA_kGe-9Hw,"[u'point_of_interest', u'establishment']"
0,43.362524,5.66334,Serre Smagghe Christiane,ChIJE6bSuEKfyRIRSm1bNe8jgmE,"[u'health', u'point_of_interest', u'establishment']"
0,43.3568183,5.6590252,Berthier Christine,ChIJQfSuTESfyRIReQVQvIHl6Sc,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.360432,5.6520829,AGCAJUP Centre D'Auriol Eclaireurs Unionistes De France,ChIJ93fNbUmfyRIR7OCk4SIEO2c,"[u'point_of_interest', u'establishment']"
0,43.362339,5.652149,Madame Lecomte Caroline,ChIJp2_PlEmfyRIRhuTMUNV-atk,"[u'point_of_interest', u'establishment']"
0,43.362339,5.652149,Mayan,ChIJp2_PlEmfyRIRVgWluzuouLQ,"[u'point_of_interest', u'establishment']"
0,43.362339,5.652149,Compagnone Philippe Denis,ChIJp2_PlEmfyRIRGERFiE3GXas,"[u'point_of_interest', u'establishment']"
0,43.359152,5.665123,VOISIN PIERRE,ChIJQyOMlkGfyRIRwp7gFVDnc1A,"[u'finance', u'point_of_interest', u'establishment']"
0,43.357942,5.6643169,Jpb Electric Belot,ChIJgcQSK0KfyRIRSG5yDDcfmCQ,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.35749,5.665805,Gîte des Arbousiers,ChIJxVb9GUKfyRIR6_FXZxzSD8I,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.3617225,5.6495444,Berardi Jacques,ChIJGyMlxEafyRIRW3Mxf8UUjYk,"[u'point_of_interest', u'establishment']"
0,43.3617225,5.6495444,Tejas Alain,ChIJyc3LSUqfyRIRMvbAZcdpsoI,"[u'point_of_interest', u'establishment']"
0,43.3600515,5.6480173,Gazaud Eric Robert,ChIJXbSwc0ufyRIRW3Qq5nMF88w,"[u'hair_care', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3600515,5.6480173,Duburg Pecharroman Isabelle,ChIJXbSwc0ufyRIRyVO8wnXIAHc,"[u'point_of_interest', u'establishment']"
0,43.3600515,5.6480173,Barnier Gibelli Regine Raymonde,ChIJXbSwc0ufyRIR97ubWNCWpko,"[u'food', u'point_of_interest', u'establishment']"
