,Latitude,Longitude,Name,Place_id,Type
0,43.8986159,4.747895,Barbentane,ChIJj765TZXptRIRKwkkUm9u3Xc,"[u'locality', u'political']"
0,43.8995634,4.7467208,Le Saint Jean,ChIJp64n7sDptRIRjSRr-CsGsIg,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8924753,4.7467518,mas de bassette,ChIJmxi-ccjptRIR0M6cD7JwkE0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8995721,4.747488,Office du Tourisme,ChIJWyv_kcDptRIRG52lZsBiib8,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.9004852,4.7474798,Château de Barbentane,ChIJW_uyicDptRIRx-W1A1Iknbc,"[u'point_of_interest', u'establishment']"
0,43.899231,4.748653,Immobilière de Provence,ChIJJ-T4Yr_ptRIR_R0Et325Q2c,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.899191,4.74678,La Paloma,ChIJ15VF6cDptRIRYUMKHgqlnsE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8990731,4.7480873,Pizzeria de la Tour,ChIJBV5EmcDptRIRt-icYqVBfAc,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8990603,4.7460429,Maison de Retraite Barbentane La Raphaële,ChIJw3-W5MDptRIRZFoeBF39qAE,"[u'health', u'point_of_interest', u'establishment']"
0,43.9011717,4.7553213,Barbentane immobilier,ChIJLQC9lr3ptRIRvZYrYet01p0,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.899314,4.746437,La Paloma Maison d'hôtes,ChIJK_Dq5cDptRIRg5kQHcVK9vo,"[u'travel_agency', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.90005,4.74567,Fosco Sarl,ChIJ-QL7AMHptRIRl8F5QfncHQs,"[u'moving_company', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8994856,4.7485802,Le Romarin,ChIJa7_OYr_ptRIRBAJMd1UJ4Yg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8993765,4.7489287,Infobureau.com,ChIJG8Coxc3rtRIRFtQj6RqIM7s,"[u'store', u'point_of_interest', u'establishment']"
0,43.900955,4.7497408,Ecole Notre Dame,ChIJT0yxlb_ptRIRlIP83wH8Y28,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8996581,4.7479548,Aladin et la Princesse,ChIJE9H8j8DptRIRMCipJDMPjW4,"[u'point_of_interest', u'establishment']"
0,43.899515,4.747102,L'Atelier - Design d'espace,ChIJYaJY7cDptRIRxfmZn8mraXU,"[u'point_of_interest', u'establishment']"
0,43.8993327,4.7476776,Crédit Agricole Alpes Provence,ChIJYfAv7MDptRIRYISwkrbauFQ,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8982676,4.7443655,Anaphore,ChIJYQz7SMHptRIRrgPlWGANsug,"[u'point_of_interest', u'establishment']"
0,43.899521,4.747906,Sitexprim,ChIJLwA6hcDptRIRfLbhK3GrtwU,"[u'point_of_interest', u'establishment']"
0,43.899282,4.749876,Caisse d'Epargne Barbentane,ChIJW_n6Er_ptRIRin6UwYQcCFk,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.8995721,4.747488,Le Forum de la Tour,ChIJWyv_kcDptRIRKzV4TrMaXU4,"[u'point_of_interest', u'establishment']"
0,43.8987,4.74774,SARL Sabatier Guillaume,ChIJdSU0-sjotRIRD3qwkPXByzQ,"[u'point_of_interest', u'establishment']"
0,43.8986015,4.7469029,La Mondragona,ChIJnacox8DptRIR7xYgRyXTq0o,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8987,4.74774,Provence-plats,ChIJt3XDvMDptRIRs4mXoccT8yc,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8947784,4.7454989,Gaudin Conte Gaudin Veronique,ChIJewvf9cbptRIRI9rrJdFN8yI,"[u'point_of_interest', u'establishment']"
0,43.8987,4.74774,Standance,ChIJt3XDvMDptRIR6sigKIYQRrA,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.899578,4.7478969,Post Office,ChIJt3XDvMDptRIREI_lPG1KUEI,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.9000596,4.7518198,Commune de Barbentane,ChIJWyv_kcDptRIRAeKKXQWYISM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8996564,4.7476127,Créapassion,ChIJw4GKjsDptRIRMihuCPrG1Hs,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8917384,4.7479013,Chambres d'hôtes,ChIJASyQGMjptRIRwkxwGIGObqo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.899564,4.750997,Isa Créations,ChIJ01t0Ar_ptRIRuITvv_DcpYs,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.8982251,4.7456336,Euro Logiciel Service,ChIJaeYeKcHptRIR7JEtJPhFeTM,"[u'point_of_interest', u'establishment']"
0,43.8990731,4.7480873,Pizzeria de la Tour,ChIJg9w7mcDptRIRaW5fbn3c54Q,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8992548,4.7476353,Frédéric Maigne - Un matin sans nuage,ChIJF9AgkcDptRIR21-f86cK7QY,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.9001907,4.750221,Art Informatique,ChIJsxtUVL7ptRIRcojj3mRRRBw,"[u'point_of_interest', u'establishment']"
0,43.8995026,4.7480165,Snc Tabac Le Gege,ChIJAV_OhMDptRIRsivJjS6XqXE,"[u'store', u'point_of_interest', u'establishment']"
0,43.8995909,4.7505543,Octopussy Prod,ChIJqTS1Bb_ptRIRVSlMoAFXxEI,"[u'point_of_interest', u'establishment']"
0,43.8990661,4.7460195,Ehpad Intercommunal La Raphaële,ChIJZVY-48DptRIRjVucFUWhACE,"[u'health', u'point_of_interest', u'establishment']"
0,43.8994773,4.7471107,La Mam Gribouille,ChIJ5TBF7cDptRIRGW05gvGTJ9k,"[u'point_of_interest', u'establishment']"
0,43.8995659,4.7469381,Mairie,ChIJKxsJnL_ptRIRB309atjdezE,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.89988,4.7473852,Mairie,ChIJLRa-i8DptRIR6Rn_5OPV9Iw,"[u'point_of_interest', u'establishment']"
0,43.9000928,4.7531017,Nectar de Code,ChIJmwaafL7ptRIRGATicNZzOPs,"[u'point_of_interest', u'establishment']"
0,43.8981283,4.7415671,Vavasseur Isabelle,ChIJgb-39cPptRIR_k13DGupegE,"[u'point_of_interest', u'establishment']"
0,43.9007628,4.7490724,A VOT' SERVICES,ChIJE5LOlr_ptRIR_pGUYeezKmI,"[u'point_of_interest', u'establishment']"
0,43.8990115,4.7421207,Association les Bois Sans Soif,ChIJRRYj68PptRIRFXip9jaTSoY,"[u'point_of_interest', u'establishment']"
0,43.9004756,4.7541665,Banque Chaix,ChIJLRna2r3ptRIRJ4OMrxLUBKo,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.8989579,4.7414252,Astro Plomberie Sarl,ChIJDVaml8PptRIR-XJ9gWx7wXY,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.8989773,4.7413172,ASTRO Sanitaire & Thermique,ChIJY5YqmMPptRIRos9y_6JXvQo,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.892729,4.75889,Grosfillex,ChIJWzWWVKXptRIRRxIC636htJI,"[u'point_of_interest', u'establishment']"
0,43.9013445,4.7447857,Optique Thiery,ChIJ6Yq9v8HptRIReo25WANZhB0,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.9010814,4.7552657,Auto Ecole Barbentane,ChIJ0VI8eL3ptRIRauKG5M_Xojo,"[u'point_of_interest', u'establishment']"
0,43.901804,4.754183,Moucadeau Benjamin Ostéopathe,ChIJe8pD-r3ptRIRiz9JZPPWUWM,"[u'health', u'point_of_interest', u'establishment']"
0,43.9024452,4.7526688,Axiom Immobilier,ChIJnaI68b3ptRIRwYt5Y_kayiU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.901771,4.7555803,Pizza de la Forge,ChIJY2F5zNjptRIR-VRoLoZsvvA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.899904,4.750087,Me Pierre JEAN - Notaire,ChIJN_eEEr_ptRIR60Jam0pkTDE,"[u'finance', u'point_of_interest', u'establishment']"
0,43.9016358,4.7563854,Deurrieu Frères Sarl,ChIJRVU0fL3ptRIRlOKtyBM7b3M,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.9001858,4.7470826,ASA Irrigation de Barbentane,ChIJBRJyX8DptRIRhOo9TUwrjqY,"[u'point_of_interest', u'establishment']"
0,43.9012259,4.7500813,Rey Andre,ChIJv02jlb_ptRIRNu1MmiX5bnE,"[u'point_of_interest', u'establishment']"
0,43.8989695,4.740168,Rey Marie Claire,ChIJ0X9mcsPptRIRWCJQxJY1B30,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8853719,4.754564,13570,ChIJsR59drPptRIRvMQIz1Sv5gw,"[u'point_of_interest', u'establishment']"
0,43.8844562,4.7547752,SCEA Vignaud Et Filles,ChIJjX6OarPptRIRJco4PZyNFsY,"[u'point_of_interest', u'establishment']"
0,43.884367,4.7547911,Bou Pierre,ChIJjX6OarPptRIRjSg2hFL_YWU,"[u'point_of_interest', u'establishment']"
0,43.884241,4.754909,Vincent Nicolas,ChIJsQgLQLPptRIRduVnDedred0,"[u'point_of_interest', u'establishment']"
0,43.884778,4.756647,Les Carrières,ChIJr27E5LLptRIRk9zbUQErwZU,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.905778,4.759929,La Chinquine,ChIJdcid65nptRIR2ThvQqrqumM,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.903527,4.7467493,Axe Communication,ChIJ50QBkerptRIRqgWHOAalumA,"[u'point_of_interest', u'establishment']"
0,43.9025036,4.7572778,Skulte coiffure,ChIJuxUwAXTptRIRzi98P_cbHf4,"[u'hair_care', u'health', u'point_of_interest', u'establishment']"
0,43.9028971,4.7419649,Mairie,ChIJKxsJnL_ptRIRiIuC4v0n6FQ,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.9046749,4.7596096,Le Nettoyage Professionnel,ChIJ_xJoNJ3ptRIRW4yF7XRVYdI,"[u'point_of_interest', u'establishment']"
0,43.9022977,4.7595835,Provence Dauphine,ChIJL3vGCJjptRIRFBCrQYqNYDo,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.9088599,4.7577117,cecilesthetiquebio,ChIJTywAjJDptRIR8XE1CLNwM_o,"[u'spa', u'health', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.9029429,4.7605857,Fabretti Catherine,ChIJIa4EaZjptRIRsnmzbHvFQFs,"[u'health', u'point_of_interest', u'establishment']"
0,43.8976362,4.7649819,Logis Hôtel Castel Mouisson,ChIJ_zPxYqjptRIRw31aktpRiyQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8978685,4.7641873,Golf In Tete,ChIJ0c-zYajptRIROwLIjHuC7to,"[u'point_of_interest', u'establishment']"
0,43.896722,4.766286,Laumaco,ChIJB3dy1KbptRIRt8hE8DcuK9U,"[u'point_of_interest', u'establishment']"
0,43.9010232,4.7644274,Ecal,ChIJjakC8aHptRIRBNZ5zF4V0t0,"[u'point_of_interest', u'establishment']"
0,43.90232,4.765008,TFT,ChIJZz6xXJ_ptRIRnrYERxTti84,"[u'point_of_interest', u'establishment']"
0,43.90232,4.765008,Primsud,ChIJZz6xXJ_ptRIRnXJ4mFLmnpI,"[u'point_of_interest', u'establishment']"
0,43.8984687,4.7640864,Salle Le Manoir,ChIJw5mRYaHptRIRxowUEb1BfHI,"[u'point_of_interest', u'establishment']"
0,43.899466,4.762622,Sautrot Martine,ChIJ3UtLtaPptRIRjMyFAVzl4p0,"[u'point_of_interest', u'establishment']"
0,43.8967998,4.7662495,Sci les Mourgue,ChIJV3SQ06bptRIRBHEm746mV_8,"[u'point_of_interest', u'establishment']"
0,43.8967998,4.7662495,Giband René,ChIJV3SQ06bptRIRFSGjkgaUxAY,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8997124,4.764351,Gautier Marcel Charles,ChIJI-pZgaHptRIRpFlNGWB05KI,"[u'point_of_interest', u'establishment']"
0,43.9010814,4.7552657,Azzopardi Julien,ChIJZyd6lr3ptRIRTtaPtZbPenc,"[u'point_of_interest', u'establishment']"
0,43.9009119,4.7546487,Carosserie Chauvet,ChIJh9iSwb3ptRIR286p9kL1EOI,"[u'point_of_interest', u'establishment']"
0,43.9004142,4.7529904,Barbentane location,ChIJV1UAV77ptRIRfXx8iGW2AJc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.9000975,4.7523478,Galperine Evelyne,ChIJkbFlYL7ptRIRRNO_4O0wXkg,"[u'point_of_interest', u'establishment']"
0,43.8975834,4.7670753,Baud Marcel,ChIJeXX02qDptRIR8rYChgg6pNY,"[u'point_of_interest', u'establishment']"
0,43.9015449,4.7566427,Nature Beaute,ChIJk3Fuer3ptRIRbRWc1ZVyvJQ,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.9014475,4.7558764,Nem d'Asie,ChIJ65hFm73ptRIRz-t-dN76-YA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.9015196,4.7559898,Arnaud Hervé,ChIJOZlJg73ptRIRYHGvAbcH9pA,"[u'point_of_interest', u'establishment']"
0,43.897148,4.749189,13570,ChIJTxxHsLjptRIRCF44tTVVyaw,"[u'parking', u'point_of_interest', u'establishment']"
0,43.9004091,4.7526063,Bertaud Michel Etienne,ChIJix8TZr7ptRIR0A5E9pYLODw,"[u'point_of_interest', u'establishment']"
0,43.9003034,4.7642587,Reset,ChIJMSmcKKLptRIRpsz9ICgGa3Q,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.898212,4.749844,13570,ChIJFQiKN7_ptRIR_-rAtcw0IPg,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.901775,4.7575559,Johanna Rodriguez Biscarrat,ChIJH2MhZ73ptRIRjxBn-Q3ARYI,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.898291,4.729389,S.a.r.l. Bernard,ChIJY2F5zNjptRIRzeTPZpJXPpQ,"[u'point_of_interest', u'establishment']"
0,43.898866,4.729281,Yoga Alpilles Durance,ChIJO6XpNt_ptRIRtBps6gSoJPk,"[u'point_of_interest', u'establishment']"
0,43.8947306,4.7430307,Stade Rampale,ChIJNzpt2cXptRIRWBmXTV7mLMk,"[u'park', u'point_of_interest', u'establishment']"
0,43.8955645,4.7450007,Tarrieu Jacques,ChIJewvf9cbptRIRfIouJM20dUk,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.8955645,4.7450007,Mariotti Adrien,ChIJewvf9cbptRIRqNHUavNvVRE,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.8982958,4.741841,Olives Jose,ChIJM82OjMPptRIRGWUHNw3C2SY,"[u'point_of_interest', u'establishment']"
0,43.8985731,4.7402147,Abis,ChIJXSljesPptRIRLX_YQR7DStE,"[u'point_of_interest', u'establishment']"
