,Latitude,Longitude,Name,Place_id,Type
0,43.5114189,5.546729,Beaurecueil,ChIJaQQRqe2PyRIR0ASX_aUZCAQ,"[u'locality', u'political']"
0,43.5171107,5.5412072,Camping Sainte Victoire,ChIJ0YJE4emPyRIRNRYi1KhpT_E,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.5169476,5.5418317,Poney-Club De Canto-Grihet,ChIJ4zMJ6-mPyRIRXqCXDcamnG4,"[u'point_of_interest', u'establishment']"
0,43.5208098,5.5466359,domaine départemental de Roques Hautes,ChIJdy6AkOyPyRIRfD6G6tl9DZA,"[u'point_of_interest', u'establishment']"
0,43.5196479,5.543585,13100,ChIJA0CUreuPyRIRx63tpaxiKuI,"[u'point_of_interest', u'establishment']"
0,43.5189575,5.5405675,C.I.P (Centre Informatique et Prospective),ChIJ4dCp4cGPyRIRPaMdBwhDo4c,"[u'point_of_interest', u'establishment']"
0,43.5169476,5.5418317,Ielli Marc Michel Louis,ChIJ4zMJ6-mPyRIRPLVl5iVu73s,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5169476,5.5418317,Perin Riz Chantal,ChIJ4zMJ6-mPyRIRSex1dCAL0Ec,"[u'point_of_interest', u'establishment']"
0,43.515967,5.543217,Renov'construction Du Mid,ChIJt9RkqOmPyRIRNh48crFzkTo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.516084,5.541867,13100,ChIJDakrxumPyRIRtcSmWrybqKE,"[u'point_of_interest', u'establishment']"
0,43.518757,5.583172,Saint-Antonin-sur-Bayon,ChIJH-NIECKFyRIR8P-W_aUZCAQ,"[u'locality', u'political']"
0,43.521487,5.512822,Le Tholonet,ChIJTWEEQjaOyRIR-c-wm2pWcE8,"[u'locality', u'political']"
0,43.5065257,5.5427419,Mas De La Bertrande,ChIJJ9Iz-PuNyRIRieYQZl_K8OU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.512408,5.543457,La Table de Beaurecueil,ChIJ38Q7duaPyRIRjsN9Slb8kVs,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.5105973,5.5447457,Mairie de Beaurecueil,ChIJAcYsZeaPyRIRYkbRi4XFapM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5110617,5.5452576,ONAC,ChIJAcYsZeaPyRIRhmYyePWeDds,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Le Garde,ChIJdxaadOaPyRIR1lFZidexWrE,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Mx World,ChIJdxaadOaPyRIRWc6RIwfNSK8,"[u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Lepizzera,ChIJdxaadOaPyRIRgi_n7Jp4Lk8,"[u'point_of_interest', u'establishment']"
0,43.509532,5.546302,Plomberie Magnan et Chaix,ChIJv8dXIeSPyRIRn1YnOJUEV08,"[u'point_of_interest', u'establishment']"
0,43.5051737,5.5415717,Les Ecuries Du Maistre,ChIJH6-T6OCPyRIR90ql6aKAC1A,"[u'point_of_interest', u'establishment']"
0,43.5124041,5.544858,Ehpad Château de Beaurecueil,ChIJf1iWJOaPyRIRKLFmNPKBi-Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Baron Olivier,ChIJdxaadOaPyRIR-ZpwmIk4vO4,"[u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Chevillard Luc,ChIJdxaadOaPyRIRisWGby_LcNY,"[u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Del Giudice Romain,ChIJdxaadOaPyRIRmNB4_J1RpE4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.511594,5.545687,Bastin Bernard,ChIJdxaadOaPyRIRS2XHxYx6vhs,"[u'finance', u'point_of_interest', u'establishment']"
0,43.511241,5.546042,Sarlin Paule,ChIJ38Q7duaPyRIRKC4R-J1bSts,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.51124,5.54604,Letellier Massonnat Yseult Gilberte,ChIJ38Q7duaPyRIRJydRyO1tOfQ,"[u'point_of_interest', u'establishment']"
0,43.51124,5.54604,Margail Eric,ChIJkViJ2OWPyRIRCkve4di9MoE,"[u'point_of_interest', u'establishment']"
0,43.51124,5.54604,Martin Gérard,ChIJ38Q7duaPyRIRY_AuomX62w8,"[u'point_of_interest', u'establishment']"
0,43.511138,5.546504,Secrets d'ici,ChIJh1Dy2uWPyRIRDBg4-5kwFgE,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.513035,5.5432,Le Moulin,ChIJG0uCf-iPyRIReTYLk0ztcEs,"[u'point_of_interest', u'establishment']"
0,43.511009,5.545962,13100,ChIJWWkLeOaPyRIRdeleJLiBGEE,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5110617,5.5452576,LAURATRY23,ChIJAcYsZeaPyRIRflggoZ3tNkA,"[u'point_of_interest', u'establishment']"
0,43.510984,5.54532,Apetito (SA),ChIJAcYsZeaPyRIRbbrR2TWJKbo,"[u'point_of_interest', u'establishment']"
0,43.510984,5.54532,Town Hall Primary School,ChIJAcYsZeaPyRIRXzM-h7956k4,"[u'school', u'point_of_interest', u'establishment']"
0,43.510984,5.54532,Decugis Monique,ChIJAcYsZeaPyRIRjeCxkJvEDkI,"[u'point_of_interest', u'establishment']"
0,43.5107765,5.5450936,Ecole Communale,ChIJTzqSY-aPyRIRuJLNqL3h1xY,"[u'school', u'point_of_interest', u'establishment']"
0,43.510679,5.544999,13100,ChIJIUHVY-aPyRIRtT9aguD4Fb8,"[u'point_of_interest', u'establishment']"
0,43.510616,5.544768,13100,ChIJ7bVAYOaPyRIRNScq2U54e9g,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5106,5.544424,Logasphere,ChIJSzNoX-aPyRIRSMTTP0SkcwI,"[u'point_of_interest', u'establishment']"
0,43.509532,5.546302,Davico Christian,ChIJv8dXIeSPyRIR_kWhE0u8Ru4,"[u'point_of_interest', u'establishment']"
0,43.509532,5.546302,Domaine de la Cremade,ChIJv8dXIeSPyRIRRjnu_fNBcCw,"[u'point_of_interest', u'establishment']"
0,43.509532,5.546302,Giampalma Cyril Richard Rene,ChIJv8dXIeSPyRIRDsVQYKL0RRM,"[u'point_of_interest', u'establishment']"
0,43.5111555,5.537976,Besson Claudine,ChIJc7N5_tyPyRIRCbCxp4Q8SWA,"[u'point_of_interest', u'establishment']"
0,43.5111555,5.537976,A G I,ChIJc7N5_tyPyRIRq23mQ5MSYgI,"[u'point_of_interest', u'establishment']"
0,43.506844,5.542628,Brision Guillaume,ChIJH6-T6OCPyRIRvkwMIaq8LKk,"[u'health', u'point_of_interest', u'establishment']"
0,43.506844,5.542628,Aguilar Alfred,ChIJH6-T6OCPyRIRJ0YVJynTDEc,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.5067923,5.5425266,Soulier Philippe,ChIJH6-T6OCPyRIRg24WnOQByEM,"[u'painter', u'point_of_interest', u'establishment']"
0,43.5067923,5.5425266,Dore Bertrand,ChIJH6-T6OCPyRIRQV1fA9Zhojs,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.5111742,5.5339197,Sci Andurand,ChIJBx44CtuPyRIRxo4fQF7QFs0,"[u'point_of_interest', u'establishment']"
0,43.547599,5.523524,Saint-Marc-Jaumegarde,ChIJSS2FYfiOyRIRY0G3rc559SM,"[u'locality', u'political']"
0,43.5300425,5.5381057,Réserve Naturelle de Sainte-Victoire,ChIJubAx-JePyRIRBs3GVCNhrtY,"[u'park', u'point_of_interest', u'establishment']"
0,43.523896,5.5647719,13100,ChIJj4OU_WCFyRIRNIMV-dJAqJQ,"[u'parking', u'point_of_interest', u'establishment']"
0,43.5215432,5.5671072,Villa Sainte Victoire Aix en Provence,ChIJs0kOVWeFyRIRGwfoaYAkmiQ,"[u'point_of_interest', u'establishment']"
0,43.523085,5.566916,Pont de l'Anchois,ChIJzbXezGCFyRIR-0iCBcmQELc,"[u'premise', u'point_of_interest', u'establishment']"
0,43.5193182,5.5336976,Massages du Monde - Laurence Belle,ChIJBa0Ak8aPyRIRXpuROlwxBMs,"[u'health', u'point_of_interest', u'establishment']"
0,43.486821,5.495122,Meyreuil,ChIJtX1x-r-RyRIRS7vw_1rOjWI,"[u'locality', u'political']"
0,43.5083131,5.5350728,Jules SAS,ChIJ1WC1VtmPyRIR1RHEq8fgck4,"[u'point_of_interest', u'establishment']"
