,Latitude,Longitude,Name,Place_id,Type
0,43.4757729,5.167309,Berre-l'Étang,ChIJG8xNj1fkyRIRrlEg1sJNbJA,"[u'locality', u'political']"
0,43.4976717,5.162649,Démolition Auto Internicola,ChIJuxpNRFzkyRIRntgi8_ml6SI,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.498433,5.163992,BCME Charpentes,ChIJRR2_ypTkyRIR1ggPQ8Jy-Ic,"[u'roofing_contractor', u'point_of_interest', u'establishment']"
0,43.496672,5.16356,GARAGE BAUMES,ChIJE6xLUJPkyRIRw15n1_3YZVA,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.506437,5.150529,EDF,ChIJC9GCmaPkyRIRhpsonvGhpZs,"[u'point_of_interest', u'establishment']"
0,43.506437,5.150529,Lisanne,ChIJC9GCmaPkyRIRNhiU5B_8cX4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4954241,5.163519,Frontignan Berre Location F B L,ChIJ8dAkMJPkyRIRXqn05Od3VPg,"[u'point_of_interest', u'establishment']"
0,43.5042878,5.1487204,Girsam,ChIJK1L3eKHkyRIRSG03rpFhwLY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5070171,5.149339,La Farandole,ChIJK1L3eKHkyRIRl3IfbXaClmg,"[u'food', u'point_of_interest', u'establishment']"
0,43.4973048,5.1640141,Transports Mediterraneens Express,ChIJXxvF71zkyRIR5La9pTtU6hg,"[u'point_of_interest', u'establishment']"
0,43.505577,5.15158,Les SenS de la Beauté,ChIJl8GTD6PkyRIRyF-d4_WqenM,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.5104416,5.1636187,Thierry Betty,ChIJT2nDDLjkyRIR4rui6mcIM1A,"[u'point_of_interest', u'establishment']"
0,43.506437,5.150529,Provence Cap Performance Provence Cap Performance Sarl Provence,ChIJC9GCmaPkyRIRRqIXTPhS65M,"[u'point_of_interest', u'establishment']"
0,43.506437,5.150529,Mairie - standard-accueil,ChIJC9GCmaPkyRIR2o3OvgKO0nU,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5109371,5.1554985,Moya Serrano Antonio,ChIJX1bE71zkyRIRwAd4WSyl6Hk,"[u'food', u'point_of_interest', u'establishment']"
0,43.5061703,5.1497665,Agencement et Isolation du Grand Sud,ChIJ6_NweKHkyRIR3OvQWnfEOD0,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.504445,5.172685,garage mecanique discount,ChIJWSX5GsPkyRIRiOi6rvR0c_Y,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.5063041,5.1489914,Deriu Maldotti Paulette,ChIJA1v3eKHkyRIRSlVSD7V5Rgg,"[u'food', u'point_of_interest', u'establishment']"
0,43.5119271,5.1649795,Breville Dominique Henri,ChIJQ5WoFcjkyRIRch01nGMXfvA,"[u'point_of_interest', u'establishment']"
0,43.5119271,5.1649795,Rodriguez Jean Louis,ChIJm7SoFcjkyRIRTu0uSbSEZOw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.5119271,5.1649795,La Vieille Malferade,ChIJQ5WoFcjkyRIREBNDLF4h_98,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4878348,5.1588346,Middle School Fernand Léger,ChIJUcmznvPkyRIRD8aO9CaD1Lc,"[u'school', u'point_of_interest', u'establishment']"
0,43.4944301,5.158659,Renault,ChIJM9pW6IzkyRIRXt7KIqJqp-A,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.4948511,5.1540589,Les Vignerons du Mistral,ChIJqTdTjIvkyRIREqqh0xdo6NI,"[u'food', u'point_of_interest', u'establishment']"
0,43.4899131,5.1602981,Berre Tennis Club,ChIJX2n3XYzkyRIR0oLbvkz7suk,"[u'health', u'point_of_interest', u'establishment']"
