,Latitude,Longitude,Name,Place_id,Type
0,43.451152,5.413875,Bouc-Bel-Air,ChIJCcXXG0OTyRIRoASX_aUZCAQ,"[u'locality', u'political']"
0,43.451069,5.4132805,City Of Bouc Bel Air,ChIJ1-DpFECTyRIRxFmN_Gq6RHU,"[u'local_government_office', u'school', u'point_of_interest', u'establishment']"
0,43.451152,5.413875,Atol les Opticiens,ChIJawsSZEyTyRIRStD9JldXn78,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.451228,5.415244,Mondial Junior,ChIJn1ngEaKNyRIRknq2SktxbH0,"[u'point_of_interest', u'establishment']"
0,43.451011,5.412157,Avenir Immobilier,ChIJOSPOjteTyRIRDHCVwJ5ERTw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.451152,5.413875,BNP Paribas - Bouc Bel Air,ChIJu4TvE0CTyRIRxzSXQ2qFfUI,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4516497,5.4135878,Caisse d'Epargne Bouc Bel Air,ChIJMbWUuduTyRIRv1KBg8Vyhx4,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.442359,5.4191775,School Of La Salle,ChIJ_TvZoGiTyRIRenkMdDqMRzY,"[u'school', u'point_of_interest', u'establishment']"
0,43.451266,5.41221,Le Comptoir,ChIJhwuEikCTyRIR_JofxRzpzmI,"[u'cafe', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.451513,5.4127674,Crédit Agricole Alpes Provence,ChIJ94Ca9UCTyRIRznkNtOU_PP8,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.451135,5.411866,MT developpement,ChIJk7M_jECTyRIRLstMBb9B1RI,"[u'point_of_interest', u'establishment']"
0,43.451673,5.412953,BBA,ChIJuROfcECTyRIRLG3B0emP-bo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4511539,5.4138767,Franck Provost,ChIJl5vvE0CTyRIR7J9w5LTHTvQ,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.451673,5.412953,Lani Constructions,ChIJuROfcECTyRIRACWBJqfh4Eo,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4514424,5.4140945,Mairie - foyer des anciens,ChIJO2ilu9uTyRIRKuUDKz74jDE,"[u'point_of_interest', u'establishment']"
0,43.451456,5.412582,"Hélène Maurel, psychologue et psychothérapeute, Bouc Bel Air",ChIJC3v6ikCTyRIRDv01Gfe_k5o,"[u'health', u'point_of_interest', u'establishment']"
0,43.451152,5.413875,Caniexpress,ChIJu4TvE0CTyRIRMXYc-9q9eGk,"[u'pet_store', u'store', u'point_of_interest', u'establishment']"
0,43.45167,5.41295,A.d.s.b,ChIJuROfcECTyRIRSrwUUA8aLoY,"[u'point_of_interest', u'establishment']"
0,43.451135,5.418673,Menuiserie Siccardi,ChIJgfAyOGuTyRIR1R4pe2s9zq8,"[u'point_of_interest', u'establishment']"
0,43.442113,5.408845,Vaunière,ChIJgaoKT1uTyRIRxz1ia1iABGM,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.4462631,5.420674,Tele-claude,ChIJ4RVLsG6TyRIRU2i6lhQLOe4,"[u'point_of_interest', u'establishment']"
0,43.4468224,5.4138298,Guillou Anne COURS PARTICULIERS,ChIJWXkzGUKTyRIR_Mdqr-EIKbo,"[u'point_of_interest', u'establishment']"
0,43.4528105,5.4170683,PRAESENS,ChIJq-TfIxWTyRIRelH5P73ia4o,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.451509,5.411787,Signum Graphic,ChIJBxujj0CTyRIROtqc9jMQXNI,"[u'point_of_interest', u'establishment']"
0,43.451152,5.413875,Aromaterra,ChIJu4TvE0CTyRIRarEDpJ7iHf8,"[u'point_of_interest', u'establishment']"
0,43.451152,5.413875,Emilia Martin Peyron,ChIJu4TvE0CTyRIR8RxMjJlTYTM,"[u'health', u'point_of_interest', u'establishment']"
0,43.45167,5.41295,Chaudronnerie Provençale,ChIJuROfcECTyRIRjzPtO6JXpD0,"[u'point_of_interest', u'establishment']"
0,43.44824,5.416002,Azurtech Environnement,ChIJpyXDFGqTyRIRE0YWtD0XQAI,"[u'point_of_interest', u'establishment']"
0,43.4512488,5.4113322,Grafisto,ChIJ79vOlkCTyRIRqq2EuVtT1XA,"[u'point_of_interest', u'establishment']"
0,43.452555,5.4172609,Lpcr Bouc Bel Air,ChIJqXTwZj2TyRIRxrVBiiCPWpU,"[u'point_of_interest', u'establishment']"
0,43.4453624,5.4167281,Tennis Club de Bouc Bel Air,ChIJaR5WrW6TyRIRoMRDBxH_Ndg,"[u'point_of_interest', u'establishment']"
0,43.451108,5.412214,Agence Funéraire Colombe,ChIJNTdrikCTyRIRRIfi4orUfm8,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.451089,5.41336,Boutique Orange,ChIJFyW6yn3qyRIRFtVLI4mxCZc,"[u'store', u'point_of_interest', u'establishment']"
0,43.451279,5.41226,Institut de Beauté Vaïnea,ChIJdVV7YkCTyRIR61WuQEXr-_w,"[u'beauty_salon', u'point_of_interest', u'establishment']"
