,Latitude,Longitude,Name,Place_id,Type
0,43.862716,4.693618,Boulbon,ChIJi-UcI9nCtRIRl0iOC73uYDs,"[u'locality', u'political']"
0,43.8634053,4.691911,La Bastide De Boulbon,ChIJRTCrJdzCtRIRuFxt94C2dpc,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.866096,4.690709,Chapelle Saint Marcellin,ChIJmSAeXdzCtRIRvr4TOCtGjqQ,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.8629253,4.6935159,Mairie,ChIJmSAeXdzCtRIRjRI5q2391po,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8629668,4.6922686,Ecole Maternelle l'Espelido,ChIJocgfFtzCtRIRGCZHcRN6gEs,"[u'school', u'point_of_interest', u'establishment']"
0,43.862716,4.693618,La Déco d'Emmanuel,ChIJKX14ZtzCtRIRBHJNYpLrONQ,"[u'point_of_interest', u'establishment']"
0,43.8623,4.6932,C.D.V Dionysos Club Dégustation Vins Français,ChIJGSKUcdzCtRIR8frqomDVA48,"[u'food', u'point_of_interest', u'establishment']"
0,43.8623,4.6932,La Garrigue,ChIJGSKUcdzCtRIRxgcBTnA-eNs,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.8626599,4.6936594,Sonia Esthétique,ChIJl1bddtfKikcRK1K7SxmLVsc,"[u'point_of_interest', u'establishment']"
0,43.862303,4.693204,Guintoli,ChIJ5UKDcdzCtRIRjgNjeS9_wck,"[u'point_of_interest', u'establishment']"
0,43.8630176,4.6934642,Post Office,ChIJQwgCaNzCtRIRbnpercFqNGU,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.863026,4.6933086,Post Office,ChIJo0P36t7CtRIRqcz8K6QFWEs,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.8616542,4.6927178,Foyer du Troisième Age,ChIJPzMCtVzDtRIRCHsBD4DwvLI,"[u'point_of_interest', u'establishment']"
0,43.8628019,4.6931083,Madripielou,ChIJFZjpa9zCtRIRQnHQiqlTBJg,"[u'point_of_interest', u'establishment']"
0,43.861716,4.693821,LA MAISON BLANCHE,ChIJ5aKqa9zCtRIR12EiVqhDPxY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8631916,4.6901781,Buravand See,ChIJ9Rzm6t7CtRIRpnR9mka5Uuk,"[u'point_of_interest', u'establishment']"
0,43.8617688,4.6938971,La Casa de Boulbon,ChIJXYZnf9zCtRIRn3NY9_rJOwQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8632642,4.6901103,Fafsea,ChIJo0P36t7CtRIRXSaW3sbYCLQ,"[u'point_of_interest', u'establishment']"
0,43.8632642,4.6901103,Mel,ChIJo0P36t7CtRIRhFc5wzfJeDw,"[u'point_of_interest', u'establishment']"
0,43.8641559,4.6889011,Plume à Plume,ChIJ5_vrAd_CtRIRzvQSxSbirs8,"[u'point_of_interest', u'establishment']"
0,43.8608045,4.6942945,Admr de Boulbon,ChIJY1SzddvCtRIRFDyc-ddzGnA,"[u'point_of_interest', u'establishment']"
0,43.8611119,4.6916477,Cafe Du Commerce,ChIJA8SI4dvCtRIRBkX-3p5pos0,"[u'cafe', u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8651202,4.695093,Moulin Bonnet,ChIJtx4z4N3CtRIRMn5nF7S-Cxg,"[u'point_of_interest', u'establishment']"
0,43.863928,4.6932512,Serre Samy,ChIJ5XDFS9zCtRIR0huXXYIIjEc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8638352,4.6932435,Min. &Roc.,ChIJ8QXGTtzCtRIR4_936D7YzTg,"[u'point_of_interest', u'establishment']"
0,43.8630423,4.6942212,Gîte de la Venelle,ChIJ-8w49dzCtRIRWat60HU1500,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8645398,4.6916739,Amy Jaky,ChIJ11Tj0t3CtRIRbEl5TvTNv7M,"[u'food', u'point_of_interest', u'establishment']"
0,43.863024,4.694097,13150,ChIJK8H6X9zCtRIR3T4PQy-xY3s,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.8632496,4.6934551,Restaurant L'Oranger,ChIJH1FIQ9zCtRIRQgKCDIbCG2A,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8631827,4.6934544,Le Doaré Jean-Pierre,ChIJSQtEQtzCtRIRlzTPwigZSfw,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.8631119,4.6933965,Boulbon Market,ChIJzaq0QtzCtRIRkQsIlavBgms,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8638924,4.6919281,Barthelemy Thierry,ChIJJ5rund7CtRIRbJQlgXkUyDw,"[u'point_of_interest', u'establishment']"
0,43.8631009,4.6932012,Viale Manon,ChIJ1xEYQtzCtRIRqUcw49_xZwg,"[u'point_of_interest', u'establishment']"
0,43.8626849,4.6937965,Juillan Jean-Gabriel,ChIJgcYGZNzCtRIRnoDMAgVpqbE,"[u'point_of_interest', u'establishment']"
