,Latitude,Longitude,Name,Place_id,Type
0,43.860621,4.952125,Cabannes,ChIJN58ZlMDwtRIRcASX_aUZCAQ,"[u'locality', u'political']"
0,43.8594451,4.9507258,Villa mahanoa,ChIJZfyQ9evwtRIREBk01uKLKLs,"[u'point_of_interest', u'establishment']"
0,43.8592581,4.9480212,Le Mas des 3 Figuiers,ChIJyUu1UuzwtRIReppz35fFtUs,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.860307,4.9489343,I.C.I Immobilier Durable,ChIJ7dsS60DF5UcRDZGGZqNvzhc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8640324,4.962145,Equestrian Center Du Mas De L'air,ChIJZboVqMTwtRIRgB7vjoaoSms,"[u'point_of_interest', u'establishment']"
0,43.8606408,4.9513951,Association L Eau Vive,ChIJZ1MjOOnwtRIRSAnrIRzNVkQ,"[u'point_of_interest', u'establishment']"
0,43.8571344,4.9566602,AssistantMicro - Bonnafoux Bernard,ChIJY4KCbMDwtRIR-FoOWHmJVRU,"[u'point_of_interest', u'establishment']"
0,43.8564529,4.9517908,Ari,ChIJC1pjRuvwtRIRE_9kVy5mSLU,"[u'point_of_interest', u'establishment']"
0,43.8601231,4.9476362,Centre de Loisirs,ChIJhwtzhO7wtRIRpe0nWesyOn4,"[u'point_of_interest', u'establishment']"
0,43.8614762,4.9506266,Pharmacie Bailly,ChIJTQpVU-nwtRIRID-9ehdyK5Q,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.8603289,4.9563769,Eurl palsem,ChIJB_iLAsLwtRIRWNdfr1A9ScA,"[u'point_of_interest', u'establishment']"
0,43.8601449,4.9485638,Crédit Agricole Alpes Provence,ChIJhwtzhO7wtRIR5YSCU0hhKIU,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8592932,4.9494676,sono-light animation,ChIJMQQ6RuzwtRIRsxvct4xmNmo,"[u'point_of_interest', u'establishment']"
0,43.858122,4.951683,Eurodix SAS,ChIJh7nJYZTwtRIR9s-_7FVmSls,"[u'point_of_interest', u'establishment']"
0,43.8585399,4.9492204,Crédit Agricole Alpes Provence,ChIJhwtzhO7wtRIR04EqJk6m-98,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8585354,4.9512162,Maison de Retraite de Cabannes,ChIJi2nkhOvwtRIR7dJs8_CqNB4,"[u'health', u'point_of_interest', u'establishment']"
0,43.8563233,4.9518983,Transfert SAS,ChIJ2aDnR-vwtRIRyUxKpfTOog8,"[u'point_of_interest', u'establishment']"
0,43.8560334,4.9516487,Penellon Pascale,ChIJVS1TSevwtRIRFO541rnY5dc,"[u'point_of_interest', u'establishment']"
