,Latitude,Longitude,Name,Place_id,Type
0,43.441195,5.37999,Cabriès,ChIJey4yK2fsyRIRYASX_aUZCAQ,"[u'locality', u'political']"
0,43.4467554,5.3499959,Olympic Cabriès Calas,ChIJIYa7W6TsyRIROEfaf4en6HM,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.4535654,5.3504037,Golf De La Cabre D'or,ChIJF8Q3dWnryRIRMu3ECHY3gP0,"[u'health', u'point_of_interest', u'establishment']"
0,43.451649,5.359547,Auberge des Ceps,ChIJF8Q3dWnryRIR5O6dytwToXM,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.445534,5.3537642,Arts Kdanse,ChIJDTHkcIjsyRIRy_GHTCF252w,"[u'point_of_interest', u'establishment']"
0,43.450118,5.351617,Appart'hôtel Odalys du Golf de la Cabre d'Or,ChIJS-WRUnnsyRIRGEfxJJ6OrYE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4456238,5.3537706,Commune de Callas Mairie,ChIJszFvcYjsyRIRpNxwNBevpbU,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4457808,5.3542659,College Mauron Marie,ChIJTVvDcaTsyRIRokCEnZ69eSk,"[u'school', u'point_of_interest', u'establishment']"
0,43.445795,5.341625,celio Cabries,ChIJmcPQjxlpCkgRtOmLaZd0MPc,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.4457956,5.3416255,Maison Phénix,ChIJq6qqqnrsyRIRi4TmuLTR3Cs,"[u'point_of_interest', u'establishment']"
0,43.4457949,5.342054,SFR,ChIJA6s2U2XsyRIReAHWzWK1_t0,"[u'store', u'point_of_interest', u'establishment']"
0,43.445982,5.341496,Top garage,ChIJNw4F_2_syRIRKijj8mt83E8,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.445857,5.341282,Boutique Orange,ChIJCXBsS3LryRIRyGzldrDvc40,"[u'store', u'point_of_interest', u'establishment']"
0,43.4563077,5.3548413,Pierotti Alex,ChIJ6VXl4fTsyRIRiGWysNf86BU,"[u'point_of_interest', u'establishment']"
0,43.456252,5.354744,Mairie,ChIJ84DOkVfsyRIRGEUggFr6NV4,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.447076,5.360875,La Maison des Saisons,ChIJLV3DcaTsyRIRrqm-feIP3QQ,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.4512343,5.3613616,Saint Martin,ChIJb-pWCJLsyRIRXqvyr9vtOmo,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.445523,5.360251,Docteur Héloïse Rose,ChIJS9dUg4_syRIR6GAkcAKvf5E,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.445495,5.360289,Centre de psychothérapie de la Bastide Blanche,ChIJFx6vhI_syRIRyfbDPKwsFxI,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.445507,5.360305,Docteur Sébastien Rose,ChIJ6w6yhI_syRIRkja5DiZTKfo,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.448455,5.351216,unnamed,ChIJBeUQb2LsyRIRnxg6pskjjIQ,"[u'point_of_interest', u'establishment']"
0,43.4474,5.351989,13480,ChIJQzkhgmLsyRIRyVd8klkWzIk,"[u'point_of_interest', u'establishment']"
0,43.4476579,5.35341,13480,ChIJW1xUtYnsyRIRLQXzsKJV1Ik,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.446142,5.353381,13480,ChIJOb5VE4jsyRIRVlwvLQ_MP2E,"[u'parking', u'point_of_interest', u'establishment']"
0,43.4456238,5.3537706,Ligue Escrime de Provence,ChIJszFvcYjsyRIRMi_h6qUe7Zo,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.4456238,5.3537706,Mairie - piscine municipale,ChIJszFvcYjsyRIROds0gx2DLo4,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.449154,5.358526,13480,ChIJ8VY5vY7syRIRZx_htnclR8s,"[u'point_of_interest', u'establishment']"
0,43.4458268,5.3416899,MARSEILLE PLAN DE CAMPAGNE,ChIJM7pIVWXsyRIRuC8ErXEleZg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.456252,5.354744,Joucymau,ChIJ6VXl4fTsyRIReZ0Op-jzQVo,"[u'point_of_interest', u'establishment']"
0,43.456252,5.354744,Alcaraz Marc Fortune,ChIJ6VXl4fTsyRIRRv1CaUcIRjA,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.4563077,5.3548413,D'orso Gil,ChIJ6VXl4fTsyRIRUsUKP32Odbg,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4563077,5.3548413,Jouve Evelyne,ChIJ6VXl4fTsyRIRdQenk7kVjqY,"[u'health', u'point_of_interest', u'establishment']"
0,43.4563077,5.3548413,Bressy Pierre,ChIJLVXOHvbsyRIRrcdCacD0EI4,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.4563077,5.3548413,Gregoire Mickael Alain,ChIJF8Q3dWnryRIRIsoldbQhpIE,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4512343,5.3613616,Buffenoir Cecile,ChIJkyPilY3syRIRBoX-yYK9l5I,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4581604,5.3527507,Andre Donzela Andre,ChIJhZgokvXsyRIRuJHfX2ckE8I,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.4581934,5.352866,Tudela Flavien Pierre Alain,ChIJhZgokvXsyRIRUN-EQHfCzUs,"[u'point_of_interest', u'establishment']"
0,43.4491284,5.3619531,Sugliano Eric,ChIJG4TdD47syRIRL3C6am3DcGw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4396657,5.3453379,Center Training Des Plaines De L'arbois,ChIJLV3DcaTsyRIRUriCumbXw1M,"[u'point_of_interest', u'establishment']"
0,43.437865,5.351237,AUBERGE LA GUERINE,ChIJi7fby3_syRIRBNV00ezZju4,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.434441,5.342488,P.G.H.,ChIJGUO7xYfryRIRZDWHC-4lkAY,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.4360195,5.344325,Alizé Saint Victor,ChIJV6PCf4fryRIReIy_R2FC3r0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.437533,5.360209,Florens,ChIJiSiO_oLsyRIRS83O-NbH6-0,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.435161,5.340415,13480,ChIJg8cNFYjryRIR8Ogw0JVPHYI,"[u'point_of_interest', u'establishment']"
0,43.434887,5.340241,13480,ChIJ92nKQYjryRIRJHu1bgI1ubQ,"[u'point_of_interest', u'establishment']"
0,43.4608802,5.3534532,Auberge Bourrelly,ChIJLV3DcaTsyRIRgkLaK1qxX1M,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.460015,5.352865,Renault,ChIJvfehP_jsyRIR-1NPiHBIFnc,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.465335,5.3519834,Post Office,ChIJ84DOkVfsyRIRS0xFWB_TsWc,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4612968,5.3566211,C.r.c,ChIJz5-_2vbsyRIRfYru5RYjKDQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
