,Latitude,Longitude,Name,Place_id,Type
0,43.336148,5.4825739,Allauch,ChIJEYyEEyiWyRIRcAWX_aUZCAQ,"[u'locality', u'political']"
0,43.3969141,5.5373433,Eurotil,ChIJdcvfiA2XyRIRqX35DpPHqOc,"[u'point_of_interest', u'establishment']"
0,43.40201,5.534804,www.led-system.fr,ChIJu3xJQxGXyRIRW2zdr62vurw,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.395617,5.5444406,cabinet de médecine traditionnelle chinoise M.DARMON,ChIJYxBdeb_AyRIRJ5JYCaVpjq0,"[u'health', u'point_of_interest', u'establishment']"
0,43.3973304,5.5435065,gite cadolive,ChIJDTISQw2XyRIRbIUo53nghvc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.395617,5.54444,DELANNOY Sarah - Diététicienne Nutritionniste,ChIJXapmSXKXyRIR74wUf8mtV1s,"[u'health', u'point_of_interest', u'establishment']"
0,43.3956516,5.5399369,Chataignier Jean-Claude Yves Andre,ChIJR0esJw2XyRIR4v2ESaP_Ufc,"[u'point_of_interest', u'establishment']"
0,43.3956516,5.5399369,Chataignier Florence,ChIJH5Mslg2XyRIR3Sa84CP45D4,"[u'point_of_interest', u'establishment']"
0,43.400145,5.535384,LEVAUFRE Sandrine,ChIJsUreKBKXyRIRCywOySoq0YY,"[u'health', u'point_of_interest', u'establishment']"
0,43.3986418,5.5393087,Gregori Lionel,ChIJEW68lxKXyRIReLuLV3V3Ut0,"[u'point_of_interest', u'establishment']"
0,43.3943664,5.5418509,Le Village,ChIJp_qiP3OXyRIRgtQTJz_uvkc,"[u'point_of_interest', u'establishment']"
0,43.3986629,5.5400872,Vitry Guibert,ChIJhSd-sBKXyRIRrFxZ2UeS1cc,"[u'point_of_interest', u'establishment']"
0,43.4005682,5.5372493,Cochet Vincent Marc Mathieu,ChIJ-095sxOXyRIRHaeuq7j_nZA,"[u'health', u'point_of_interest', u'establishment']"
0,43.4014861,5.5356257,Amberto Serge,ChIJbUwrYRGXyRIR6n9cSe1fs1Q,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3975708,5.5420212,Laserre Marc Yves,ChIJc-c_n3KXyRIR2WU17zZWTCA,"[u'point_of_interest', u'establishment']"
0,43.3974251,5.5428102,Pascal Conreaux Photos - Photographe Portrait - Grossesse - Aix - Marseille,ChIJtXmRhHKXyRIR1fZN-v1hsc4,"[u'point_of_interest', u'establishment']"
0,43.3975013,5.5428048,TIC CONSEIL - Création Sites Internet,ChIJcdOThHKXyRIRZaQIW_joMyg,"[u'point_of_interest', u'establishment']"
0,43.3942166,5.5441316,Z Multi Services,ChIJJWch63OXyRIRLt00j_YGsqA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3973425,5.5433716,AREVALO Joëlle - Thérapeute Analytique,ChIJVbqIfXKXyRIRQz5zSdkLUWM,"[u'health', u'point_of_interest', u'establishment']"
0,43.405825,5.527922,Saint-Savournin,ChIJibod2xCXyRIRQP-W_aUZCAQ,"[u'locality', u'political']"
0,43.40287,5.53344,Ingarao Fabrice,ChIJ-9CYLRGXyRIRRu9iFYQYuVQ,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3984357,5.5427174,Siroine Calderon Christine,ChIJ00lmcG2XyRIRJ5RbU1zEgZg,"[u'point_of_interest', u'establishment']"
0,43.4029508,5.5332197,Segura Daniel,ChIJaS-GKxGXyRIR65lUGvJ-m5s,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3954513,5.5442531,Regional Social Security Fund Mines Sud,ChIJsQE3SHKXyRIRqBsKe3zfM7s,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.3956095,5.5442174,Docteur Edwina Stanghellini,ChIJsQE3SHKXyRIR8ISa5HV_ZHc,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3953755,5.5442673,Kinés Valdonne,ChIJX0q-THKXyRIRpk2zqz2ajLU,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.3953755,5.5442673,Le Revertdis,ChIJX0q-THKXyRIRDBj566eGkWw,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3954513,5.5442531,Docteur Lapina-Poli Patricia,ChIJB1S-THKXyRIR2dSCGPff7Is,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.3960053,5.5441568,13950,ChIJ6-ILRXKXyRIRiv49NgKGL0Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.395617,5.5444406,Ferrer Chantal,ChIJB1S-THKXyRIRE8nglumy17w,"[u'health', u'point_of_interest', u'establishment']"
0,43.391491,5.551778,Bédelin,ChIJl5ZM5nmXyRIRoJYrE4-lJ98,"[u'shopping_mall', u'colloquial_area', u'political', u'point_of_interest', u'establishment']"
0,43.3952567,5.5451225,Post Office,ChIJR43SzHOXyRIRFJzEXgv6NzY,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.3960616,5.5463135,esprit broderie : broderie marseille,ChIJBffHdE-YyRIRV2xrnoPNQOA,"[u'point_of_interest', u'establishment']"
0,43.3950372,5.5457825,Hiasan décoration,ChIJm_si1HOXyRIRdd7RqnbhQu4,"[u'point_of_interest', u'establishment']"
0,43.3974821,5.5446146,Office National Forêts,ChIJjYCndHKXyRIRQJxoSN_9x3M,"[u'park', u'point_of_interest', u'establishment']"
0,43.3959458,5.5454771,Caisse d'Epargne Cadolive,ChIJ59neMXKXyRIROMInvG20wp8,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3961894,5.5451525,Immobiliere Du Sud,ChIJe0vWL3KXyRIRWwz6hNoroiU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3961324,5.545276,Votre Maison,ChIJe0vWL3KXyRIRUZZk48GjXuw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3951222,5.5451561,Pharmacie de Cadolive,ChIJhS3-zHOXyRIRqZRk9hj-j68,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3963685,5.545114,Sabrina Creation,ChIJlfgPKHKXyRIR0u0ElHayV8g,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3958715,5.5459351,Studio M.c.,ChIJlfgPKHKXyRIRFMlA41e3Uq4,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.395734,5.5447096,Castellani Emilie,ChIJsQE3SHKXyRIRw_Rc1FovSro,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.3974821,5.5446146,Sodec,ChIJB5QQodiZyRIR54d_Yq_7ZLk,"[u'point_of_interest', u'establishment']"
0,43.3957676,5.5444881,Maxime MAFFRE - Ostéopathe DO,ChIJeZYpMHKXyRIR39gafB5K-6A,"[u'health', u'point_of_interest', u'establishment']"
0,43.3929578,5.5474935,Groupe Perottino Sa,ChIJExj0M3GXyRIRa54Br461e7I,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.384147,5.577433,Peypin,ChIJDW-Fti2YyRIRAAGX_aUZCAQ,"[u'locality', u'political']"
0,43.3958645,5.5453026,Griess Geoffrey,ChIJKSqqOnKXyRIRrOoxT1eRru8,"[u'point_of_interest', u'establishment']"
0,43.3986101,5.5447869,Steinmetz Eric,ChIJSfwO6m2XyRIRu2izRyqWCAc,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.3961298,5.5444104,Mairie de Cadolive,ChIJLdrcIXKXyRIR9Elut8GBlkA,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3929945,5.5494745,lili des collines,ChIJE9kZzHCXyRIRwivP3ZD9pOw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.393469,5.551175,Auberge de Baou,ChIJxc3kCnqXyRIR1Od5seMe4e0,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.392655,5.548341,Commune de Peypin Mairie,ChIJQ3K51HaXyRIRJOSJ21ZjPVo,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3907118,5.5481998,Dupont Thomas,ChIJWaE0-naXyRIRg3ZVhC-KLUM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3929887,5.5515361,Mairie,ChIJoy2BBnqXyRIRPlV-A12REfU,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4011568,5.5438233,Barril Louis,ChIJvcSHXGyXyRIRx6rdBgU4vAo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4022559,5.5441483,Pierre MIKLIC,ChIJ06WgfmyXyRIRFB-drr7Z-Nw,"[u'health', u'point_of_interest', u'establishment']"
0,43.3965459,5.5522431,La Déesse de la Beauté,ChIJBZnHu3qXyRIRjPkDJMkykqA,"[u'point_of_interest', u'establishment']"
0,43.4017364,5.5472124,Metallerie Schwartz,ChIJaRwYuG6XyRIRLhPYlupwC7I,"[u'point_of_interest', u'establishment']"
0,43.3939969,5.5447598,B.o. By Flo,ChIJcQPr6nOXyRIRNx1LxZKXzLs,"[u'point_of_interest', u'establishment']"
0,43.394352,5.544834,13950,ChIJk8MpwXOXyRIRvnA-G2DZhEQ,"[u'parking', u'point_of_interest', u'establishment']"
0,43.3957019,5.5444384,Centre médico-social,ChIJpygXSXKXyRIRq4sL29yTfF0,"[u'health', u'point_of_interest', u'establishment']"
0,43.3957643,5.5445921,Dray Yves,ChIJsQE3SHKXyRIRrLNXoGCpbpw,"[u'point_of_interest', u'establishment']"
0,43.396065,5.5443559,13950,ChIJOTqBRnKXyRIRP9PKYon2gWs,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.395244,5.545013,13950,ChIJVzCpzHOXyRIRP-fY0bgWvzc,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.395734,5.5447096,Ordioni Patricia,ChIJsQE3SHKXyRIRnhR0HneI6PY,"[u'health', u'point_of_interest', u'establishment']"
0,43.395564,5.54489,13950,ChIJ1c8mNHKXyRIRkRsJHoHko3U,"[u'parking', u'point_of_interest', u'establishment']"
0,43.3953789,5.5450439,Le Panier du Soleil,ChIJE1XwMnKXyRIR_hZQwO5SNb8,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.3950102,5.5452287,Le Cercle De L Avenir,ChIJk0GozXOXyRIRaFLsiUBxu6Q,"[u'point_of_interest', u'establishment']"
0,43.3950102,5.5452287,Rolly Sylvie,ChIJk0GozXOXyRIRWgszfFWVUxs,"[u'bar', u'point_of_interest', u'establishment']"
0,43.395297,5.545264,Beauty Show,ChIJH9y_MnKXyRIRUiwkUULCCW0,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3953883,5.5452932,Roudil Jean-Yve,ChIJo9aLMnKXyRIR9Tx5PEWhVE4,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3957509,5.5451194,PLOMBIÊR Marc,ChIJSzMvv3OXyRIRkHEVhewbEXQ,"[u'point_of_interest', u'establishment']"
0,43.3957859,5.5452742,Au Coin Provençal,ChIJ58UXMHKXyRIRm0qloDQ_eOk,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
