,Latitude,Longitude,Name,Place_id,Type
0,43.2926781,5.5676425,Aubagne,ChIJyyal8DOjyRIRvMKMseEhjSw,"[u'locality', u'political']"
0,43.256783,5.565518,Hostellerie La Crémaillère,ChIJK_kMcbSkyRIRPIB8P2qDbkc,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.25558,5.568823,L'Artea,ChIJkwVQ6LakyRIRN1Pu_G0iRtg,"[u'point_of_interest', u'establishment']"
0,43.2602217,5.5619943,La Villa Cassis,ChIJs-3YzbKkyRIRH6iqveVCgwA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2559805,5.5666871,Carnoux Immobilier,ChIJM0rFHLSkyRIRV-aKvRi0Ppk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.2604551,5.5724153,Le Gardian,ChIJi-ikHrGkyRIRnfnV5M9DiCo,"[u'clothing_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.2538804,5.5579524,Ari,ChIJy9efakq7yRIRfUujnsJIoV0,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.2563163,5.5665068,Mairie,ChIJQ2XOArSkyRIRzTk4EZZEuTU,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.258996,5.565438,association gymnastique carnoux cassis,ChIJy3kZt7OkyRIRuBi1C4fMu4w,"[u'point_of_interest', u'establishment']"
0,43.2635833,5.5671127,Carnoux-en-Provence,ChIJrVLIhje7yRIR8l4NddeaH0E,"[u'point_of_interest', u'establishment']"
0,43.2565971,5.5612386,Easy Production,ChIJ-ebOsrSkyRIR2YYpiq4aQJ8,"[u'point_of_interest', u'establishment']"
0,43.2549985,5.5664463,S.a.i Aïkido Carnoux,ChIJvVf2gbakyRIRU2u16mQ8-3s,"[u'health', u'point_of_interest', u'establishment']"
0,43.2593003,5.5659583,Arnaud Dominique,ChIJ3xoCuLOkyRIR7uzuWPQvqbE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
