,Latitude,Longitude,Name,Place_id,Type
0,43.330673,5.151576,Carry-le-Rouet,ChIJOV4ogsHdyRIRQASX_aUZCAQ,"[u'locality', u'political']"
0,43.339271,5.155656,FCCB (Football Club Côte Bleue) - carry le rouet,ChIJD2U_e8XdyRIRM8Y2zAK8xC8,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.3366419,5.1541621,Agence Immobilière de la Gare,ChIJJWJSk9LdyRIRiEwIXpDxVuQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3364029,5.1551492,Primary School Simone Thoulouze,ChIJcY7Las7dyRIRRHWabGWHPrY,"[u'school', u'point_of_interest', u'establishment']"
0,43.3363465,5.1534302,Faye Frédérique,ChIJayNeS4jeyRIRCeIufZb_eFc,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.336555,5.157611,Leï Pitchoun | Crèches du Sud,ChIJ6bQkE9LdyRIRAmC6nbBHeIk,"[u'point_of_interest', u'establishment']"
0,43.3376637,5.1607346,Delgado Sarl,ChIJ16seksjdyRIRIV36GVkAM7E,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.3377008,5.1600297,"Salima Ciccariello, Cabinet de Shiatsu",ChIJb5B-vsjdyRIRh2wjeZ4j67Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.3367466,5.1491509,Association New Sport,ChIJtdVyKNHdyRIR3a2cOSFC-jo,"[u'point_of_interest', u'establishment']"
0,43.3377292,5.15946,Sornika,ChIJ-Rdmt8jdyRIRJtAU8mras74,"[u'point_of_interest', u'establishment']"
0,43.335921,5.1574895,Jours 2 fêtes,ChIJ5W5v587dyRIRosDmHUVeu7g,"[u'point_of_interest', u'establishment']"
0,43.3367069,5.14904,Carry 5,ChIJtdVyKNHdyRIRYAVHZYvz3mM,"[u'point_of_interest', u'establishment']"
0,43.3376661,5.1608616,Aveliance Conseil,ChIJm8ykjcjdyRIRRbQzfW24-v8,"[u'point_of_interest', u'establishment']"
0,43.335221,5.15495,Commune De Carry Le Rouet,ChIJcY7Las7dyRIROTwV4afXQQE,"[u'school', u'point_of_interest', u'establishment']"
0,43.3373642,5.1614528,I.m.g.c,ChIJy9DGX8jdyRIRQ5o64kl51jM,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.3352413,5.1506596,Bridge Club,ChIJL3zbSdLdyRIRbVxkOX97t5U,"[u'point_of_interest', u'establishment']"
0,43.3361736,5.1598363,Villa Reiala,ChIJxa3TIMndyRIRc_issDmvWbg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.336699,5.1542917,Star's Jardin,ChIJ88T_zM_dyRIRycDifIUCMgs,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.336711,5.153036,13620,ChIJx0BuLdDdyRIRajtatk7nnPs,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.3370513,5.1571887,DGS,ChIJwTeuEM_dyRIR10u2KlgjlI0,"[u'point_of_interest', u'establishment']"
0,43.3365327,5.1537163,Gare de Carry Le Rouet,ChIJm_rHKs7dyRIRJJMHTQ43X2w,"[u'train_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.336871,5.15698,13620,ChIJPbofG8_dyRIR9bYU9e4-Ip4,"[u'parking', u'point_of_interest', u'establishment']"
0,43.3377292,5.15946,Siomos Georgios,ChIJfwj2kcjdyRIRqJplyiJGnoM,"[u'point_of_interest', u'establishment']"
0,43.3361523,5.153253,Boutique SNCF,ChIJbeMm0dHdyRIR7ZCnr5zQgEA,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.3370441,5.149228,Machado Carlos,ChIJP-yC2dDdyRIRPDGY-DiGWVg,"[u'point_of_interest', u'establishment']"
0,43.3360551,5.1542871,Dieudonne Christiane,ChIJSSAmLs7dyRIRI_f24onZTHQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.336051,5.1536768,Aunave Genevieve,ChIJMUQ9KM7dyRIRyxScFTOdqQg,"[u'point_of_interest', u'establishment']"
0,43.3362619,5.1568344,Krikorian Samuel,ChIJPeHb_M7dyRIRPwYQyoHpZsw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3367466,5.1491509,Mairie (Divers),ChIJcY7Las7dyRIRwEsI24Qirj4,"[u'point_of_interest', u'establishment']"
0,43.3371704,5.1597044,Gord Bruneau Laurence,ChIJJU5Kv8jdyRIRNVF0SQJaOMg,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.3358022,5.1566795,"PSYCHOTHERAPEUTE , Michèle BALMES",ChIJXVpm-c7dyRIRh8esy2GhrDk,"[u'point_of_interest', u'establishment']"
0,43.335921,5.1574913,Soula Laurent,ChIJT25v587dyRIRxPQ0c7QGXoY,"[u'point_of_interest', u'establishment']"
0,43.335221,5.15495,Zevaco Piaggi Muriel Michelle,ChIJcY7Las7dyRIRO47f5OyMEsk,"[u'point_of_interest', u'establishment']"
0,43.335221,5.15495,Elres,ChIJcY7Las7dyRIRRjyDtSY1nxY,"[u'point_of_interest', u'establishment']"
0,43.3374839,5.1614755,Chabot Serge,ChIJLadW9cjdyRIR8S4Y39IYS8w,"[u'painter', u'point_of_interest', u'establishment']"
0,43.3352408,5.1562881,Garros Sophie,ChIJk0-yis7dyRIRrB2AYKdJjvw,"[u'health', u'point_of_interest', u'establishment']"
0,43.3378691,5.1620937,Sacco Guy,ChIJ73kYacjdyRIRniwuFP59pyw,"[u'point_of_interest', u'establishment']"
0,43.3352413,5.1506596,Bridge Club Carry Cote Bleue,ChIJJZyic9HdyRIR7r7E39TRGu4,"[u'point_of_interest', u'establishment']"
