,Latitude,Longitude,Name,Place_id,Type
0,43.215134,5.53712,Cassis,ChIJNeR-a8a6yRIRMASX_aUZCAQ,"[u'locality', u'political']"
0,43.217383,5.542688,Royal Cottage,ChIJGcBDTsC6yRIR5-WK6HuG-Lw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.221916,5.543375,Les Jardins De Cassis,ChIJxVvUqsO6yRIR1OG5xoYmCik,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.2192707,5.5470267,La Demeure Insoupçonnée - Chambre d'hôtes,ChIJ1UBQB8S6yRIRKQIXYC_Ci04,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.227098,5.549238,Chambres d’hôtes La Bastidaine,ChIJn92hpdu6yRIRrHuYMfpCBM0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2244444,5.5403557,Camping les Cigales,ChIJgZ04R926yRIR8nXalPL6D1s,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.2186451,5.5504658,Maison°9,ChIJq196HMa6yRIRfTN7lyYDxpQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.220073,5.546709,Le Cap Chambres d’Hôtes,ChIJF0ULD8S6yRIRFXlCi_d_M7Q,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.230694,5.553203,Point P,ChIJUWENVda6yRIRq8bSJZDYQ1o,"[u'store', u'point_of_interest', u'establishment']"
0,43.2230592,5.5439375,Terroir et Marée,ChIJsd33OcO6yRIRRx7UKmKdejA,"[u'liquor_store', u'grocery_or_supermarket', u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.2200584,5.546491,Giacalone Anne-Marie,ChIJF0ULD8S6yRIRk5Hn5tE94I0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.218508,5.5592,Domaine du Paternel,ChIJt8zJQMa6yRIRC4xk_XrZ2Ns,"[u'food', u'point_of_interest', u'establishment']"
0,43.2232412,5.5406585,La Maison des Vins,ChIJebT4n8K6yRIRRfqt4h2IsUM,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.2171466,5.5497051,SAS NOUVEAU GARAGE DE PROVENCE,ChIJ3acHzse6yRIR9u1B2sHQEk4,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.2248305,5.5418925,Club Canin de Cassis,ChIJvcwPxeq6yRIRwMz4ecHVktQ,"[u'point_of_interest', u'establishment']"
0,43.2259119,5.546918,François Dumon,ChIJj-cZ5tm6yRIRQ6mmv4zGS0k,"[u'food', u'point_of_interest', u'establishment']"
0,43.2231782,5.5440835,Relais Sainte Croix,ChIJkTFc2cO6yRIRcfQjWDpulLw,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.2269473,5.5479255,Ordener Eric,ChIJV-ehpdu6yRIRq92btgsmHic,"[u'point_of_interest', u'establishment']"
0,43.2196611,5.547333,Ley Consulting,ChIJgXCzAMS6yRIRZelp373rXGg,"[u'point_of_interest', u'establishment']"
0,43.229991,5.55355,Le Plan de la Gare,ChIJZxg2H9e6yRIRmrIuMBIuhLA,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.2269866,5.5501261,Le Petit Cassis,ChIJIZNHZtq6yRIRtCILOlUO-G0,"[u'point_of_interest', u'establishment']"
0,43.2235137,5.544322,Banque Populaire Provençale et Corse,ChIJ9Y3eO8O6yRIRysKkW-9U3fQ,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.2197469,5.545776,Villa Maison,ChIJEXgt-cO6yRIRjOnwTOyRIwg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2214091,5.5436162,Station-service TOTAL,ChIJ_893ssO6yRIRztnsaizi0NU,"[u'car_wash', u'point_of_interest', u'establishment']"
0,43.2176699,5.5481541,By Cassis,ChIJrS8d8ca6yRIRq2go3yDYlZw,"[u'point_of_interest', u'establishment']"
0,43.2290776,5.5498399,ASAP Productions,ChIJ8Uwvi9m6yRIRWRSQVFd1Wfw,"[u'point_of_interest', u'establishment']"
0,43.2307447,5.5529621,Auto service des Calanques Garage Motrio,ChIJUWENVda6yRIRl8NlE7FMxSA,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.221296,5.543192,JDC,ChIJt1N1TcK6yRIRK7rpItDPyD8,"[u'point_of_interest', u'establishment']"
0,43.229679,5.55155,ostéopathe Sébastien Car,ChIJFbdXWde6yRIRYhP5B3nbxbs,"[u'health', u'point_of_interest', u'establishment']"
0,43.2197367,5.5417312,L'Avila,ChIJVURrHsK6yRIR1FI4I3X6s_g,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.230633,5.552718,Entreprise Julien,ChIJUWENVda6yRIRZZsi03aAyV8,"[u'plumber', u'electronics_store', u'electrician', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.2307447,5.5529621,Ambulances Cassidennes,ChIJUWENVda6yRIRlxb1sd2VM_A,"[u'health', u'point_of_interest', u'establishment']"
0,43.218109,5.560787,Château de Fontcreuse,ChIJJTwUquq6yRIR7h8yNzy_S0Y,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
