,Latitude,Longitude,Name,Place_id,Type
0,43.221502,5.634811,Ceyreste,ChIJWUcSQ8KlyRIRSYTKDqpLaw8,"[u'locality', u'political']"
0,43.220783,5.628411,Camping de Ceyreste****,ChIJUe_ucsalyRIRpa-c4f68iJ4,"[u'campground', u'rv_park', u'park', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.219355,5.636031,Korian Les Palmiers,ChIJH8fix9qlyRIRxWdPeZHgP80,"[u'health', u'point_of_interest', u'establishment']"
0,43.220582,5.64302,Photodefamille.fr- Photographe de famille et mariage,ChIJe75pddelyRIRSsqJmSbM90A,"[u'point_of_interest', u'establishment']"
0,43.2225364,5.6302169,AS Tennis Ceyreste,ChIJgcdtJcmlyRIRsEkQA0Vja9I,"[u'point_of_interest', u'establishment']"
0,43.219857,5.639325,H R F Ortiz,ChIJTQa0odClyRIR5bnkQcb5KZE,"[u'general_contractor', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.219857,5.639325,Venturino Ortiz Florence,ChIJgaSZZNqlyRIR9J-S6mUbenM,"[u'health', u'point_of_interest', u'establishment']"
0,43.219857,5.639325,Ortiz Roger Henri,ChIJTQa0odClyRIRZX7vJfsbu-s,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.2195997,5.6388376,Sabnails,ChIJjegpdNqlyRIRpfpIwlrVlVU,"[u'point_of_interest', u'establishment']"
0,43.217849,5.6351,CABERG,ChIJ-9sQ4meoyRIR9y17k-5Wmrs,"[u'point_of_interest', u'establishment']"
0,43.2193409,5.6293865,Technologie IP,ChIJf16WGsalyRIR0GkK1lnQfGg,"[u'point_of_interest', u'establishment']"
0,43.2171779,5.6403425,Adesya,ChIJJaJSK9qlyRIRKWekKSb5SpM,"[u'point_of_interest', u'establishment']"
0,43.2201523,5.6452926,Daxue Consulting,ChIJCzAXmNelyRIRzgvaskfPfPk,"[u'finance', u'point_of_interest', u'establishment']"
0,43.2166212,5.6334909,Mairie,ChIJpQgy7MSlyRIRK81TSrwcpdA,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.2152441,5.6390048,Tikhomiroff Canorgue Isabelle,ChIJ0cPDitulyRIR6Y7DxgG9pYk,"[u'point_of_interest', u'establishment']"
0,43.2152441,5.6390048,PRESENT FOR YOU,ChIJ1xlpjNulyRIRCq4071e0dgk,"[u'point_of_interest', u'establishment']"
0,43.221502,5.634811,Chilière,ChIJYTCi28-lyRIRHiMHFx5OTKo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2224867,5.632593,Orsini Christian,ChIJseikv8ilyRIRpgzEQ6_qAyQ,"[u'point_of_interest', u'establishment']"
0,43.2209011,5.6397818,Reposi Patrick,ChIJLWSritqlyRIRd0hVMGBNGZI,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.21805,5.641769,Les Calades,ChIJ-dJ0ltmlyRIRCNcj0ya2TyY,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.2205038,5.6400723,SOPHROLOGIE mylene matalon,ChIJa1VGS9elyRIRQ279vsUR0HM,"[u'health', u'point_of_interest', u'establishment']"
0,43.2190928,5.6374139,Bertini Cefalia Sabine Stephanie,ChIJzbkpdNqlyRIR3dF-oBBLUmM,"[u'point_of_interest', u'establishment']"
0,43.2192702,5.6385866,Agostini Gabriel,ChIJdQZqoHOvyRIRCQeWpFZUk-Y,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.2208285,5.6429212,Blanc Reale Corinne,ChIJk7ESC9elyRIRPHBV84jAVck,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.2208285,5.6429212,Lubrano Francois,ChIJk7ESC9elyRIRA8vHEsm8TTI,"[u'point_of_interest', u'establishment']"
0,43.2184462,5.6395619,gîte la granette,ChIJN038PdqlyRIR1isXgs3xx28,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2206413,5.6431369,Genelec,ChIJv6xdddelyRIR9GvjOoLAPUw,"[u'point_of_interest', u'establishment']"
0,43.2182973,5.6396665,Sud Provence,ChIJj1WXiaqoyRIRt-Qi9Ke85Jk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.2192427,5.6308463,Terrien Adele,ChIJFWbW6MWlyRIRnMwuhVjOG-Q,"[u'point_of_interest', u'establishment']"
0,43.2192427,5.6308463,Leroux Marie,ChIJFWbW6MWlyRIRpPRYCC9mhrk,"[u'point_of_interest', u'establishment']"
0,43.219017,5.64192,Blanc Alain Alain,ChIJxzBB3dmlyRIRnJb3OJIYkXQ,"[u'point_of_interest', u'establishment']"
0,43.2176286,5.6380601,Marlow Jennifer Elizabeth,ChIJf5odVNqlyRIRkb5zrSXC76Q,"[u'point_of_interest', u'establishment']"
0,43.2219604,5.6447948,Saint Georges Patrimoine,ChIJ68ODNNalyRIRBLKEiHNmxhg,"[u'point_of_interest', u'establishment']"
0,43.217762,5.6396163,Verdini Evelyne,ChIJDX9JN9qlyRIRBq-O5YCrYUQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.2199906,5.629113,Pieyre Robert,ChIJMek4HMalyRIR4gjKQWk_JqQ,"[u'point_of_interest', u'establishment']"
0,43.2169708,5.635108,Portoleau Anne,ChIJ2-hH0sSlyRIR6EKI74xma08,"[u'health', u'point_of_interest', u'establishment']"
0,43.2169708,5.635108,Banni Yves,ChIJ2-hH0sSlyRIRJ_E2dUEkGQY,"[u'point_of_interest', u'establishment']"
0,43.2169151,5.6380324,Cefalia Richard,ChIJrSmuqdulyRIRvvxqSBvSUWA,"[u'point_of_interest', u'establishment']"
0,43.2181355,5.6420091,Scapillato Claudia,ChIJqUl0qNmlyRIRhYjP4RkQ9y8,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.2168564,5.6380827,Loubrieu Laurent,ChIJ5_LAqNulyRIRF5aCRZTBI6c,"[u'point_of_interest', u'establishment']"
0,43.2179615,5.6419555,Association Centre Loisirs Accueil La Palud,ChIJZ1glvNmlyRIRz6IxB2xX8cA,"[u'point_of_interest', u'establishment']"
0,43.2171779,5.6403425,Cacchia Jean-Marc,ChIJJaJSK9qlyRIRcVwhQaLZP-s,"[u'point_of_interest', u'establishment']"
0,43.2171779,5.6403425,Bartolini Laure,ChIJJaJSK9qlyRIRz0fJtAvDzHU,"[u'health', u'point_of_interest', u'establishment']"
0,43.2171779,5.6403425,Aveo,ChIJJaJSK9qlyRIRtnNkIcloY2s,"[u'point_of_interest', u'establishment']"
0,43.2206093,5.6456091,Soc Des Chaux de Marseill,ChIJRZ8u3telyRIRSAbv25A075Q,"[u'point_of_interest', u'establishment']"
0,43.2166212,5.6334909,Chanliau Danielle,ChIJpQgy7MSlyRIR4rxMIrGLYVo,"[u'point_of_interest', u'establishment']"
0,43.217951,5.629945,Elspass Henri,ChIJVUdrf8alyRIRJ5rDfnfm9Gk,"[u'point_of_interest', u'establishment']"
0,43.222586,5.6467319,Vinrich Guillaume,ChIJHQItkXimyRIRLjPdhY36b5c,"[u'point_of_interest', u'establishment']"
0,43.2175974,5.6302792,Argoud Alain,ChIJya6G1MWlyRIR2QbGgKpJD4I,"[u'health', u'point_of_interest', u'establishment']"
0,43.2166395,5.6400501,EMPLOMBERIE,ChIJXXO92tulyRIRfagVAciONZI,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.2229294,5.6469617,Vigne Valotti Marie Pierre,ChIJaxl-lXimyRIRiAcaapNXAZA,"[u'point_of_interest', u'establishment']"
0,43.221103,5.646983,Gîte Cante Coucou,ChIJ2_Z5aHimyRIR6JduSdiiatI,"[u'travel_agency', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.2157706,5.6328026,Martin Guilhem,ChIJI4sQh8SlyRIR88Z8kKS9U9o,"[u'point_of_interest', u'establishment']"
0,43.2161635,5.6308897,Botella,ChIJ--0xEcSlyRIRZBtsDO6D0hU,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.2161552,5.6307502,Gimenez Hervé,ChIJe_sgEcSlyRIRjZnko5PTwZo,"[u'point_of_interest', u'establishment']"
