,Latitude,Longitude,Name,Place_id,Type
0,43.716972,5.245821,Charleval,ChIJexLpjMIcyhIREASX_aUZCAQ,"[u'locality', u'political']"
0,43.7200991,5.2444945,Mairie,ChIJ5SgUHcMcyhIROqTLpRlg-nk,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7169616,5.2461612,Tennis Club de Charleval,ChIJsxevbN0cyhIRR0LzIlPYki0,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.720148,5.24715,Fédération Départementale des Foyers Ruraux,ChIJE9W5msIcyhIRGlOLEaMP6R8,"[u'point_of_interest', u'establishment']"
0,43.713813,5.248879,Le royaume des arbres,ChIJ92dSTuccyhIR4ZdY6FBxo_E,"[u'amusement_park', u'point_of_interest', u'establishment']"
0,43.7199133,5.244865,e-motive SARL,ChIJOUam4cIcyhIR3iFFTXs7HLM,"[u'point_of_interest', u'establishment']"
0,43.719923,5.247194,L'agence de Rose Sarl PROVENCE Immobilier,ChIJuzVQmcIcyhIRMklge-o2GzE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7199078,5.2491446,Garage Duquesnel - Citroën,ChIJx8Q7_VgcyhIRc7aA5yp3pz0,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.7195326,5.2471899,Office de Tourisme,ChIJfTXco8IcyhIR9o0W9EeO2A8,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.7199275,5.2488886,Pierrick Menuiserie,ChIJkyGuQOgcyhIRz2AUjOBXI-A,"[u'point_of_interest', u'establishment']"
0,43.7201355,5.2471331,D.E.P.A.R.T.S,ChIJE9W5msIcyhIR6DpTt-Il3NA,"[u'point_of_interest', u'establishment']"
0,43.7207504,5.2449742,auto entrepreneur èdatous-services,ChIJAUdW-MIcyhIR3mjkmJrcUbU,"[u'point_of_interest', u'establishment']"
0,43.7200565,5.2431535,Raoux Jean-Christian,ChIJb1moacMcyhIRmZqQDzHAqgU,"[u'health', u'point_of_interest', u'establishment']"
0,43.7194412,5.2441303,Cafés Folliet,ChIJmRp9PMMcyhIRHn7cERCNcao,"[u'point_of_interest', u'establishment']"
0,43.7185666,5.2395405,CHABAS sas,ChIJ32lqI8McyhIReWyPq-EgkuI,"[u'point_of_interest', u'establishment']"
0,43.7163204,5.2466822,Laboratoire Arnaud,ChIJoXvKc90cyhIRayu6LRAKCsA,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.7202175,5.2469709,Union Regionale Foyers Ruraux,ChIJRf64msIcyhIRODo7Cufl_LQ,"[u'point_of_interest', u'establishment']"
0,43.7202175,5.2469709,Commune de Charleval,ChIJRf64msIcyhIRzgqiuUadKmk,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7199663,5.2448505,PLOMBIÊR Arnould,ChIJ2yNHHsMcyhIR-IY1-SP1-vI,"[u'point_of_interest', u'establishment']"
0,43.7198979,5.2448716,Qualinetwork SA / lidoli.com,ChIJ5SgUHcMcyhIRaDkxTrlg-ZQ,"[u'point_of_interest', u'establishment']"
0,43.7197734,5.2464378,Abby Informatique,ChIJrwyYlcIcyhIRM6wCRKkBDh8,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.7196627,5.2463491,"Emilie Bonzi - Ostéopathe Equin, Canin",ChIJ517bv8IcyhIRmZFIX6nxtMA,"[u'health', u'point_of_interest', u'establishment']"
0,43.7201152,5.247487,Vival,ChIJh6fDhcIcyhIR-oKmhxO3TxI,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7195652,5.2452242,Raf Constructions,ChIJYfKP3sIcyhIRI3O4DV5WPGs,"[u'roofing_contractor', u'point_of_interest', u'establishment']"
0,43.7196169,5.2446203,PV Sénioriales Promotion,ChIJTTp-IcMcyhIRuriZzsDN3nI,"[u'point_of_interest', u'establishment']"
0,43.7195344,5.2442523,Noblimo,ChIJ32lqI8McyhIR6FXJQOoq1Xc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
