,Latitude,Longitude,Name,Place_id,Type
0,43.48905,5.568998,Châteauneuf-le-Rouge,ChIJK34bW6SayRIRAASX_aUZCAQ,"[u'locality', u'political']"
0,43.489677,5.568657,Restaurant La Maison du Château,ChIJX083T6SayRIRwl6VGcS8MIw,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.4891751,5.5691296,Mairie,ChIJQ8q6I6SayRIRkCpzBNc6_Z4,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4890219,5.5636353,L'Escalette,ChIJmWYo3KaayRIR5BM3My8Fp7g,"[u'health', u'point_of_interest', u'establishment']"
0,43.490284,5.569896,Canines'Cool,ChIJDzV4AaWayRIRN9KTDMLEZs0,"[u'point_of_interest', u'establishment']"
0,43.4890818,5.5646577,Crib Le Cabri,ChIJmWYo3KaayRIR-rhd8ROS-lE,"[u'point_of_interest', u'establishment']"
0,43.4875931,5.5682779,AP Consulting,ChIJvdrgT6SayRIRNf27zOwTH4Q,"[u'point_of_interest', u'establishment']"
0,43.48964,5.56893,Purjus Communication,ChIJvdrgT6SayRIR9Q6NXZyYjh8,"[u'point_of_interest', u'establishment']"
0,43.4886109,5.5661202,LM Piscine,ChIJZyfHvaaayRIRwoLP24Pwbns,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.48905,5.568998,Musée Arteum,ChIJBajVvIKQyRIRiKORX1UIsD4,"[u'museum', u'point_of_interest', u'establishment']"
0,43.4891481,5.567429,Bernard Michel,ChIJQ8q6I6SayRIRQoPu5SZANzY,"[u'point_of_interest', u'establishment']"
0,43.4892899,5.567512,Agence At-home Immobilier,ChIJQ8q6I6SayRIRzSoTKdSctXc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.489238,5.567429,ASR Eurl,ChIJQ8q6I6SayRIRKpEAuXkY-Z4,"[u'point_of_interest', u'establishment']"
0,43.4885719,5.5682015,PLOMBIÊR Marc,ChIJGRgfE6SayRIRxVQHe2YbIxA,"[u'point_of_interest', u'establishment']"
0,43.488361,5.5681047,Pizzas Du Cengle,ChIJ3fKbDaSayRIRH2l3nfKyLQE,"[u'meal_takeaway', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.488292,5.563269,DFM Méditerranée,ChIJXx08NKeayRIRmpvJ1fWPvqU,"[u'point_of_interest', u'establishment']"
0,43.488292,5.563269,Mairie,ChIJXx08NKeayRIRwC4fP6HVwII,"[u'point_of_interest', u'establishment']"
0,43.4870184,5.5616301,adeptfinance,ChIJYevrCgqQyRIRDSFY-CvIt3A,"[u'point_of_interest', u'establishment']"
0,43.4847434,5.5695151,Hamon Jacques,ChIJG3EgWKKayRIRTyspuwwJRYE,"[u'point_of_interest', u'establishment']"
0,43.4890929,5.5573744,La Cardeline,ChIJZWD4NwmQyRIRcvH2Hx72skw,"[u'restaurant', u'cafe', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4891538,5.5685325,Salle Frédéric Mistral,ChIJX_SQI6SayRIRdFMb7C8FYOA,"[u'point_of_interest', u'establishment']"
0,43.4890818,5.5646577,Simon-Dessens Muriel,ChIJmWYo3KaayRIRrdhixY2d7mo,"[u'health', u'point_of_interest', u'establishment']"
0,43.489672,5.568033,13790,ChIJy9dDN6SayRIRNsCi8ZQN5n4,"[u'parking', u'point_of_interest', u'establishment']"
0,43.489646,5.568933,Covance Clinical And Periapproval,ChIJ1Z7gT6SayRIR3BTJoU_8RDI,"[u'point_of_interest', u'establishment']"
