,Latitude,Longitude,Name,Place_id,Type
0,43.38296,5.164636,Châteauneuf-les-Martigues,ChIJXQqlUDTnyRIR8AOX_aUZCAQ,"[u'locality', u'political']"
0,43.3910992,5.139527,SICOMIN,ChIJeYlSKMvgyRIRNs3vaYFSx-I,"[u'point_of_interest', u'establishment']"
0,43.391494,5.1457427,Bollore Energie,ChIJteOMiTTnyRIRdJo_s8-V5K0,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3926426,5.1452217,SMB Gestion,ChIJaR8coDTnyRIRbneL3TwRQ9M,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3917608,5.1445253,Punch Attitude,ChIJmz46mDTnyRIRb9LXZs080qY,"[u'point_of_interest', u'establishment']"
0,43.39055,5.14433,Snack Le Break 44,ChIJzaqV7zXnyRIR120LY3OrdPE,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3895517,5.146414,Antennes Côte Bleue,ChIJMb-5rDXnyRIRUrzH6vkBqP0,"[u'store', u'point_of_interest', u'establishment']"
0,43.3913156,5.1457114,Mondialfeu,ChIJqV2LiTTnyRIRxFF3DMSI87I,"[u'point_of_interest', u'establishment']"
0,43.391062,5.148296,Eynard Robin Provence,ChIJg5ArwzTnyRIR_JSW8zsNUAU,"[u'point_of_interest', u'establishment']"
0,43.3916726,5.1456882,Ouest Isol,ChIJg5ArwzTnyRIRd6uMjF3rnoA,"[u'store', u'point_of_interest', u'establishment']"
0,43.3870386,5.1590751,Caisse d'Assurance Maladie,ChIJ3Ze8VT_nyRIRmXJvF6XJESc,"[u'point_of_interest', u'establishment']"
0,43.389674,5.148682,Cates,ChIJlYUUfjbnyRIR5SQfLaCB5Nw,"[u'point_of_interest', u'establishment']"
0,43.391095,5.144537,Peintures Maestria,ChIJNaAkwDTnyRIRDz-rvUV7-Lo,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3902784,5.146553,Eurotech13,ChIJl29K0iTmyRIRzyvfZel1ceA,"[u'general_contractor', u'painter', u'point_of_interest', u'establishment']"
0,43.3899482,5.1457575,GP IMPORT AUTO,ChIJS17aWjHnyRIRfh1CEXeht8s,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.390118,5.143178,O M P,ChIJZS_RKsvgyRIRTzoGWLBG9Fs,"[u'point_of_interest', u'establishment']"
0,43.3898446,5.1445818,Serviplus,ChIJH7h02jTnyRIRNzdKJHnP47Q,"[u'point_of_interest', u'establishment']"
0,43.3901871,5.1459691,LTTS,ChIJh54CqMvgyRIRozaokoK6OUI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.39126,5.14706,S M T,ChIJwTzCejPnyRIRQ4yBJYPYn9I,"[u'point_of_interest', u'establishment']"
0,43.3917608,5.1445253,Adt Trad,ChIJoyvHejPnyRIRrk8bLOShGEw,"[u'point_of_interest', u'establishment']"
0,43.39055,5.144334,Le Chateau,ChIJoQJca8zgyRIRUQDZ_fb65kc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3901756,5.1450398,L'Image Multimédia,ChIJX7x54zTnyRIRlpNS8bkxcoI,"[u'point_of_interest', u'establishment']"
0,43.3892233,5.1438417,Ambulance la Medeenne,ChIJV9NYFjXnyRIREc-lQCwnxw4,"[u'health', u'point_of_interest', u'establishment']"
0,43.388941,5.153538,Vision,ChIJsb4ajDfnyRIRayWAKMU-yF4,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.3901316,5.1445118,Sotim Industrie,ChIJ5Y732jTnyRIRhcFhnzQ3jgw,"[u'point_of_interest', u'establishment']"
0,43.3917317,5.1439746,Modul'Espace,ChIJmz46mDTnyRIRcmJZTIhyHmE,"[u'point_of_interest', u'establishment']"
0,43.3900485,5.1427349,Eurl Ambiance Deco,ChIJS4pSKMvgyRIRggqpSLHeaRA,"[u'painter', u'point_of_interest', u'establishment']"
0,43.3902232,5.1426759,Eau spa,ChIJYzBUKMvgyRIRMw2rp4x0Xrs,"[u'store', u'point_of_interest', u'establishment']"
0,43.3888075,5.1446845,Alex Emballages Services,ChIJsQzhFDXnyRIRZlOjF8m9fx8,"[u'point_of_interest', u'establishment']"
0,43.3897775,5.1484435,ATSI FORMA'LOG,ChIJVVVVVQXnyRIR4QdYRZ28lGw,"[u'point_of_interest', u'establishment']"
0,43.3903975,5.1437073,SOS Oxygene Provence,ChIJX9Pa0DTnyRIR_BkCtv-Z7BY,"[u'point_of_interest', u'establishment']"
0,43.3917317,5.1439746,Baretti,ChIJmz46mDTnyRIRutsrOAxTQDg,"[u'point_of_interest', u'establishment']"
0,43.3900485,5.1427349,Sam'Elec,ChIJ8fxklRTnyRIR-uUUhxpVjUM,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3862704,5.1533525,Mairie,ChIJO3VFCUjnyRIRiNbDnH1FYAI,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.391065,5.147688,Eynard-Robin,ChIJXVGVFzTnyRIReqt4Ftkonho,"[u'point_of_interest', u'establishment']"
0,43.391761,5.144525,HTE SANITATION Dératisation Désinsectisation Désinfection,ChIJmz46mDTnyRIRh9zZSG8zD6I,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.39055,5.144334,Consulting Management Ingenierie Int,ChIJwborwzTnyRIRn9RBHL3qKfc,"[u'point_of_interest', u'establishment']"
0,43.3901168,5.1434663,Versant Travaux Speciaux,ChIJrwrL1TTnyRIRCQMajVqipfk,"[u'point_of_interest', u'establishment']"
0,43.3908436,5.1449795,Jca Electricite,ChIJU-Et7DTnyRIRKLAsSl7_38I,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3908436,5.1449795,La Vente Moderne Et Technique,ChIJU-Et7DTnyRIRrXfcVVGwN2o,"[u'point_of_interest', u'establishment']"
0,43.3904981,5.1438301,Delt'amiante,ChIJa08M0DTnyRIRI4VvVwgW0Vs,"[u'point_of_interest', u'establishment']"
0,43.3907017,5.1441055,Aménagement Provence Habitat,ChIJzxFgxDTnyRIRR4xa_FOc5cE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3913621,5.1461338,Assistance Technique en Sécurité Industr,ChIJecL_YzTnyRIRSUocs9J3faI,"[u'finance', u'point_of_interest', u'establishment']"
0,43.3917317,5.1439746,2DM,ChIJh249oDTnyRIR0GvmID5biTc,"[u'point_of_interest', u'establishment']"
0,43.3927,5.144637,Technique Service Piscine,ChIJ2cEPZzPnyRIR7GdW9uFmtA8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3930267,5.1440817,Sensuellement Toi,ChIJ19UKBYw--kcR7Kz5rFSOX8g,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3918073,5.1454575,Ouest Isol,ChIJIYvQhTTnyRIRIYK0gju4WdE,"[u'point_of_interest', u'establishment']"
0,43.3877401,5.1564024,Nursery School Pierre Et Marie Curie,ChIJzVA8jzjnyRIRxbY-h1BfNcs,"[u'school', u'point_of_interest', u'establishment']"
0,43.3904542,5.1407386,Titanium,ChIJtxLYCcvgyRIRW6HFqaeyXbo,"[u'point_of_interest', u'establishment']"
0,43.383445,5.155747,Carrières Gontéro,ChIJUbTrX0bnyRIRUAAxtX7-WRs,"[u'point_of_interest', u'establishment']"
0,43.3906314,5.1400279,Drager Safety France,ChIJXW_Hr8vgyRIRJrY3EQuvMv8,"[u'point_of_interest', u'establishment']"
0,43.3862572,5.1571196,Caprice de bonbons,ChIJ3en7bkfnyRIRwm54W6s2ikQ,"[u'point_of_interest', u'establishment']"
0,43.3930267,5.1440817,Sensuellement Toi,ChIJIaZEezPnyRIRvZY2iv01fTU,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3910467,5.1402212,Altrad Plettac,ChIJwborwzTnyRIR8YFmwDijr5E,"[u'point_of_interest', u'establishment']"
0,43.3927591,5.141765,AAAA La Formation,ChIJs2_LmMzgyRIR9_S8eBVQ7Tk,"[u'health', u'point_of_interest', u'establishment']"
0,43.3927629,5.141805,Michel Ambre,ChIJyW_LmMzgyRIR1sonx5I3hYM,"[u'health', u'point_of_interest', u'establishment']"
0,43.3908888,5.1387935,Sicomin Composite,ChIJO-hWKMvgyRIRfkIpKLu0NZc,"[u'point_of_interest', u'establishment']"
0,43.3943027,5.1418909,Chateauneuf Hand Ball,ChIJu3i6_0HnyRIR8xwsb2QUSC8,"[u'point_of_interest', u'establishment']"
0,43.3869633,5.1590561,Les Restaurants Du Coeur les Restaurants Du Coeur,ChIJo2G7VT_nyRIR1spxBJyLwyk,"[u'point_of_interest', u'establishment']"
0,43.392099,5.15484,Camping les cypres,ChIJs1LdPqXnyRIRmlSE3usn4Ag,"[u'campground', u'rv_park', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.3826349,5.1556927,Noulet Emmanuel,ChIJe5BbekbnyRIRhH--UeRYtx4,"[u'point_of_interest', u'establishment']"
0,43.3834798,5.156287,Entreprise de Travaux Publics Jean Spada,ChIJUbTrX0bnyRIRk3bCx9N-U3g,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.386282,5.1502813,Bezon Philippe,ChIJ2dRzxEnnyRIRfxyIliiQAkY,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.355331,5.203593,Ensuès-la-Redonne,ChIJL2b3gmXdyRIRPTzxtaP7BfE,"[u'locality', u'political']"
0,43.3948866,5.1360842,Hôtel Chateauneuf Les Martigues,ChIJxfctjc7gyRIRCL2s7ZPwyVY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.395118,5.140566,Balladins Superior Hotel Chateauneuf Les Martigues,ChIJ9bI51g_nyRIRPnJ6oV2tcJQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.3947784,5.1375716,David Auto Provence,ChIJZ2l2i87gyRIRtjf-P7vmBH4,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.3938647,5.1381599,Sun Copy,ChIJj8PWns7gyRIREJMPnpbGM5U,"[u'point_of_interest', u'establishment']"
0,43.394383,5.141344,Club de football Américain Les Jaguars,ChIJd-pXISsfthIRZ0abDXKlvVg,"[u'point_of_interest', u'establishment']"
0,43.3932711,5.1374213,Moto Club de Chateauneuf les Martigues,ChIJsXE7pc7gyRIRNJMcySbNMR8,"[u'point_of_interest', u'establishment']"
0,43.393775,5.138731,CITROEN SARL CHATEAUNEUF AUTOMOBILES,ChIJg5ArwzTnyRIR4htW6kroy4E,"[u'car_rental', u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.393855,5.138165,Autosur,ChIJg5ArwzTnyRIR5UPjCEp_e_c,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3935815,5.1372646,Normandie Appâts,ChIJsXE7pc7gyRIRUPwiWEXZogg,"[u'store', u'point_of_interest', u'establishment']"
0,43.393766,5.13885,Chateauneuf Automobiles - Citroën,ChIJ9YklFszgyRIRTcvljBP6Wog,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.393459,5.138578,"INGEAP (INGEnierie, Assistance, Partenariat)",ChIJu3i6_0HnyRIRro6AZmavWDM,"[u'point_of_interest', u'establishment']"
0,43.393915,5.137696,Literie Plus,ChIJu3i6_0HnyRIR3C4lIrMYNg4,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3932998,5.1387075,EO TECHNOLOGY Grossiste LED,ChIJ39RoEMzgyRIR0e9sBPhE7cw,"[u'point_of_interest', u'establishment']"
0,43.3834576,5.1621367,Immobilier Châteauneuf-les-Martigues Solvimo,ChIJCbfzt0HnyRIR_m1jKWcehCE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3832828,5.1646709,Ville de Chateauneuf Les Martigues,ChIJm9A1c2rnyRIR5i6ZJPu5fkY,"[u'city_hall', u'local_government_office', u'lodging', u'point_of_interest', u'establishment']"
0,43.38458,5.1601401,Post Office Chateauneuf Les Martigues,ChIJxfctjc7gyRIR-U2hCKnkXKA,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.3897915,5.1630298,Happy Days,ChIJFUU_RT7nyRIRtmaJQQkCcTw,"[u'night_club', u'point_of_interest', u'establishment']"
0,43.3874942,5.1598568,Maison de retraite Châteauneuf-les-Martigues - Les Opalines,ChIJG9GBQz_nyRIRURXE7U0LDi4,"[u'meal_delivery', u'health', u'food', u'point_of_interest', u'establishment']"
0,43.3866397,5.1618394,PCA Sarl,ChIJLXkwf0DnyRIRPsf4UHDbuRQ,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3839915,5.1615945,Agence Energissimo,ChIJF9WkcWrnyRIRzR2LPifsMGw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.390953,5.162029,Sas Nutrizoo,ChIJO-tU1XPnyRIRm0CkfttAuAY,"[u'pet_store', u'store', u'point_of_interest', u'establishment']"
0,43.382926,5.1646272,Mairie (Accueil Renseignements),ChIJm9A1c2rnyRIRI3zF1gLoV48,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3910389,5.160841,Svelte'Attitude,ChIJu3i6_0HnyRIRypNJrCQLBic,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.382992,5.164415,Caisse d'Epargne Chateauneuf les Martigues,ChIJsWytEmrnyRIRNbPF-U3qm14,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3867456,5.1629567,Brallet Jean Pierre,ChIJPxmGB0DnyRIRCDywTItSwZY,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.3866232,5.1618383,Centre Secours,ChIJwXYjf0DnyRIRLkHZLD_9XiM,"[u'point_of_interest', u'establishment']"
0,43.3836989,5.1636116,Mairie,ChIJAbl3EW7nyRIRbNOWSVKfm2E,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3909331,5.1616691,CAVE A VIN TERROIR & TRADITION,ChIJgS5fYz7nyRIR7259qQJ0QU0,"[u'point_of_interest', u'establishment']"
0,43.3836096,5.1635973,LVMT,ChIJI15k2kHnyRIRQIzM-9a6YPk,"[u'point_of_interest', u'establishment']"
0,43.391101,5.160548,Azimut Nature,ChIJu3i6_0HnyRIRq76O9pOAg7Y,"[u'store', u'point_of_interest', u'establishment']"
0,43.3837478,5.1631089,Crédit Agricole Alpes Provence,ChIJB2ozxEHnyRIRBKNIlJ7QnQk,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.384376,5.1617498,Assurance AXA M LLAMAZARES JOSE,ChIJdTVGU0DnyRIRRnH2E9Q3upc,"[u'insurance_agency', u'bank', u'health', u'finance', u'point_of_interest', u'establishment']"
0,43.3851145,5.1612905,Primary School Roger Salengro,ChIJoyw090DnyRIRdqTbyj1F66k,"[u'school', u'point_of_interest', u'establishment']"
0,43.3830176,5.161911,Eurorepar MG Garage,ChIJp8hGmEHnyRIR1ewsxYz-7dg,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.386929,5.161519,Sarl Pca - Citroën,ChIJH13JgT_nyRIRhHOTdyhpi2c,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3867136,5.1638756,Pharmacie du Clos,ChIJS1S0qmrnyRIRHOfPhs3ygXU,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3840791,5.1639545,CanaillouGoth,ChIJz7Ue1UHnyRIRkB8lk5gx-1E,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.390789,5.161203,CASTELIMMO,ChIJafVpfT7nyRIR7TSBoEeJ1SQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.390656,5.162039,SDIS - Societe de diffusion industrielle et sanitaire,ChIJTWvhZT7nyRIRCiHOrFg0m00,"[u'store', u'point_of_interest', u'establishment']"
0,43.3843957,5.1619964,A.f.s.p,ChIJz548U0DnyRIRmAq8agu03QQ,"[u'point_of_interest', u'establishment']"
0,43.3831725,5.1656813,Activ ' Agence,ChIJYeLXQGrnyRIRduCK4lvTQCQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.383475,5.164078,NEWCASTLE COUNTRY DANCER'S FRANCE,ChIJ7dMydmrnyRIRP4b3Jcd7leU,"[u'point_of_interest', u'establishment']"
0,43.390649,5.162061,Aquadis piscine - SDIS,ChIJN9viZT7nyRIRZK0zexjtHjw,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.3870347,5.1597732,Sgmr,ChIJyVQ6WT_nyRIR1_3XKLTSD4g,"[u'health', u'point_of_interest', u'establishment']"
0,43.384822,5.160547,Town Hall,ChIJ1_c25EDnyRIR8g7mKjVkhio,"[u'school', u'point_of_interest', u'establishment']"
0,43.3867442,5.1621626,Tours Conseils,ChIJUREciD_nyRIRDUbo6Oi-6Lk,"[u'point_of_interest', u'establishment']"
0,43.3910068,5.1622037,ETIS Immobilier,ChIJIW0_cD7nyRIRovlNHLjZnsw,"[u'point_of_interest', u'establishment']"
0,43.391264,5.161256,"""Flaner en Provence"" AR.PROVENCE",ChIJDzzShj7nyRIROqAdFMa0AuA,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3894875,5.1620753,LEBAS CONSEIL,ChIJV1LkUT7nyRIRpg2dbzz85eE,"[u'point_of_interest', u'establishment']"
0,43.3836948,5.1626636,Hall de la Presse,ChIJM_MguEHnyRIR1Z55RmVGe3Y,"[u'store', u'point_of_interest', u'establishment']"
