,Latitude,Longitude,Name,Place_id,Type
0,43.8820059,4.855685,Châteaurenard,ChIJHVhC0lTutRIRtgdpL1MWNAg,"[u'locality', u'political']"
0,43.887468,4.8438075,Tondoland,ChIJTfXxFN7utRIRZdjfQl62NvQ,"[u'hardware_store', u'store', u'point_of_interest', u'establishment']"
0,43.8889621,4.8424084,"Piscines DESJOYAUX 84, Ent. BERTHIER",ChIJsYbmp_rutRIRr6qN0_PUul0,"[u'spa', u'store', u'point_of_interest', u'establishment']"
0,43.8843557,4.8506055,BIOAXIOME CHATEAURENARD,ChIJ3QSQyPjutRIRGP3_EJ7BRak,"[u'health', u'point_of_interest', u'establishment']"
0,43.88432,4.85007,Vintage Scooter Service,ChIJC62F0fjutRIRA0Ud15s5BFI,"[u'store', u'point_of_interest', u'establishment']"
0,43.8853645,4.8491846,Coup de Coeur Immobilier,ChIJI_esHvnutRIRWjIi0gRGwe0,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8808276,4.8501384,Reflex Inserim,ChIJ5-Hduv_utRIRr75NREUchXM,"[u'point_of_interest', u'establishment']"
0,43.8863625,4.8347676,Chocolaterie de l'Opéra,ChIJDYmDYj7stRIRJ3D1Twlr1ZI,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8842727,4.849838,Edifac Sarl,ChIJNa9B0fjutRIRIE13LjJoKo0,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8862938,4.8469149,DEP'Art / Ecole prépa concours des ecoles d'art et de restauration-conservation,ChIJ4yc4f_nutRIRJmUKb520E3A,"[u'school', u'point_of_interest', u'establishment']"
0,43.8794861,4.8445193,Du Tilleul,ChIJOyrngP3utRIRgAm80DbpCH4,"[u'food', u'point_of_interest', u'establishment']"
0,43.8793085,4.8435368,Le jardin de laurent,ChIJOyrngP3utRIRCIqMLcpr9Fg,"[u'food', u'point_of_interest', u'establishment']"
0,43.8864418,4.8364839,Mehadrin International,ChIJTfXxFN7utRIRRO3OjzDkE6c,"[u'point_of_interest', u'establishment']"
0,43.8860563,4.8352184,Biogenese,ChIJV4P46ObutRIRTi53lvPcL0I,"[u'point_of_interest', u'establishment']"
0,43.8811044,4.838414,RS Ferronnerie Métallerie,ChIJj6LDfR3vtRIRLPODkFpgLpU,"[u'point_of_interest', u'establishment']"
0,43.8811044,4.838414,Renaud Sebastien Clement,ChIJQanDfR3vtRIRrM7ZVFyI8_c,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8883258,4.8409748,Fruitex,ChIJW4toRVTutRIR1bd8qnZBBPQ,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.87966,4.845528,CF ALTERNATIVE,ChIJRXO9jP3utRIRArcz0XhW5sY,"[u'electrician', u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.8865955,4.8383483,Copadel,ChIJTfXxFN7utRIRLB1E35fUwmU,"[u'point_of_interest', u'establishment']"
0,43.8802272,4.8445502,Giovanni Rénovation,ChIJmeMbnP3utRIRkTwIys7MvkM,"[u'point_of_interest', u'establishment']"
0,43.8873239,4.8377457,Mehadrin Services,ChIJRZ8WyOXutRIRo3N4sZfly_E,"[u'point_of_interest', u'establishment']"
0,43.8795466,4.8331938,Solis Culturae,ChIJ1Qj3zR_vtRIRoB55lqzfhng,"[u'point_of_interest', u'establishment']"
0,43.8890038,4.8416078,Picard,ChIJVc8UhVfutRIR6PcY712AdOc,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.884983,4.8472573,Maurin (SAS),ChIJb0k8XPnutRIRpQRT3rgi2UU,"[u'point_of_interest', u'establishment']"
0,43.889029,4.839517,ASSELA,ChIJlfnvVP_utRIRQyHKqXhcEsg,"[u'store', u'point_of_interest', u'establishment']"
0,43.889004,4.841694,Cellier du Castel,ChIJU0osrRLstRIROa0lp6A3hjU,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.887557,4.845182,LAUMACO S.A.R.L.,ChIJyQzc41futRIRq-CxlpE1Bk0,"[u'point_of_interest', u'establishment']"
0,43.8775263,4.8338819,Morelli Travaux Publics Sarl,ChIJZ8AYVR7vtRIRbjqimZLlptU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8892244,4.8412629,Hydralians - Somair Gervat,ChIJP_xkkPrutRIRBNQcqntzUlw,"[u'store', u'point_of_interest', u'establishment']"
0,43.8831271,4.8489114,Lariviere Philippe,ChIJia8V2_7utRIRb63zSUWSaBk,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.88849,4.843503,Giovanni Favaro,ChIJsTXLj_rutRIRJGU3RmNJAIg,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.885147,4.849466,ECF Maryline Cherri,ChIJ9W353_jutRIRYchA8ruN37I,"[u'point_of_interest', u'establishment']"
0,43.8807808,4.8308553,Omag Sud Agro Perret,ChIJ98oz5N_utRIR9eY960UysY4,"[u'point_of_interest', u'establishment']"
0,43.8827644,4.8495615,Sud Dépannage,ChIJ3Vc8IP_utRIR4mBcXqFhYE0,"[u'point_of_interest', u'establishment']"
0,43.8839239,4.8495375,Entreprise GONON Ghislain,ChIJA29d1fjutRIRcfBBxMEDpcc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8848067,4.8493127,Marbrerie Pompes Funèbres Jouve et Fils,ChIJYylAIfnutRIREoyBSLUv_GE,"[u'point_of_interest', u'establishment']"
0,43.8851612,4.8488027,"Ame D""ongle",ChIJxYn5F_nutRIRZo1ma1H-hXg,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.8842705,4.84934,Sobodis,ChIJQUzOLvnutRIRwvGMprvFO_I,"[u'food', u'point_of_interest', u'establishment']"
0,43.8864143,4.8486875,Rippert Michel,ChIJJ_ekTjHitRIRlD3QuojQZic,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8796416,4.8493751,Acthemis,ChIJH5Ebxv_utRIRaakvtUNoc7k,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.8853905,4.8489904,Prayet Dany,ChIJOQH1GfnutRIRy7yDsyUBruE,"[u'jewelry_store', u'store', u'point_of_interest', u'establishment']"
0,43.8804923,4.8501344,Post Office,ChIJ5-Hduv_utRIRgFLxK5cxmeI,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.8836334,4.8301059,Concept Telecom,ChIJ617pLfnutRIRrLo3GVYjZUw,"[u'point_of_interest', u'establishment']"
0,43.8880661,4.8463922,Salez Jean-Lou,ChIJl_q1G_rutRIRLXejOWRbWZw,"[u'point_of_interest', u'establishment']"
0,43.8876072,4.8479933,Ad'hocpneu,ChIJ6UDnkvnutRIRrwxULHn6z1A,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.8847569,4.8498118,One Day Communication,ChIJ5V48-VXutRIR62uQX2xy8yM,"[u'point_of_interest', u'establishment']"
0,43.8861399,4.8297726,Idyl,ChIJqZAQz93utRIRFMQeFgz-OlI,"[u'point_of_interest', u'establishment']"
0,43.8841398,4.8505545,Imprimerie des Tours,ChIJhYgsyPjutRIRDJaMa45Y5Uk,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.889349,4.8347123,Gaillardet Orlando,ChIJXUekmejutRIRIBrFXOYZJWg,"[u'point_of_interest', u'establishment']"
0,43.8819363,4.8506036,DIA,ChIJk0XvGv_utRIRA26zgLpvQ4E,"[u'store', u'point_of_interest', u'establishment']"
