,Latitude,Longitude,Name,Place_id,Type
0,43.56219,5.0722569,Cornillon-Confoux,ChIJzRaqCXj9yRIR_yAzkDXzIo0,"[u'locality', u'political']"
0,43.5769001,5.0698521,Les Ecuries De Riboulam,ChIJWaFKjXf9yRIRcmB3ous2b7k,"[u'point_of_interest', u'establishment']"
0,43.57809,5.07424,Garcia Forages,ChIJS7WO4JP9yRIRk9E4dFn6BsA,"[u'point_of_interest', u'establishment']"
0,43.5783695,5.0729648,les écuries d'éole,ChIJe_kV05P9yRIRfUxwlbyha3E,"[u'point_of_interest', u'establishment']"
0,43.5769156,5.0698199,Rivera Maurice,ChIJWaFKjXf9yRIRe6xHLeEw4NA,"[u'point_of_interest', u'establishment']"
0,43.574139,5.068464,Bizot Cascales Laurence,ChIJUer4kI_9yRIRp4dS3YLwA7o,"[u'point_of_interest', u'establishment']"
0,43.574139,5.068464,Garraffo Angelo,ChIJX_b4kI_9yRIRTjx0983myUg,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.572763,5.069348,Nounou Lily Assistante maternelle Agréée,ChIJiROnz5P9yRIRiyFxpQAyueg,"[u'point_of_interest', u'establishment']"
0,43.57339,5.08487,Wendel Eric Jean-Paul,ChIJi2Scubz9yRIR4zx6AQctstI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.57339,5.08487,Dossetto Jean-Francois,ChIJRafLu7z9yRIRbotPPDHlr6w,"[u'food', u'point_of_interest', u'establishment']"
0,43.57339,5.08487,Proust François,ChIJRafLu7z9yRIR_cFQOuNG9YY,"[u'food', u'point_of_interest', u'establishment']"
0,43.58341,5.08503,Sci Via Aurelia Confoux,ChIJQ7k7rsD9yRIRzIn1QVxj5HM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.58341,5.08503,Mauro Philippe Daniel,ChIJQ7k7rsD9yRIR3FrrlBJcrB8,"[u'food', u'point_of_interest', u'establishment']"
0,43.5729929,5.084803,Aillaud Marie Dominique,ChIJ17matrz9yRIR1i42BDv8XxY,"[u'point_of_interest', u'establishment']"
0,43.582764,5.085465,Confoux,ChIJQ7k7rsD9yRIR7McgVOKgD2w,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.550669,5.034508,Saint-Chamas,ChIJTRirTeoCthIRTIH89NUuxbE,"[u'locality', u'political']"
0,43.5694759,5.0715523,La Pinède,ChIJPQi18nf9yRIRMaVIZXBi4Zc,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.563531,5.072057,Mairie et Office de Tourisme de Cornillon-Confoux,ChIJzQz32Hf9yRIROfSTMbyCNm8,"[u'point_of_interest', u'establishment']"
0,43.5625121,5.0718127,Mairie,ChIJK7o-GOwCthIR-wq2tO5AztM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.563768,5.071849,"Maison de la Santé (Médecin généraliste, kinésithérapeute et infirmières)",ChIJzTaaYZ39yRIR5K3b5s7pkCw,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.562507,5.071803,La Poste,ChIJ0-eTwHf9yRIRYSGYbbkB5ns,"[u'point_of_interest', u'establishment']"
0,43.562613,5.071477,Musicadanse,ChIJvw_26nf9yRIRITVmS2kuivg,"[u'point_of_interest', u'establishment']"
0,43.562507,5.071803,Ass Fonciere Remembrement Romegoux,ChIJi1aRwHf9yRIRvByFrtS01h8,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.56219,5.0722569,Lacroix Loic | Compositeur Arrangeur,ChIJu4P_2Xf9yRIRY9XXpnKBWcI,"[u'art_gallery', u'point_of_interest', u'establishment']"
0,43.56255,5.071546,Town De Cornillon Confoux,ChIJqbmZ6nf9yRIRXGFabluJDOw,"[u'school', u'point_of_interest', u'establishment']"
0,43.5623201,5.071586,SARL le Printemps,ChIJ0QrVv3f9yRIR3_4FQ2M-xWQ,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5619907,5.0714928,Bar-Restaurant Le Beffroy,ChIJnayDvXf9yRIRgO2CoX3GzDU,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.562469,5.0708,Taberner Fleurs,ChIJWaFKjXf9yRIRZO_e_msLumI,"[u'food', u'point_of_interest', u'establishment']"
0,43.569695,5.088043,Les écuries Kanel,ChIJ3TzgaZH9yRIRDl9FdFJHHSA,"[u'point_of_interest', u'establishment']"
