,Latitude,Longitude,Name,Place_id,Type
0,43.558086,5.251238,Coudoux,ChIJQ7WWPovwyRIR11_4Wew9ol8,"[u'locality', u'political']"
0,43.5569929,5.2484687,Mairie,ChIJWZ_kx_XwyRIRwbwpu29hRDU,"[u'point_of_interest', u'establishment']"
0,43.558376,5.250392,Immobiliere Carnot,ChIJo5_rVvTwyRIRB3zOKcmA1N4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5582714,5.250811,Dentiste - Dr Olivier Petry,ChIJiR6eOvTwyRIRidk28yknDLI,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.5586303,5.254195,Coopérative Oléicole de Coudoux,ChIJ-W2B7PbwyRIRlZtJB7eo8NQ,"[u'point_of_interest', u'establishment']"
0,43.5572315,5.251524,Elementary School Danielle Germond,ChIJWZ_kx_XwyRIR5srprNvCVFo,"[u'school', u'point_of_interest', u'establishment']"
0,43.558595,5.2517257,Pharmacie de Coudoux Genoux Brandsma,ChIJp3fDcvXwyRIRxzZIzfgt0hQ,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.558241,5.261194,Château Saint Hilaire - Vins & Huile d'Olive d'Aix en Provence AOP COTEAUX D'AIX EN PROVENCE,ChIJz9uaukpe_UcRwxr0F99Ob8A,"[u'food', u'point_of_interest', u'establishment']"
0,43.5584889,5.2508287,FG Paysage,ChIJaxPpRPTwyRIRLpw1j3Fw5po,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5565204,5.2500841,SARL ALAVER INFORMATIQUE,ChIJwdLUdfXwyRIRj96uXAELGfU,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.5580784,5.2505246,Mapilo,ChIJsx6eOvTwyRIRY8TrQQHJFvU,"[u'store', u'point_of_interest', u'establishment']"
0,43.5568735,5.2496055,Nursery School,ChIJFWrpn_XwyRIR17e9ngrrmew,"[u'school', u'point_of_interest', u'establishment']"
0,43.5587758,5.2520164,Savornin Florence,ChIJ-TJys_XwyRIR7XdN_T3e7os,"[u'health', u'point_of_interest', u'establishment']"
0,43.558622,5.252024,Sunny Sushis,ChIJh93tOvTwyRIRBt-2vkoYGCg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.557839,5.2510778,Mairie - accueil-standard,ChIJ-TJys_XwyRIRZPJVcrJBi8E,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5573212,5.2515144,Mairie,ChIJWZ_kx_XwyRIRQSW1VVQ_AI0,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.560675,5.2461845,A.D.I Aix Diagnostic Immobilier,ChIJsysaoIzwyRIRP0-pQquMN4Q,"[u'health', u'point_of_interest', u'establishment']"
