,Latitude,Longitude,Name,Place_id,Type
0,43.27548,5.700041,Cuges-les-Pins,ChIJdWFUlL-gyRIRsAOX_aUZCAQ,"[u'locality', u'political']"
0,43.2786936,5.7142109,Tixos,ChIJI-vKDcWgyRIRtwVXqxBZiDg,"[u'point_of_interest', u'establishment']"
0,43.2772437,5.7040159,Chapelle Saint-Antoine,ChIJSy3thMagyRIRwso9_Gtl3Co,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.275619,5.71304,E.C.A,ChIJ67sKl7mgyRIRtFpU8rwY7xQ,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.275356,5.7136339,Le Jardin des Passions,ChIJzQtOlMegyRIRUsi4Kv6bsS4,"[u'point_of_interest', u'establishment']"
0,43.274366,5.708684,Office National Forêts,ChIJAXDH_segyRIRZu2kKDGKa9Q,"[u'point_of_interest', u'establishment']"
0,43.2747427,5.7047183,YDModels SARL,ChIJjfSeGcagyRIRhpcPU1zS0zg,"[u'point_of_interest', u'establishment']"
0,43.2752217,5.7045573,restoadom,ChIJxUT1E8agyRIRt2y5K9Qku-E,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.2752217,5.7045573,Calmettes Henri-Charles peintre provençal,ChIJCwL4a8WgyRIRMazreP6i0eg,"[u'painter', u'point_of_interest', u'establishment']"
0,43.275604,5.703846,Lei Tambourinaire Cujen,ChIJj9jbdMagyRIRGZAOfQbbRbw,"[u'point_of_interest', u'establishment']"
0,43.2767233,5.7017602,AT2E,ChIJH_H2ssWgyRIRaEYhjlXiJDU,"[u'point_of_interest', u'establishment']"
0,43.273272,5.7112354,Services techniques municipaux,ChIJqzb3Y8WgyRIRQBNRSCwqHAc,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.2759589,5.7018512,Albaranes Francois,ChIJF_V_u8WgyRIRQxIECnsI8zM,"[u'point_of_interest', u'establishment']"
0,43.2739792,5.7043987,Nursery School Pierre Cornille,ChIJqzb3Y8WgyRIR6xyWbJgj0lw,"[u'school', u'point_of_interest', u'establishment']"
0,43.275162,5.7021121,FCPE,ChIJtxtJksWgyRIRoNgy4qNYOec,"[u'point_of_interest', u'establishment']"
