,Latitude,Longitude,Name,Place_id,Type
0,43.355331,5.203593,Ensuès-la-Redonne,ChIJL2b3gmXdyRIRPTzxtaP7BfE,"[u'locality', u'political']"
0,43.3565639,5.2032192,SARL CICARD SERVICES,ChIJ2T9zkG_dyRIRK6GxpXSCWHY,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.3553219,5.1970491,Agimmo,ChIJrT0Imm_dyRIRNVPdCXTTxag,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3553219,5.1970491,L'Institut Source de Beauté,ChIJrT0Imm_dyRIRqQpCaxATC7w,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.355276,5.197159,Docteur NOEL GRAVIER Nadia,ChIJtXmcvOPurhIRpEv8gFiSZ5g,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3554321,5.1965877,Tennis Club D'ensues,ChIJSQ-sBnrdyRIRQcwWOFa4l0c,"[u'health', u'point_of_interest', u'establishment']"
0,43.3553,5.1969,MMA Ensues La Redonne,ChIJrT0Imm_dyRIRJ_nQUjIrL4k,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.353769,5.199784,Bambino,ChIJzYB4FxvdyRIRaiaB_uoBKks,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3538694,5.2004099,Nursery School D'ensuès La Redonne,ChIJ88NKK2_dyRIRMP1po3cQU9c,"[u'school', u'point_of_interest', u'establishment']"
0,43.3556093,5.2042295,Foyer Rural,ChIJuxBGdGjdyRIRspYnaVfBMkk,"[u'point_of_interest', u'establishment']"
0,43.3553733,5.1960344,Intermarché Contact,ChIJ4QIyEHDdyRIRWJoaOdE-Oic,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.356588,5.20696,Pharmacie des Calanques,ChIJfyyyRl3dyRIRiTL6OQhZqZ0,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3553219,5.1970491,Seror-Lambert Nathalie,ChIJrT0Imm_dyRIR6FkN0_S39o4,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3554687,5.1983969,GMHabitat,ChIJa_yy20jlyRIRrC2oltxbdvw,"[u'point_of_interest', u'establishment']"
0,43.355609,5.1951812,Bella Donna,ChIJs45WkG_dyRIRNR041kSQa3g,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.3551671,5.2070592,Renault,ChIJzb3LvkLdyRIREXDCUszO13A,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.3553207,5.1973694,Gouiran Sebastien,ChIJuXAQmm_dyRIRrpaRMlRr3FI,"[u'health', u'point_of_interest', u'establishment']"
0,43.3552604,5.197808,Fabienne Garreau,ChIJbbQRmm_dyRIRSOCPLZ6FKMM,"[u'point_of_interest', u'establishment']"
0,43.3558787,5.2003319,Comité Communal Feux de Forêts,ChIJF8RsVG_dyRIRmgfp5sTB4nc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.351071,5.194041,Les Besquens,ChIJszSgInLdyRIRUkPsmkQyqfY,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.35478,5.203382,Societe Delaguila,ChIJ5WUoXmjdyRIRRETOSZHEDsM,"[u'amusement_park', u'point_of_interest', u'establishment']"
0,43.3546496,5.2035602,Secours Catholique Ensues la Redonne,ChIJC4bOXWjdyRIRSbp-u3FrgMc,"[u'point_of_interest', u'establishment']"
0,43.355331,5.203593,Les Palmiers,ChIJOXHHZGjdyRIRgBgX99q9F8s,"[u'point_of_interest', u'establishment']"
0,43.355369,5.2035917,la salamandre,ChIJOXHHZGjdyRIRoqoeGS_UhMI,"[u'point_of_interest', u'establishment']"
0,43.3555779,5.195543,Pizza Bambino,ChIJqz-SHHDdyRIRXirdjZXlZjM,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.354482,5.204404,La Poste,ChIJw_THQGjdyRIRW1dgTl_Oe5U,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.3530054,5.193196,Evolubat,ChIJZe-9n3HdyRIRZ2vpZKtmPOc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3564129,5.2056751,Mairie,ChIJBXY4-GfdyRIR6wxEZUu0rGY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3561184,5.1906275,Stade Municipal d'Ensuès-la-Redonne,ChIJycL5rnDdyRIRPL_V9341VRg,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.3569627,5.2072832,Domitine,ChIJ-1rpP13dyRIRFcDtsF31orM,"[u'store', u'point_of_interest', u'establishment']"
0,43.346728,5.203454,A+ PISCINES,ChIJG8CB8okIyhIR4Zo3P5-mjvU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3450809,5.2006985,Graphic Design Communication Créative,ChIJZy8NnhTdyRIRp5SwnsMJ8is,"[u'store', u'point_of_interest', u'establishment']"
0,43.3565394,5.2111464,cotebleuedeco,ChIJucPnWFvdyRIRt-v_iJh6rJI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3553318,5.2034772,Anaïs Coiffure,ChIJk5PMfGjdyRIRrkPZ9e8PR9Y,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3553219,5.1970491,Garnier Michel,ChIJrT0Imm_dyRIR2NEiwUJ_ikI,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3553219,5.1970491,Vernin Yves,ChIJrT0Imm_dyRIR-QAT7J8VSBg,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.3536,5.19892,13820,ChIJI6_Q427dyRIRGekGGkpgz_4,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.354285,5.200389,Mairie - cantine école maternelle,ChIJL6qELW_dyRIRJyhpHWNVAps,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3531214,5.2007364,Crivelli Didier,ChIJlXM_tW7dyRIRM46pT538VSQ,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3526057,5.2002308,Salaün Dominique,ChIJYVXiyW7dyRIRlPoKHphLwK8,"[u'finance', u'point_of_interest', u'establishment']"
0,43.3537427,5.2016598,Beau,ChIJEbC732jdyRIRbrQXPR7YRk4,"[u'point_of_interest', u'establishment']"
0,43.3533056,5.1975462,Diradourian Coti Christine,ChIJf49dUG7dyRIRR-uSEdszk9k,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3553168,5.2001017,J.p.b,ChIJw0L1RW_dyRIRCiz1k7DWan0,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3554337,5.1989096,PLOMBIÊR Bernard,ChIJR6_Xbm_dyRIRgK_8MXNOBzA,"[u'point_of_interest', u'establishment']"
0,43.3550105,5.2015618,Alu Star System Sylvain,ChIJ86orv2jdyRIRuo2b0C1o4OQ,"[u'point_of_interest', u'establishment']"
