,Latitude,Longitude,Name,Place_id,Type
0,43.695299,5.02967,Eyguières,ChIJ89CkAEr-tRIRYAOX_aUZCAQ,"[u'locality', u'political']"
0,43.695889,5.023691,La Risouleto,ChIJp4BHWcn_tRIRoHUgRJoFbLg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.703116,5.006757,Domaine du Vallon des Glauges,ChIJKZlZNEb-tRIRVf2E02430iw,"[u'food', u'point_of_interest', u'establishment']"
0,43.70331,5.027411,hawai piscines,ChIJuZsUQLf_tRIR7qTzjdY1y6Q,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.703116,5.006757,Odile Waris,ChIJKZlZNEb-tRIRXl0dVsEaKmM,"[u'point_of_interest', u'establishment']"
0,43.6981839,5.0228425,Palmero Lionel,ChIJW3MlJcr_tRIRe6HM5nVNdmA,"[u'point_of_interest', u'establishment']"
0,43.6981839,5.0228425,Mateo Lionel,ChIJW3MlJcr_tRIR3D81dfomBRM,"[u'point_of_interest', u'establishment']"
0,43.695907,5.0236789,13430,ChIJiwI3Wcn_tRIRc59wuxkROPk,"[u'point_of_interest', u'establishment']"
0,43.6938271,5.0230503,Arènes,ChIJCfcSIsz_tRIRuq3sEHncwQk,"[u'point_of_interest', u'establishment']"
0,43.6927707,5.0243314,BA,ChIJq2iB0s3_tRIRXC7WAcXlPrw,"[u'point_of_interest', u'establishment']"
0,43.6948025,5.026358,Bérard Jean,ChIJtbgGK8__tRIRYgl_3n-WG0o,"[u'point_of_interest', u'establishment']"
0,43.688418,5.023884,ABIL OFFICE - Gestion Administrative et Commerciale à distance,ChIJJdq0mdH_tRIRddn6AC4dYCE,"[u'point_of_interest', u'establishment']"
0,43.6924928,5.0267665,Maîtres CODACCIONI,ChIJ7TjPL8f_tRIR2PnZ4yXcK8c,"[u'finance', u'point_of_interest', u'establishment']"
0,43.6883282,5.0254393,Les Canaillous,ChIJLY4ZsNH_tRIRg01pAeLlQ0U,"[u'point_of_interest', u'establishment']"
0,43.6968423,5.0271235,Mégaoctetsplus,ChIJM3G088j_tRIRF8qiSU0Vv2c,"[u'point_of_interest', u'establishment']"
0,43.693121,5.0132099,Site d'escalade d'Eyguieres,ChIJPY3V1DP-tRIRnbWf0zKeTG4,"[u'point_of_interest', u'establishment']"
0,43.6902459,5.0188163,Le Garrigon,ChIJzf2_qNL_tRIR-DjufgCLMX4,"[u'point_of_interest', u'establishment']"
0,43.6902459,5.0188163,Boucher,ChIJzf2_qNL_tRIREiwDnaGUj1k,"[u'point_of_interest', u'establishment']"
0,43.6902459,5.0188163,Ferrier Henri,ChIJzf2_qNL_tRIRZ7qkLILU4Ec,"[u'point_of_interest', u'establishment']"
0,43.6902459,5.0188163,Breysse Alexandre,ChIJzf2_qNL_tRIR2tZMkTWinQo,"[u'point_of_interest', u'establishment']"
0,43.6902459,5.0188163,Sci la Renaissance,ChIJzf2_qNL_tRIR5u7UJ3YWqQA,"[u'point_of_interest', u'establishment']"
0,43.6939176,5.0230258,Jmb,ChIJxQVyIsz_tRIRcp9_y7Fxz3Q,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6939176,5.0230258,Gilly Freres,ChIJxQVyIsz_tRIRDTJh2a2mFyc,"[u'painter', u'point_of_interest', u'establishment']"
0,43.690333,5.0219189,13430,ChIJYQyKddL_tRIRlubd3Io8IgI,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6891874,5.0215782,Lieutaud Remy,ChIJk6AiaNL_tRIR5CF4fe6DV60,"[u'point_of_interest', u'establishment']"
0,43.6891874,5.0215782,Lodoli Nicolas,ChIJk6AiaNL_tRIR5kJ3l1WkUX8,"[u'point_of_interest', u'establishment']"
0,43.7161929,5.010878,13430,ChIJH5Sb5lb-tRIRo05aXznMR0g,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.7146874,5.005692,Villas Gallo-Romaines de Saint-Pierre de Vence,ChIJw3nFKFr-tRIRBd2kCjF3M_I,"[u'premise', u'point_of_interest', u'establishment']"
0,43.708158,5.028242,Lou Castallas,ChIJrzu_iwX_tRIRupM9DAG-2A4,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.700514,5.035513,La Bastide Toutbel,ChIJ9_B2w77_tRIRxl53CK_VBj0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7004979,5.0297412,Ww,ChIJadinFrj_tRIRGwzAMUYV6sA,"[u'point_of_interest', u'establishment']"
0,43.6970092,5.027803,Alpilles Hygiene,ChIJRfiIicj_tRIRCMir11CIXqk,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6967315,5.0306659,Les Diagnostiqueurs Associés - SARL CDTIS,ChIJo6-QVsb_tRIRue9MsyzaPOQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.696219,5.030308,Philibert Daniel,ChIJ1Rf6Q8b_tRIRbeAJ42Zgpa4,"[u'point_of_interest', u'establishment']"
0,43.6956537,5.0308604,Grenier Alcazar,ChIJqU2oC8X_tRIRHCOrzWNy1EU,"[u'movie_theater', u'point_of_interest', u'establishment']"
0,43.7024151,5.0347718,Alpilogic,ChIJ9_B2w77_tRIRdKxDJJFVTPg,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.696219,5.030308,EI Groupe EI Consulting,ChIJrzn6Q8b_tRIRpyNWKDQCM7A,"[u'point_of_interest', u'establishment']"
0,43.696219,5.030308,Dbg Construction,ChIJrzn6Q8b_tRIROm1tBZS70SE,"[u'point_of_interest', u'establishment']"
0,43.6959822,5.0301075,Aeci Daniel,ChIJ1Rf6Q8b_tRIR8LoujQXAMpE,"[u'point_of_interest', u'establishment']"
0,43.6957843,5.0306622,Eyguières Voyages,ChIJ92TLZ8b_tRIRqYd5Va7T0HM,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.6951708,5.0288084,SARL Dominique VAQUAND Informatique,ChIJeeU9A8b_tRIREnNRfaexDg4,"[u'point_of_interest', u'establishment']"
0,43.695854,5.0302916,Nursery School Emmanuel Nicaise,ChIJqU2oC8X_tRIRJcWrlv30xgY,"[u'school', u'point_of_interest', u'establishment']"
0,43.69545,5.029691,Domicile Clean,ChIJ7RvZghIAthIRWrSTgyxBNO8,"[u'point_of_interest', u'establishment']"
0,43.6818628,5.0216417,Faure André,ChIJA5pU49X_tRIR3b78uAteYc0,"[u'food', u'point_of_interest', u'establishment']"
0,43.689091,5.0215512,Villani Antoine,ChIJrx0ZLM7_tRIRvvMWND0zvfo,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.689091,5.0215512,Sci Annaud,ChIJrx0ZLM7_tRIR9eCg-YeG2RU,"[u'point_of_interest', u'establishment']"
0,43.6883282,5.0254393,Barra Renaud,ChIJLY4ZsNH_tRIRHnfwqo1_xWA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6884167,5.0254611,ETM,ChIJLY4ZsNH_tRIRlSIipoNocOQ,"[u'point_of_interest', u'establishment']"
0,43.6884167,5.0254611,Batikhy Fouziya,ChIJLY4ZsNH_tRIRCeilIYotFUE,"[u'point_of_interest', u'establishment']"
0,43.6890069,5.025064,Chapelle Saint-Roch,ChIJQ_GqwNH_tRIRtkxzx1zxjsY,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6951032,5.0325013,La demeure,ChIJSch3mcb_tRIRO63zlzpaoIc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6949097,5.0305231,Pelimmo Eyguieres,ChIJB5B0d8b_tRIRPgqXuWw4y30,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6934938,5.0291426,FB Immobilier,ChIJCVJnYs__tRIRutWa9MQw58Q,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6913243,5.0298046,Mairie,ChIJqU2oC8X_tRIR1vFe8uhIS1Y,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6943622,5.0303328,Agence Du Centre,ChIJ8dYO2cX_tRIRtgA51t2l9Us,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6946063,5.0299273,Office Du Tourisme,ChIJqU2oC8X_tRIRik8BCPldcBc,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.6921554,5.0311483,Primary School Gilous-Andrieu,ChIJqU2oC8X_tRIR8VkbukX8Yxk,"[u'school', u'point_of_interest', u'establishment']"
