,Latitude,Longitude,Name,Place_id,Type
0,43.841579,4.841977,Eyragues,ChIJpwtyXIbltRIRjx2enjt8Zjk,"[u'locality', u'political']"
0,43.836452,4.849859,Hotel Marie De Jules,ChIJlYIGdIHltRIR6MGStCfZ6n0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8386978,4.8471943,B&B Martin,ChIJg9wCKoHltRIR5olU83aAe68,"[u'point_of_interest', u'establishment']"
0,43.8406066,4.8408662,Un Bouchon en Provence,ChIJWzlYIZLltRIREyeXeKkmAow,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.836484,4.841494,"Ebénisterie Métairie "" les arts au soleil """,ChIJIXDlVI_ltRIRPIxGjZtbQqM,"[u'point_of_interest', u'establishment']"
0,43.8442154,4.8423636,Le pré Gourmand,ChIJrTR_qlbutRIRkey4iTfOxfQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8415118,4.8434885,SCP Mireille Picca-Audran & Alexandre Paul,ChIJm0kdY33vtRIRjcTMa0H94YI,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.8410109,4.842149,Mairie d'Eyragues,ChIJ49DIfYjltRIRBtErSnKvGhA,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.840727,4.841855,Les Bains de Provence,ChIJ_cLV4ofltRIRJx7DqeW45b0,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.8404187,4.8409415,Entre Alpilles et Durance Immobilier,ChIJ670_EojltRIR7PJxTb3iS70,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8372971,4.8477058,Maison de Retraite,ChIJ3405PYHltRIRuWPvjGKaatc,"[u'health', u'point_of_interest', u'establishment']"
0,43.8415928,4.8428031,Immo Passion,ChIJQRHXXH3vtRIREze3h2lAwRA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.840566,4.841375,Villa Romana,ChIJrRUzCYjltRIRGBei2QQzK1Y,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8359136,4.8406286,Evolut Garden,ChIJH0OwR4_ltRIR_FW2Y_imXC4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.839827,4.840115,Kapa Labs,ChIJZ96RQ4jltRIR-sU0op8yyak,"[u'point_of_interest', u'establishment']"
0,43.8408188,4.8409878,Espace Culturel et Tourisme Eyraguais,ChIJZ_LbGojltRIRH_OZQZI5VZE,"[u'point_of_interest', u'establishment']"
0,43.8407328,4.8404353,Caisse d'Epargne Eyragues,ChIJ1-5lEYjltRIRAdr1GUMYDNQ,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.841107,4.8405662,Crédit Agricole Alpes Provence,ChIJv8VJDojltRIRjLR5D8-fgz8,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8406129,4.8417371,Café du Commerce,ChIJbXKF4ofltRIRjoy6m0NsLJ8,"[u'cafe', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.840868,4.8396646,Meffre Olivier - Avocat à Tarascon,ChIJAT5zbWTctRIRxcIqEsDBqlw,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.8311583,4.8477603,la Bastide d' Eyragues en Provence,ChIJpV9O4pzltRIRIcU-sXo3zmU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8323479,4.850678,PRO-SERVICES,ChIJWU5hbHjltRIRSJR_lLsV8xM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8344143,4.8425437,Reyes Stéphanie,ChIJU-dVnIXltRIRMzq3pnKvMnk,"[u'point_of_interest', u'establishment']"
0,43.8379169,4.843605,Crèche La Cabriole,ChIJiS9IQ4bltRIRcIEPLDp6O64,"[u'point_of_interest', u'establishment']"
0,43.839926,4.845614,Gan Assurances Noves,ChIJue_57NLxtRIRQcN_hIDE0gs,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.8372392,4.8492635,Alpilles Emballages Services,ChIJlYIGdIHltRIRzZSeieEDFGM,"[u'point_of_interest', u'establishment']"
0,43.8820059,4.855685,Châteaurenard,ChIJHVhC0lTutRIRtgdpL1MWNAg,"[u'locality', u'political']"
0,43.850273,4.841326,Mistral Marc,ChIJ_cLV4ofltRIRPQNSZkILJOY,"[u'plumber', u'lodging', u'point_of_interest', u'establishment']"
0,43.853995,4.840282,Chambre d'hôtes Mas des Chavannes - Eyragues,ChIJS4zHR27vtRIRtAeoKKV3P90,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8511952,4.8451895,Riousset Mistral Jany Rita Augusta,ChIJq_OemXDvtRIRgindGHO24wM,"[u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.8519827,4.8404181,Anjouy Yannick,ChIJOQjW6m_vtRIRt96XbdABQZ0,"[u'point_of_interest', u'establishment']"
0,43.854251,4.842512,Elevage des Chavannes,ChIJWaKpw3HvtRIRGNPMuTY_KTI,"[u'food', u'point_of_interest', u'establishment']"
0,43.8452059,4.8428249,PLOMBIÊR Bernard,ChIJkzktvHzvtRIRqffsO9C7e-U,"[u'point_of_interest', u'establishment']"
0,43.844754,4.841625,Cabinet d'Olivier Meffre,ChIJlUjcNGPvtRIRpab2-BQr-ww,"[u'lawyer', u'point_of_interest', u'establishment']"
0,43.859761,4.842967,Gîtes et Roulotte du Soleil,ChIJtW86zxLvtRIRGGqzuHnMBaQ,"[u'lodging', u'point_of_interest', u'establishment']"
