,Latitude,Longitude,Name,Place_id,Type
0,43.725522,4.70941,Fontvieille,ChIJV35J3rXftRIRzjh6N8YM9x4,"[u'locality', u'political']"
0,43.7288724,4.7179116,Hôtel La Leiriero,ChIJ0cAZjM3ftRIRWByoZtvxwDY,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.724736,4.723615,Paintball Evasion,ChIJsyzXpV52thIRQIOU1yRt-do,"[u'point_of_interest', u'establishment']"
0,43.7270248,4.718654,Centre Aéré,ChIJV7Hwuc7ftRIRi5eetoRDaN8,"[u'point_of_interest', u'establishment']"
0,43.7292826,4.7196314,La Belle Arlesienne,ChIJ4zNiVtLftRIRFytzclDtLOE,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.723825,4.718369,Camping Les Pins,ChIJy6Q0PNDftRIRqsMMmxTvCX0,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.7261614,4.7139716,Le Château de Montauban,ChIJ3alS7c7ftRIR3A7cAxpMZCc,"[u'point_of_interest', u'establishment']"
0,43.7243317,4.7138858,Moulin Tissot,ChIJ70CvEM_ftRIRIvCX4wT_ye0,"[u'premise', u'point_of_interest', u'establishment']"
0,43.724755,4.719184,Mairie,ChIJ9-Ips9HftRIRs_kSK2Zwj1o,"[u'point_of_interest', u'establishment']"
0,43.7271789,4.7168413,Delbon,ChIJ4ZNphNHftRIRfJaGx7Zc5sY,"[u'food', u'point_of_interest', u'establishment']"
0,43.723293,4.712287,Moulin Ramet,ChIJExBHTc_ftRIRcBDa-Hubd94,"[u'premise', u'point_of_interest', u'establishment']"
0,43.728107,4.713483,Le Bel Oustau,ChIJC8kcI8zftRIRsfilZe-bIgQ,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7277452,4.7134117,Restaurant Lou Clavèu,ChIJCXmPGMzftRIRbJP5G7cLvZ4,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7274788,4.7164075,ugolini,ChIJvx82hNHftRIRwHPa_f0oTqI,"[u'point_of_interest', u'establishment']"
0,43.7266495,4.7195206,Gfa Jullien Deleuze,ChIJB2tBhNHftRIRafRQ89WnecA,"[u'point_of_interest', u'establishment']"
0,43.7224168,4.7174062,Agriva Fontvieille (Fontvieille),ChIJ_____8_ftRIRDmjw801tJ1E,"[u'point_of_interest', u'establishment']"
0,43.7268888,4.7199803,Tosoh Bioscience LLC,ChIJQSPZgdHftRIRnoK2APEfPEQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.7271424,4.7183896,Abeilles Institut Médico Pédagogique,ChIJQ3gVHtLftRIRX196m96TTeI,"[u'point_of_interest', u'establishment']"
0,43.7271424,4.7183896,Trujas Madeleine,ChIJQ3gVHtLftRIRGD0Og5qsySE,"[u'food', u'point_of_interest', u'establishment']"
0,43.7294911,4.7214735,Moulin de la Coquille,ChIJM5iYddPftRIRonqBp4vIhs0,"[u'point_of_interest', u'establishment']"
0,43.7039124,4.7214072,Aqueduc de Barbegal,ChIJ5fdwleTftRIRT-jrcFBanFY,"[u'premise', u'point_of_interest', u'establishment']"
0,43.806044,4.65752,Tarascon,ChIJ49cp50zctRIR0P6W_aUZCAQ,"[u'locality', u'political']"
0,43.733832,4.725891,Chambre d'hotes en Provence le Mas d'Emilie,ChIJp7By9yretRIR_kPmbe_S5ZQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7337707,4.725945,Le mas d'Emilie,ChIJGdBn9iretRIRx8K26bsxa78,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7346443,4.7267165,Les Minotaures,ChIJN44BZS3etRIR7A1g-3QeF2s,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.733119,4.721031,"Festival des Alpilles, chants du sol",ChIJbYcs8TLetRIRb-ZE621kYMs,"[u'point_of_interest', u'establishment']"
0,43.73298,4.721535,Festival des Alpilles,ChIJ384YvizetRIR6rEJpY2fRj8,"[u'point_of_interest', u'establishment']"
0,43.7361761,4.7159317,13990 FONTVIEILLE,ChIJDXtqPTLetRIR2L16uH-kNik,"[u'point_of_interest', u'establishment']"
0,43.7327577,4.7141971,Le Mas d'Emilie B&B de charme en Provence,ChIJPbxOJTPetRIRBR8PgSD6v7o,"[u'point_of_interest', u'establishment']"
0,43.727869,4.712341,Le Patio,ChIJPZGmB8zftRIRCht3E5nKUkg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7408423,4.7196365,Moulin à Huile du Mas St Jean,ChIJPZS_FTLetRIR04nMaNxguOw,"[u'point_of_interest', u'establishment']"
0,43.7273372,4.7088717,VILLA REGALIDO,ChIJn0I8gcnftRIRsZM2Mq3h020,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7223751,4.7026288,BEST WESTERN Hotel Le Val Majour,ChIJbcrZ-LnftRIRSOjVnfw8zp4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.73,4.71,Logis Auberge des Balastres,ChIJyVm9skretRIRaGZobKIy-g4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.726434,4.7073383,La Cuisine au Planet,ChIJb4zamcnftRIRkW5SpjAQ-BE,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7260034,4.7089894,Silence Ca Pousse,ChIJOcOmt8nftRIR2OaUqsVzMVI,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.7258729,4.7095916,Immobilière des Alpilles,ChIJ2evt3rvftRIRPUBw33Y8Oc8,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.726576,4.71013,L'Agence De Fontvieille,ChIJYzfTc8nftRIRGenjYUnIDW4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7269413,4.7108242,Cave la Farandole,ChIJeWznZ8nftRIRnQNL84X0RYk,"[u'storage', u'point_of_interest', u'establishment']"
0,43.726393,4.708858,Eden Cinéma,ChIJT9RLlsnftRIRop71r9L8EWA,"[u'movie_theater', u'point_of_interest', u'establishment']"
0,43.7260051,4.7093224,Mairie,ChIJSURes8nftRIRgyQ3_j5Yqm4,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.72764,4.7096785,La table d'Adam,ChIJD_Iq-8vftRIRABRiq2eL4l4,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7270779,4.7098195,Webtv-tools,ChIJ0yJqeMnftRIRzCvz360mOn4,"[u'point_of_interest', u'establishment']"
0,43.676647,4.6277769,Arles,ChIJzRRIXQdythIRUAWX_aUZCAQ,"[u'locality', u'political']"
0,43.7035895,4.7213673,La meunerie hydraulique et les aqueducs romains de Barbegal,ChIJ10yEt-TftRIRmO_JiBL5Ev8,"[u'point_of_interest', u'establishment']"
0,43.7032192,4.7257734,Les Jardins de Cidamos,ChIJQRZ6bsnftRIRnLkqyBjkunw,"[u'food', u'point_of_interest', u'establishment']"
0,43.7042416,4.7219497,Aqueduc Romain de Barbegal,ChIJ2RC0ouTftRIRwzSypzn2hes,"[u'point_of_interest', u'establishment']"
0,43.7053061,4.7194013,Borelli Jean-Michel,ChIJIcIJBuXftRIRmvZ__dE-y7Q,"[u'point_of_interest', u'establishment']"
0,43.7053061,4.7194013,Raphael Jean,ChIJIcIJBuXftRIRdJUjxW6RH6w,"[u'point_of_interest', u'establishment']"
0,43.7053061,4.7194013,Deesign Entertainment,ChIJIcIJBuXftRIRQDZDMC90eI8,"[u'point_of_interest', u'establishment']"
0,43.7027626,4.7212051,Meunerie Romaine de Barbegal,ChIJd5-cN_vftRIRDOPkmzBgZBI,"[u'premise', u'point_of_interest', u'establishment']"
0,43.7226551,4.709779,ADMR de Fontvieille,ChIJE5MSKsbftRIRxOWj_oAaBDM,"[u'health', u'point_of_interest', u'establishment']"
0,43.7226844,4.7098967,Office du Tourisme,ChIJE5MSKsbftRIRkQ_U6LeDDtg,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.7210427,4.712767,Le Moulin d'Alphonse Daudet,ChIJkSRt28XftRIRyn5skJSu3h8,"[u'premise', u'point_of_interest', u'establishment']"
0,43.741393,4.720143,Chapelle Saint-Jean,ChIJgavTfy_etRIRBxvR8glzQc8,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.7453499,4.7235353,Mas Saint-Joseph,ChIJIXXDmSbetRIRGPTtkQWdlhU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.741336,4.723091,location,ChIJ44mFAibetRIReCIlX3iAZKA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7444463,4.7214011,Fleur Bleue au Coeur de mon Pere,ChIJ59hoOCTetRIRDBuhfjCJBe4,"[u'point_of_interest', u'establishment']"
0,43.742002,4.723355,unnamed,ChIJQV1QECbetRIRXuBwnmX8aj4,"[u'point_of_interest', u'establishment']"
0,43.7434041,4.7242837,Mas de l'Ange,ChIJn1G-FTLetRIRnPp5W9FVb7U,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7444463,4.7214011,Berton Sophie,ChIJ59hoOCTetRIRNj2nul4p-VQ,"[u'point_of_interest', u'establishment']"
0,43.74446,4.721351,Lafforgue Bruno,ChIJq99oOCTetRIRbhYk-4TULKc,"[u'point_of_interest', u'establishment']"
