,Latitude,Longitude,Name,Place_id,Type
0,43.437882,4.945711,Fos-sur-Mer,ChIJLfdcHXIZthIRHWkZ2JcBpA4,"[u'locality', u'political']"
0,43.4554112,4.8956966,Tube City IMS France Sud,ChIJIXIRXHIZthIRx5RAnPEzCog,"[u'point_of_interest', u'establishment']"
0,43.4575918,4.8926067,Gleser,ChIJIXIRXHIZthIRXUvprFUWHqw,"[u'point_of_interest', u'establishment']"
0,43.459762,4.913433,unnamed,ChIJSwfoTh8athIRhhZNjGkKqPA,"[u'point_of_interest', u'establishment']"
0,43.46098,4.895752,unnamed,ChIJH37HLAcathIRf5geTQV-hQ0,"[u'point_of_interest', u'establishment']"
0,43.4562231,4.8930949,KSR,ChIJW74wU1UXthIRltwXXD0jMjM,"[u'point_of_interest', u'establishment']"
0,43.455408,4.892281,Société Fosséenne de Canalisations,ChIJSUBXR1UXthIRmdmZLvs_imo,"[u'point_of_interest', u'establishment']"
0,43.443385,4.904108,Arcelor Mittal,ChIJIXIRXHIZthIRMWlLcm1MYhQ,"[u'point_of_interest', u'establishment']"
0,43.443584,4.894057,unnamed,ChIJM4Z_cOIZthIROcwUk_7AaUU,"[u'point_of_interest', u'establishment']"
0,43.4711857,4.9074397,Station-service TOTAL Access,ChIJVcLAwzMfthIREAfwCCSYv7w,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.4713201,4.9080564,Station-service TOTAL Access,ChIJ6_bUwBMathIRzXXf_7n0fWA,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.471375,4.907863,Elf Relais du Ventillon,ChIJc3CClRMathIRsg2w4ctAOt8,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.4617054,4.9187734,Société du Pipeline Sud Européen S.P.S.E,ChIJvdcTXHIZthIRj6Cmf7e_jOs,"[u'point_of_interest', u'establishment']"
0,43.4594,4.9224,BMloc,ChIJy2pyfCYathIRSRqO7n37_8A,"[u'point_of_interest', u'establishment']"
0,43.4515895,4.9227688,Mediaco maxilift,ChIJG4ef6IgZthIRxCMRdXEkQa0,"[u'point_of_interest', u'establishment']"
0,43.457435,4.92461,Automobiles Avi,ChIJ5xfpMCgathIRLCJbqJY9Vhc,"[u'car_dealer', u'real_estate_agency', u'car_repair', u'store', u'point_of_interest', u'establishment']"
