,Latitude,Longitude,Name,Place_id,Type
0,43.4537819,5.560919,Fuveau,ChIJ27EJVISQyRIREAOX_aUZCAQ,"[u'locality', u'political']"
0,43.4568388,5.5616872,Patisca,ChIJb-unrYKQyRIRhtfLIuNfqro,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4555257,5.5610076,Les Floralies de Rousset sur Arc,ChIJVU7UvIKQyRIRcbhKYrSkYUA,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.4537561,5.5583561,Pizza Caffe,ChIJxWgp25yQyRIRcgocc1gynBs,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.460584,5.551106,CABINET SERRANO EXPERTISES,ChIJvzDw2D-XyRIRqba4lxIoPpY,"[u'point_of_interest', u'establishment']"
0,43.452265,5.553235,Tennis Club Fuveau,ChIJdxXFXpuQyRIRqqMXxNxhOkw,"[u'health', u'point_of_interest', u'establishment']"
0,43.4571367,5.5590714,Swann Morton Sinner Sa,ChIJfYW5JYmbyRIRQ3ROkB-NN3w,"[u'point_of_interest', u'establishment']"
0,43.4571367,5.5590714,Entreprise Malet,ChIJB-khakuSyRIRmU20PiENyhE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4647246,5.5519787,Aix clôtures,ChIJXbuOV32QyRIRRtOWshI0-Fo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.457581,5.55413,GARAGE V.T.M.,ChIJYVUIVISQyRIRoeSsLKZ2RQo,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.4581674,5.5453695,Vasseur,ChIJoTgAL4yQyRIRA15UEWDmxDk,"[u'point_of_interest', u'establishment']"
0,43.4568248,5.561683,M2 Immobilier,ChIJq0A7gIKQyRIRFObx-8visKY,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4564225,5.5607299,Entreprise Rebuffat,ChIJzakq44KQyRIR0hOhMp8wj_U,"[u'painter', u'point_of_interest', u'establishment']"
0,43.4571367,5.5590714,Spie Sud-Est,ChIJIf3IqoOQyRIREUHTbfFoIuU,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.4595,5.5539,Hotel Mona Lisa Sainte Victoire,ChIJ2T46K4SQyRIRO__a_mI5lyc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.45889,5.551589,Borgna Et Fils,ChIJoQ3784WQyRIRn83s6Cw7tnU,"[u'point_of_interest', u'establishment']"
0,43.4617543,5.5583061,Pegasus Translation & Language Services,ChIJKe8DHYGQyRIRx_Md36hegsA,"[u'point_of_interest', u'establishment']"
0,43.4558929,5.5572646,Huttenes Albertus France,ChIJIWasQoOQyRIRF_J3sUmEd0M,"[u'point_of_interest', u'establishment']"
0,43.4569365,5.5591526,L'Atelier de l'Arc,ChIJB18lAIOQyRIRzJRWPPJnkzo,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.461129,5.550109,Le Pin de Luquet,ChIJsRiblYiQyRIRgOsJtisvi6M,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.4468222,5.5590285,Middle School Font D'aurumy,ChIJnyGha56QyRIRmmhzsPQSzqk,"[u'school', u'point_of_interest', u'establishment']"
0,43.446516,5.559747,Badminton Club de Fuveau,ChIJjWaqpJ-QyRIRBvXpFHoGoWw,"[u'point_of_interest', u'establishment']"
0,43.446524,5.559564,Kokoro Dojo,ChIJiWJ4pJ-QyRIRf_A-agUlqLI,"[u'health', u'point_of_interest', u'establishment']"
0,43.445794,5.5549392,Antre De Syria,ChIJCSPdhZ-QyRIRCA_BRfRKaRY,"[u'clothing_store', u'shoe_store', u'store', u'point_of_interest', u'establishment']"
0,43.4531202,5.5607546,Le KF Restaurant,ChIJyd_aa52QyRIRf00P1Y7JPk0,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.4539963,5.5625193,Le Temps d'un Présent,ChIJCfeu8XeayRIRJhCaWJcjVLE,"[u'point_of_interest', u'establishment']"
