,Latitude,Longitude,Name,Place_id,Type
0,43.607073,5.063777,Grans,ChIJ473VbOwBthIR0AKX_aUZCAQ,"[u'locality', u'political']"
0,43.616371,5.038789,Le Moulin de Picaud,ChIJMwMAN5MBthIRcW7DnqGF5jo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.612807,5.03663,chateau de couloubriers,ChIJAb4reY0BthIRT6vBgrd-p5c,"[u'point_of_interest', u'establishment']"
0,43.6125538,5.0494602,la grange mecanique,ChIJAQAAAPABthIRaWTeJBz_8xY,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.615993,5.037689,Bonfilhon,ChIJuf-WKQb-yRIRbpsczS86J-k,"[u'point_of_interest', u'establishment']"
0,43.620486,5.043396,VALEMOI,ChIJ3xLlMOoBthIRzxlMTujGr9Y,"[u'health', u'point_of_interest', u'establishment']"
0,43.620277,5.038261,Polyfroid Energies,ChIJ1X-bJ5UBthIRfSyr70RcY2w,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6222321,5.0436362,Earl Pepinieres Dauphin,ChIJH_1F5wP-yRIRXH7Nl8KcmMI,"[u'food', u'point_of_interest', u'establishment']"
0,43.6211301,5.0521516,B.m.c,ChIJB2L7necBthIRIo1iv9n6n9Q,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.61451,5.049835,unnamed,ChIJ4QObe-UBthIRoe_4xKcb5J4,"[u'point_of_interest', u'establishment']"
0,43.6179696,5.049232,Stade Mary-Rose,ChIJs18hpugBthIR3nQqI2E05Lw,"[u'school', u'point_of_interest', u'establishment']"
0,43.6119868,5.0519729,Leydier En Provence,ChIJdZOsKfsBthIRtCUouwQ1xUY,"[u'point_of_interest', u'establishment']"
0,43.612053,5.052095,Bono Canavese Marguerite Dominique,ChIJdZOsKfsBthIRhyzP-ieWrms,"[u'point_of_interest', u'establishment']"
0,43.612053,5.052095,Laurens Barneoud Rousset Jeannine,ChIJdZOsKfsBthIRMZt0abeR2C0,"[u'food', u'point_of_interest', u'establishment']"
0,43.612053,5.052095,Gaec Bernard,ChIJdZOsKfsBthIR4a73NexzwCA,"[u'point_of_interest', u'establishment']"
0,43.612053,5.052095,Olhagaray Bari Daniele Karine,ChIJdZOsKfsBthIRJ9ledS14VRk,"[u'food', u'point_of_interest', u'establishment']"
0,43.612053,5.052095,Sun Energie Construction Provence,ChIJvfzcKfsBthIR2sc9WIpWWQE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6160173,5.0528139,Martino Jean Josef,ChIJAwLjR-QBthIRzCQWIWExP8Y,"[u'food', u'point_of_interest', u'establishment']"
0,43.6205723,5.0465682,Parc Fontaine Marie-Rose,ChIJmWklsukBthIRYe5q9Zk2Cio,"[u'park', u'point_of_interest', u'establishment']"
0,43.620346,5.04776,13450,ChIJDfdAW-gBthIRtdLO4QY_fpE,"[u'parking', u'point_of_interest', u'establishment']"
0,43.605211,5.051993,Le Domaine d'Alèzen,ChIJh5CDEBkDthIRR3XHy6cC0dw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.601738,5.0475795,Auberge des Eyssauts,ChIJbelF5wP-yRIRNewmqINEr1g,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.604398,5.048549,Miellerie Des Eyssauts,ChIJdeSZk_cBthIRnL2VZ0weB-c,"[u'point_of_interest', u'establishment']"
0,43.601028,5.045927,13450,ChIJicTisx0CthIRKcV6UwXZryM,"[u'parking', u'point_of_interest', u'establishment']"
0,43.60737,5.050561,Simonpietri Frederic,ChIJT4ia8_kBthIRCz_F2IfH_vw,"[u'point_of_interest', u'establishment']"
0,43.60737,5.050561,Viaud Flaud Agnes Mireille,ChIJo4ea8_kBthIRVFZ1dkukF48,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.60737,5.050561,Ganga Elliott,ChIJo4ea8_kBthIRPsIpnZVxNIc,"[u'point_of_interest', u'establishment']"
0,43.60737,5.050561,Pedrotti Thierry,ChIJo4ea8_kBthIRv3z9JIsB71A,"[u'food', u'point_of_interest', u'establishment']"
0,43.608065,5.041818,Pont de Fumet,ChIJywB4f_QBthIRlAIsLlqalZA,"[u'premise', u'point_of_interest', u'establishment']"
0,43.640199,5.097022,Salon-de-Provence,ChIJofoBqDMAthIRIP-W_aUZCAQ,"[u'locality', u'political']"
0,43.628118,5.043363,Les Ecuries du Patys,ChIJoctyvMYBthIRvBDmPuYMXhM,"[u'point_of_interest', u'establishment']"
0,43.6211301,5.0521516,Devienne Brigitte,ChIJB2L7necBthIRty071_gNo4g,"[u'health', u'point_of_interest', u'establishment']"
0,43.6211301,5.0521516,Perard Eric Frederic,ChIJB2L7necBthIR8kl_TbcNlog,"[u'point_of_interest', u'establishment']"
0,43.6127777,5.0596455,ACTIVE CONFORT SARL,ChIJC6X_puIBthIRxRWYqwvZh20,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6129957,5.0600844,Sarl la Maison Du Travail,ChIJGwx7WB3-yRIR9u8KAmpgXK8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6135223,5.0588727,Carrasco TP,ChIJraoolOIBthIRF14lXaX9hdw,"[u'point_of_interest', u'establishment']"
0,43.6119471,5.0619632,Délices Epicuriens,ChIJMwZWSwL-yRIRNsVz_lalNA4,"[u'point_of_interest', u'establishment']"
0,43.6155283,5.0621856,Alyzarines,ChIJ9Z8Wth3-yRIRgJTiLb5EA04,"[u'point_of_interest', u'establishment']"
0,43.6121715,5.0621574,Jenhanda,ChIJ78EsmAf-yRIRbfSjY4u8Z8M,"[u'point_of_interest', u'establishment']"
0,43.614562,5.062863,Tam Tam Marketing,ChIJi5N-Ax3-yRIR2FzdrjhYpiM,"[u'point_of_interest', u'establishment']"
0,43.614934,5.063586,Harmon'hy,ChIJz2UsQxz-yRIRrTjEBvsfXww,"[u'general_contractor', u'point_of_interest', u'establishment']"
