,Latitude,Longitude,Name,Place_id,Type
0,43.8531509,4.769296,Graveson,ChIJkVZLW33otRIRwAKX_aUZCAQ,"[u'locality', u'political']"
0,43.861949,4.766481,Hotel Le Mas Des Amandiers,ChIJKT5sKmfotRIR31aBmmXUvM4,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8492308,4.7716234,Le Mas Ferrand,ChIJ83aS1obotRIR7otLIVQWsns,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8573623,4.7606889,Tennis Graveson,ChIJwVTRwGTotRIRr3MDri_QZns,"[u'point_of_interest', u'establishment']"
0,43.86204,4.764547,le mas des oliviers,ChIJlcoMz2DotRIR0ULe8zqR8s0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.84865,4.7689,REGIS LOCATION GRAVESON,ChIJMYXu1obotRIRYuqt4tHLq6Q,"[u'point_of_interest', u'establishment']"
0,43.8613539,4.7637578,Logis Hôtel le Mas des Amandiers,ChIJQyZsKmfotRIRVrSNY2orEo4,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8552051,4.7625789,Les Chemins Secrets De Balthazar,ChIJwVTRwGTotRIR0Rke8KpxkYw,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.8509486,4.7731392,Mairie de Graveson en Provence,ChIJeV0t84botRIR7yQ74MdLaaw,"[u'city_hall', u'travel_agency', u'local_government_office', u'lodging', u'point_of_interest', u'establishment']"
0,43.8506273,4.7699506,Hôtel de Charme Le Cadran Solaire,ChIJa_ZNb4fotRIRVjyiBSpjvQI,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8519089,4.772277,VIGIER TRAITEUR ET EVENEMENTIEL,ChIJd22YUIbotRIRNY0UNnEkxpY,"[u'meal_delivery', u'general_contractor', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8509958,4.7722315,Office du tourisme de Graveson,ChIJDeaS94botRIRw8bo5apscLE,"[u'travel_agency', u'museum', u'point_of_interest', u'establishment']"
0,43.8516545,4.7734932,Post Office,ChIJN1EfY4botRIR26q77CBG-LM,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.8509893,4.7722701,Musée Auguste Chabaud,ChIJeV0t84botRIR8PBMOxvtcHM,"[u'museum', u'point_of_interest', u'establishment']"
