,Latitude,Longitude,Name,Place_id,Type
0,43.414078,5.504583,Mimet,ChIJHyMj88CWyRIRsAGX_aUZCAQ,"[u'locality', u'political']"
0,43.4243976,5.5447537,Villa Victoria Chambres d'hôtes,ChIJUfj_DkuXyRIRv6TUfSkorLs,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4303324,5.5421812,Gendarmerie Nationale,ChIJpTLZM8qQyRIRGGko-YiWJpM,"[u'point_of_interest', u'establishment']"
0,43.4317036,5.5427728,Middle School De Gréasque,ChIJueS8ZbaQyRIRrF8b4tI_sJA,"[u'school', u'point_of_interest', u'establishment']"
0,43.431255,5.544496,Déménagements FLIPPE Garde Meubles. GROUPE FLIPPE.,ChIJXSDdj7mQyRIRnSjS19jlqDo,"[u'moving_company', u'storage', u'point_of_interest', u'establishment']"
0,43.4319122,5.5460663,Agafpa,ChIJl70hTbGQyRIRoAe3OLBJZIQ,"[u'point_of_interest', u'establishment']"
0,43.4309352,5.5438643,Pizza & Co,ChIJKWR1L7SQyRIRngA-sjZhxoE,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.4311817,5.5432302,Charlotte Raynaud Studio - Design & Espaces,ChIJP3sgkJu4yRIR9V-BWQJgVBU,"[u'store', u'point_of_interest', u'establishment']"
0,43.4314317,5.5444494,Town Hall,ChIJt9xWhraQyRIR2dJlDUJ7EwI,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4307508,5.5384514,Mme Prendre Un Enfant Par la Main Prendr Prendre Un Enfant Par la Main,ChIJmdLeM8qQyRIRengEFGkn9fs,"[u'point_of_interest', u'establishment']"
0,43.4314485,5.5450612,Le fournil de Gréasque,ChIJQZi5ArSQyRIRr_MI-s-iigk,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4245446,5.5409856,Gamonet Guy,ChIJFe6DgUqXyRIRtNBxlwQ2MYg,"[u'point_of_interest', u'establishment']"
0,43.43129,5.54721,Rèsidence du Parc,ChIJv3bAX7GQyRIRHX_yP-uQQFI,"[u'health', u'point_of_interest', u'establishment']"
0,43.4307006,5.544067,Le Forum,ChIJywquJbSQyRIR7jAQWweWnMU,"[u'book_store', u'store', u'point_of_interest', u'establishment']"
0,43.4306454,5.541796,School P.e.ma 04 86 31 74 54,ChIJN5Tz67WQyRIRRY18zKbVc-c,"[u'school', u'point_of_interest', u'establishment']"
0,43.428677,5.5414511,EME Services,ChIJK-IHerWQyRIRPTA-sP0dSNw,"[u'point_of_interest', u'establishment']"
0,43.4311247,5.5451633,AM Micro,ChIJXXkHHbSQyRIR1BaolChjojM,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.43134,5.544649,Sopca,ChIJHWb-n7aQyRIRdk37KWBipO0,"[u'point_of_interest', u'establishment']"
0,43.424876,5.5433648,Europe-Elec,ChIJNwhhHUuXyRIRIU81yyfPBrs,"[u'electrician', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.431255,5.544496,Gréasque,ChIJN3Xb7LCQyRIRBU0f50YqRew,"[u'locality', u'political']"
0,43.4186827,5.5404432,Auto LS,ChIJJZ3R2zeXyRIR3x0HxQMgqOg,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.419205,5.5380422,Bauer Consulting,ChIJ54rcqTeXyRIRZXL5N_RG5lc,"[u'point_of_interest', u'establishment']"
0,43.4147826,5.5362667,Senlio,ChIJWY7enjmXyRIRx6--OEUVzqc,"[u'point_of_interest', u'establishment']"
0,43.4195513,5.5427638,EURL PARIS ALU,ChIJR0XjrUmXyRIRhHSH8hJnXBk,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.418974,5.5409848,Degennaro Guy,ChIJ63zAKEiXyRIRWfSC-helvV8,"[u'point_of_interest', u'establishment']"
0,43.418974,5.5409848,Rochiccioli Marie-Pierre,ChIJ63zAKEiXyRIRu_aFCMsoSC8,"[u'point_of_interest', u'establishment']"
0,43.4187556,5.5403706,Cuadrado Laurent,ChIJJZ3R2zeXyRIR4zbwe-VqI5c,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.421773,5.5421379,DeschanelDesign (auto-entrepreneur),ChIJP8SUikmXyRIRE1rsfcBy_gI,"[u'point_of_interest', u'establishment']"
0,43.4222847,5.5420526,Ingénierie et Etudes en Electricité Automatismes,ChIJ-7jvLEqXyRIRed8JoCE6ypM,"[u'point_of_interest', u'establishment']"
0,43.416137,5.538418,Institut Atout Beauté,ChIJoz3XNTiXyRIRCOSRKrpa8LI,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.4229465,5.5429477,Castelli Sebastien Jean Raymond,ChIJr4DjSUqXyRIRck_9Z7_XK5k,"[u'point_of_interest', u'establishment']"
0,43.4217599,5.5403466,Klotz Dominique,ChIJqf49BzaXyRIRNtCy_ZPw9l8,"[u'point_of_interest', u'establishment']"
0,43.4176034,5.5377181,Baeza,ChIJr1LKezeXyRIRxPG-hAEtEj8,"[u'point_of_interest', u'establishment']"
0,43.416834,5.5375838,Cantéro Mercédès,ChIJz9KD0DmXyRIRbz67atnBBs8,"[u'point_of_interest', u'establishment']"
0,43.416834,5.5375838,Reynoird Claude,ChIJz9KD0DmXyRIRUlqPAhghnIY,"[u'point_of_interest', u'establishment']"
0,43.4537819,5.560919,Fuveau,ChIJ27EJVISQyRIREAOX_aUZCAQ,"[u'locality', u'political']"
0,43.438282,5.538761,FIT HOUSE,ChIJsfn1r8eQyRIRzzl4Pbhs5qo,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.4334537,5.5403004,La Provençale,ChIJ7WPitbWQyRIRDLWeSVDPGmg,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4353662,5.5400651,Intermarché Super,ChIJi9QAKbqQyRIRif6kJIsyZaY,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4345821,5.5411092,Laforêt PG Immobilier,ChIJtab1ILSQyRIRAy8OcHEkYnU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.436202,5.540692,La Grande Cave by Cépages Dépôt,ChIJzxcuAMiQyRIRdDld50vheFs,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
