,Latitude,Longitude,Name,Place_id,Type
0,43.295388,5.628112,Gémenos,ChIJf1CSW3uhyRIR8AKX_aUZCAQ,"[u'locality', u'political']"
0,43.29472,5.637004,Hôtel du Parc,ChIJv2eqfBeiyRIRwxwtiscZ7eE,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.2970803,5.6351514,ENGIE Home Services,ChIJHyccEZujyRIRpb54m71tOmU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.294309,5.636672,Le Manoir de Géménos,ChIJgWlAH9ujyRIRzqhWF0sTGac,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2975069,5.6331459,Le Moulin de Gèmenos,ChIJKYovcsWjyRIR1XKZufvn5Hw,"[u'point_of_interest', u'establishment']"
0,43.2921055,5.6434642,Mairie,ChIJVQJA1NijyRIRze-zevHBJBI,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.2967692,5.6327652,Les Vignerons du Garlaban,ChIJw1Exf8WjyRIRns0G32jpJV8,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.295122,5.635511,Les Charpentiers du Garlaban,ChIJL-hB0tqjyRIRIHFzkKj1Wsk,"[u'store', u'point_of_interest', u'establishment']"
0,43.291515,5.648711,LES SALONS DE SAINT PONS,ChIJfUobfmGhyRIR8z9KStEVKdI,"[u'point_of_interest', u'establishment']"
0,43.297463,5.632102,Menuiserie BACHELIER,ChIJXzicfM-jyRIR1ckpsylrkNU,"[u'point_of_interest', u'establishment']"
0,43.2931236,5.6342061,Sol Eclair,ChIJkVFvvMSjyRIREkYNa7Z6WjI,"[u'point_of_interest', u'establishment']"
0,43.292774,5.642712,13420,ChIJ81GFI9mjyRIRnLzI7ub9d-0,"[u'parking', u'point_of_interest', u'establishment']"
0,43.2927396,5.6408465,13420,ChIJz0thWdmjyRIRZo_kCt6za1w,"[u'parking', u'point_of_interest', u'establishment']"
0,43.2921055,5.6434642,Club Lei Nebla,ChIJLaao7JCjyRIRRJf00Hcidkw,"[u'point_of_interest', u'establishment']"
0,43.2921055,5.6434642,Sarl Patjeanpi Patjeanpi,ChIJVQJA1NijyRIR-aUI3T3QVjU,"[u'point_of_interest', u'establishment']"
0,43.2921055,5.6434642,Le Roux Luc,ChIJLaao7JCjyRIRCWcY8hCHDSQ,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.2966752,5.6355475,Théatre de verdure,ChIJxX8OrNqjyRIROj6wuS7edRY,"[u'point_of_interest', u'establishment']"
0,43.2951213,5.6355275,Maison des Associations,ChIJP_c_0tqjyRIRcAHurRKS07g,"[u'point_of_interest', u'establishment']"
0,43.2910255,5.6453281,le riviera saint pons,ChIJ49ptKmKhyRIRBQs3DaHQ6Bs,"[u'point_of_interest', u'establishment']"
0,43.2948115,5.6339886,Dallaporta Axel,ChIJbXAsIMWjyRIRZDYVRHl59rM,"[u'point_of_interest', u'establishment']"
0,43.291414,5.6502359,Le Paradou,ChIJOWZiWGGhyRIRPEIA8HyKbeM,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.2967143,5.6323895,Moto-Club de Gémenos,ChIJI2qeg8WjyRIRRZw_Zk1vIKA,"[u'point_of_interest', u'establishment']"
0,43.2931237,5.6342063,Serpin Alain,ChIJtU0RlcSjyRIRJ5yqES1Gv9Y,"[u'painter', u'point_of_interest', u'establishment']"
0,43.2912288,5.646166,Pont des Tompines,ChIJA7Kc-2GhyRIRzdDNtQShBpk,"[u'premise', u'point_of_interest', u'establishment']"
0,43.291529,5.653388,Conseil Général des Bouches du Rhône,ChIJ5WzdK2ShyRIRIt_Va9ZjDLc,"[u'point_of_interest', u'establishment']"
0,43.2896019,5.6324343,Association Sportive,ChIJuVOaVsKjyRIRFRMtNj5HfZg,"[u'point_of_interest', u'establishment']"
0,43.2929817,5.633453,TOYLAND,ChIJ_zBkvMSjyRIRfyXjUC1Bxbo,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.2869477,5.6364597,A.d.r.e.t. Energie,ChIJJbGs8-ejyRIRtrPZMkN-U3U,"[u'point_of_interest', u'establishment']"
0,43.2872348,5.6338717,Dupont Marc,ChIJv5CVucKjyRIRa_W0XCcevmw,"[u'point_of_interest', u'establishment']"
0,43.291542,5.656405,Parc de Saint-Pons,ChIJn61BVm-hyRIRWCi91Pwx4-M,"[u'park', u'point_of_interest', u'establishment']"
0,43.290964,5.654463,Le Foulon,ChIJpXgyd2ahyRIRYCimPS4UZmI,"[u'premise', u'point_of_interest', u'establishment']"
0,43.2981784,5.6230206,BASTIDE MAGDELEINE,ChIJZ46aIbijyRIRj_dyJNMjkxQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2953712,5.6284451,Mairie de Gémenos,ChIJtXXiKb6jyRIRw6X62_hYtvw,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.2958364,5.6290789,Le Valinco Pub corse,ChIJpfZuacajyRIRKoJqfgfMI2c,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
