,Latitude,Longitude,Name,Place_id,Type
0,43.513006,4.987968,Istres,ChIJxbAOzsQEthIRoAKX_aUZCAQ,"[u'locality', u'political']"
0,43.543814,4.952107,13800,ChIJrdtOwMYEthIRnUH3Df5DBVI,"[u'point_of_interest', u'establishment']"
0,43.5395942,4.9489586,Travaux Publics de Provence,ChIJ8f-N2rwcthIR7fyZnfHlkZ4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5434119,4.9425748,Alpilles Gestion Granulats de la Crau Granulats de la Crau,ChIJ8f-N2rwcthIRxn9tc7t1eE0,"[u'point_of_interest', u'establishment']"
0,43.533187,4.955094,Le Bouche à Oreille,ChIJw2qrsMoEthIRs_Y9jK1E76Y,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5335071,4.9563468,MAP,ChIJQSj_jrUEthIRerzOxUVu66o,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.532993,4.954833,Acd istres,ChIJ5wZyYcoEthIRRKa9TxRXmJw,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.5328958,4.9543111,Les Délices De Manon,ChIJw2qrsMoEthIRM-5P_CExHZs,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.53262,4.954276,Le manège à bijoux,ChIJQ54j9MoEthIRc9AoCTwlbCU,"[u'jewelry_store', u'shopping_mall', u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.53272,4.9541447,Royal Kids - Istres,ChIJw2qrsMoEthIR51CuPTCrUE0,"[u'point_of_interest', u'establishment']"
0,43.539477,4.944837,unnamed,ChIJR4zhGdAEthIRJ6j5a0JVyW0,"[u'point_of_interest', u'establishment']"
0,43.533239,4.95528,Dressing Zen de Marie,ChIJ963YesoEthIRTu4L_mjsMj4,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.5326204,4.9542761,Asia istres,ChIJQ54j9MoEthIRVD-TXX51yqw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5616184,4.9631488,Autodrome de Miramas,ChIJNViwZ3sEthIRitlE5yw7DVY,"[u'point_of_interest', u'establishment']"
