,Latitude,Longitude,Name,Place_id,Type
0,43.630199,5.176181,La Barben,ChIJWcwJKa75yRIR6Khumpwi2Bo,"[u'locality', u'political']"
0,43.6239542,5.2090524,Parc Zoologique de La Barben,ChIJqcLoD8b5yRIR3K86M73mOYo,"[u'zoo', u'point_of_interest', u'establishment']"
0,43.6219136,5.2127046,"Nilgaut, Daim, Antilope",ChIJremVTMT5yRIRf49-q6OLGME,"[u'point_of_interest', u'establishment']"
0,43.6220426,5.2108099,Volière des Vautours,ChIJgV6FgMb5yRIRgN7FAkBO-og,"[u'point_of_interest', u'establishment']"
0,43.6227179,5.2124282,"Wallaby, Emeu",ChIJZdBauMX5yRIRCDG0ul87Pzg,"[u'point_of_interest', u'establishment']"
0,43.6227221,5.2123801,Porc Epic,ChIJdxVmuMX5yRIRcJkuaJ2-Lss,"[u'point_of_interest', u'establishment']"
0,43.623061,5.2098433,Lynx,ChIJJekxasb5yRIRj6c545dDJ3Q,"[u'point_of_interest', u'establishment']"
0,43.6229319,5.2091288,Ours brun,ChIJ2V-YRcb5yRIRnjwT3KS5fVs,"[u'point_of_interest', u'establishment']"
0,43.6223185,5.2063499,Bigo Catherine,ChIJLbzVgsf5yRIRJBrVqNXsiIk,"[u'point_of_interest', u'establishment']"
0,43.6223967,5.2064112,Denis Baptiste,ChIJe0nQgsf5yRIR_ECSX-2aoRg,"[u'point_of_interest', u'establishment']"
0,43.6232294,5.2070339,Lemurien,ChIJx52Ulcf5yRIRFy-tg9_Szsg,"[u'point_of_interest', u'establishment']"
0,43.6233355,5.2068192,Panda roux,ChIJxwCPlMf5yRIR23GwObkfEwc,"[u'point_of_interest', u'establishment']"
0,43.6242412,5.2070603,Primates,ChIJhQpl58f5yRIRm0mSFX-EgZ8,"[u'point_of_interest', u'establishment']"
0,43.6243287,5.2067001,snack zoo la Barben,ChIJbaMN5Mf5yRIRsUVMNlwscYc,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6248568,5.207592,Aire de jeux,ChIJ7eggd8j5yRIRalW95Erkp80,"[u'point_of_interest', u'establishment']"
0,43.6245313,5.2066766,"Chimpanzé, Capicin, Ouistiti",ChIJa3lJ4sf5yRIRWX4j5vbC7Xs,"[u'point_of_interest', u'establishment']"
0,43.620204,5.223867,L'Estang,ChIJU1q2Idn5yRIR8GIBWh0eCQo,"[u'premise', u'point_of_interest', u'establishment']"
0,43.60243,5.21988,Chambre d'hôtes Le Vallon,ChIJl8_AoPv5yRIRtplcvv2UwKk,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.627626,5.205831,Château de la Barben,ChIJJyvm18n5yRIR3vlq2Ad1rkg,"[u'museum', u'point_of_interest', u'establishment']"
0,43.6256855,5.2047876,Restaurant Le 7E,ChIJ7e0NKwf5yRIRZetiFwuGw3U,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6261566,5.2068565,"Rhinocéros, Springbox, Oryx beisa, Gnou, Autruche",ChIJjww1Ocj5yRIRzCh6lUq5k48,"[u'point_of_interest', u'establishment']"
0,43.628748,5.204108,13330,ChIJHUyWbrb5yRIR_pvJY8j3JOQ,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.591912,5.126824,Lançon-Provence,ChIJ4YHdMLr7yRIRYAKX_aUZCAQ,"[u'locality', u'political']"
0,43.594814,5.221424,château de Caseneuve à Lançon- Provence,ChIJmcV9AgL6yRIRGoIWOB-p2q4,"[u'point_of_interest', u'establishment']"
0,43.631049,5.150567,Pélissanne,ChIJd-7yaiL5yRIRQAGX_aUZCAQ,"[u'locality', u'political']"
0,43.653995,5.261712,Lambesc,ChIJDRzny8v3yRIRyMIsggV0Ksg,"[u'locality', u'political']"
0,43.633316,5.230008,13330,ChIJ2UM12IH3yRIRQ_lSjDd3LLg,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6286,5.197381,Gourmand ice,ChIJvXy_orH5yRIR4fAK_ulIOlQ,"[u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.629393,5.1928546,Fcra,ChIJe68qY675yRIR2ndtcrVkj-o,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.6294729,5.1929117,Dimeck Jean-Francois,ChIJe68qY675yRIRwD8MXtCeUaI,"[u'point_of_interest', u'establishment']"
0,43.629393,5.1928546,Agusti Jean-Jacques,ChIJm9eU8675yRIRobMTVT9_YYw,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.629393,5.1928546,Martinet Magali,ChIJe68qY675yRIRdbWekKE3pA4,"[u'food', u'point_of_interest', u'establishment']"
0,43.6186107,5.241928,Domaine de Valmousse,ChIJJzwA2G33yRIRi4vz2AvFAGQ,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.621351,5.242881,Comatek SAS,ChIJ6X3h2m33yRIR6XP0u1Zh3Ks,"[u'point_of_interest', u'establishment']"
0,43.6217606,5.2413335,Quenthias-Bridaine,ChIJk4h8a273yRIRdw18zeVYxh4,"[u'point_of_interest', u'establishment']"
0,43.6300931,5.242495,Pont Réginaud,ChIJ3awCK3T3yRIR7uE5mNgmYMk,"[u'premise', u'point_of_interest', u'establishment']"
0,43.629881,5.191872,Chateau de la Barben,ChIJE1xpnK75yRIRs3Ie50dtjtg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.629881,5.191872,Restaurant Le Septième,ChIJE1xpnK75yRIRd_PGXyLHdWU,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6298813,5.1918721,Codelcine,ChIJE1xpnK75yRIRKz-YIWT57V4,"[u'museum', u'point_of_interest', u'establishment']"
0,43.639904,5.185366,Crédit Agricole Alpes Provence,ChIJoafS2cj3yRIRkt2_U1xS1-Y,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.6297782,5.1755012,Logis Hôtel la Touloubre,ChIJfZKkM0Bw-kcRys3TZ3XeSW8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.63168,5.181835,ITE ingénierie,ChIJhRmEIgH5yRIRwfAScMuvbdw,"[u'point_of_interest', u'establishment']"
0,43.630171,5.1814867,2J Innov,ChIJmWfjC8L-yRIRvLVAWuI2c-E,"[u'point_of_interest', u'establishment']"
0,43.6320835,5.1830136,ISO Pro,ChIJw5J-7wD5yRIRaaac6wlm1iU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.632105,5.1830979,Alexandre Bardaro,ChIJTYCCvgT5yRIRhjHwEuuWzdU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6328374,5.1822708,Personal Assistante,ChIJoytYAAH5yRIRxGCwXfRbOQA,"[u'point_of_interest', u'establishment']"
0,43.6304257,5.1768631,Town Hall,ChIJ1YDqhgT5yRIRgb2IT7kNwNc,"[u'school', u'point_of_interest', u'establishment']"
0,43.63055,5.176593,BET YVARS,ChIJWR--iS35yRIRkxM113Zr8oU,"[u'point_of_interest', u'establishment']"
0,43.6335867,5.179468,Amcoeur,ChIJafBKLwL5yRIROCxJ9nk0zq8,"[u'point_of_interest', u'establishment']"
0,43.6302082,5.1757567,Mairie,ChIJ0cRavQT5yRIRE9FLijgTc4I,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6298206,5.1754924,La Touloubre,ChIJE80pvAT5yRIReMpeyp53m2k,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.630171,5.1814867,Chalavan Catherine,ChIJeTAIzwb5yRIRx3i7EJcxUhw,"[u'point_of_interest', u'establishment']"
0,43.6258396,5.1797278,Chabert Patrick Sarl,ChIJubjRqgj5yRIRSCq-oeatHtA,"[u'health', u'point_of_interest', u'establishment']"
0,43.6257631,5.179733,L Et G Gabrielle,ChIJ7abRqgj5yRIRjhvxLMfGvWQ,"[u'point_of_interest', u'establishment']"
0,43.632105,5.1830979,Garcin Agusti Arlette Marie Juliet,ChIJ3RGi7wD5yRIRXBBswenPpss,"[u'point_of_interest', u'establishment']"
0,43.632105,5.1830979,David Trossero Sandrine,ChIJ3RGi7wD5yRIRUeD4Sy3o1nU,"[u'health', u'point_of_interest', u'establishment']"
