,Latitude,Longitude,Name,Place_id,Type
0,43.173653,5.605155,La Ciotat,ChIJ5bjorGOvyRIR0AOX_aUZCAQ,"[u'locality', u'political']"
0,43.1855238,5.6197267,Le Marina B,ChIJA_8tn2avyRIRx8NKpNHD6vY,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.19135,5.6171684,pôle emploi,ChIJqWnzXIalyRIRovtacJ7Lc3E,"[u'point_of_interest', u'establishment']"
0,43.188093,5.604765,Iode Café - Ciotat Park Ancre Marine 13600,ChIJw58hknylyRIR8-fTobejjg4,"[u'cafe', u'bar', u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1910677,5.6020848,Camping Le Soleil,ChIJhc3-Q4CvyRIRz3Al_A-2JqI,"[u'campground', u'rv_park', u'travel_agency', u'park', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.185937,5.606766,Camping La Sauge,ChIJCyZ7W3WvyRIRJ3wwq_8Cc-Q,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.1886371,5.6041776,DARTY La Ciotat,ChIJjQC3eoCvyRIR9K3Da0EoERo,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.1911274,5.6136056,School The Mediterranean,ChIJhXgOC32vyRIRRdCmE5KmdP0,"[u'school', u'point_of_interest', u'establishment']"
0,43.193362,5.6138868,Middle School Les Matagots,ChIJ8wU-nGKvyRIRiX8-RDTtxFI,"[u'school', u'point_of_interest', u'establishment']"
0,43.1962063,5.6124098,KHAAN La Ciotat,ChIJwzGg8XSvyRIRcMBFTeP6q0Q,"[u'clothing_store', u'jewelry_store', u'store', u'point_of_interest', u'establishment']"
0,43.1894028,5.6161649,Yamaha Spirit Motor,ChIJ20-1_2KvyRIRucqIzFWklOk,"[u'store', u'point_of_interest', u'establishment']"
0,43.1950036,5.6127358,L'Asphalte,ChIJTcACy4elyRIRzm0UPUv_2oM,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.1914987,5.6180536,Le Bon Coin,ChIJkytUAmKvyRIRBtNePByR6ZY,"[u'cafe', u'bar', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1907983,5.6177726,Agence du Golfe,ChIJKfT9amKvyRIRaMag6egG3U4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.1936166,5.6204465,Villa Serena,ChIJzxZWMIqlyRIRNSNFVCGfjr4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.1938404,5.6171939,Mairie,ChIJ-RRLK4-lyRIR2ECTouc-xCU,"[u'point_of_interest', u'establishment']"
0,43.196684,5.6166223,Mairie,ChIJ-RRLK4-lyRIRb7k-tpSnJpk,"[u'point_of_interest', u'establishment']"
0,43.189132,5.60367,McDonald's,ChIJsxyz1YGvyRIRihKHdPSp2zI,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.187419,5.61527,Les Voix Du Yoga,ChIJVVAEXGOvyRIRBIHdeEg8k7A,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.189542,5.605681,La Tour,ChIJ-SF6D3-vyRIRED22THZFSdI,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.188327,5.6040029,GiFi LA CIOTAT,ChIJw58hknylyRIR_Fzcj_d7PMo,"[u'home_goods_store', u'furniture_store', u'store', u'point_of_interest', u'establishment']"
0,43.1902646,5.6091938,Pizza Di Napoli,ChIJGVgs132vyRIRZXlTbVGKOzA,"[u'meal_delivery', u'meal_takeaway', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.1951983,5.6125922,BNP Paribas - La Ciotat Dulac,ChIJrwmH_Y6lyRIR2fWtLZDpaXw,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.191646,5.615975,Picard,ChIJ8wU-nGKvyRIRz-fGBYqmrvk,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1920679,5.6180845,Techno Gym,ChIJe36y3omlyRIRbJiFqOWL0BY,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.1889279,5.6158775,Sarl la Ciotadenne,ChIJEw8CEGOvyRIRMvmB8WM7Tpw,"[u'store', u'point_of_interest', u'establishment']"
0,43.19135,5.6171684,AXA Assurance COUESPEL RYCKEBOER,ChIJFTORDXWvyRIRgxx0OaISE4E,"[u'insurance_agency', u'bank', u'health', u'finance', u'point_of_interest', u'establishment']"
0,43.1890848,5.6042228,Crédit Agricole Alpes Provence,ChIJd862QYOvyRIRjQiIshdet9o,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.1934772,5.6201871,SPB Bassu Eric,ChIJr98BL4qlyRIRIyuTkN6wKNk,"[u'painter', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.1964291,5.6173791,Commune de la Ciotat,ChIJSwkRLImlyRIRqcoxtqx_mtM,"[u'point_of_interest', u'establishment']"
0,43.190492,5.6217854,Clinique vétérinaire CIOTAVET,ChIJZ-GntmGvyRIR4feSsv51vI8,"[u'veterinary_care', u'health', u'point_of_interest', u'establishment']"
0,43.1860574,5.612473,Association Jean Louis Noell,ChIJDz-lbHuvyRIRFgA8pyIYang,"[u'point_of_interest', u'establishment']"
0,43.195237,5.612404,Piscine Pascal Natation La Ciotat,ChIJ16SkWoalyRIRiDqKHJe9uEM,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.189158,5.604587,Europcar - Location de voiture La Ciotat,ChIJdU7eaX-vyRIR0bmZ9bDqU10,"[u'car_rental', u'point_of_interest', u'establishment']"
0,43.1950036,5.6127358,MAQUILLAGE PERMANENT CRYSTAL D'Ô,ChIJ7YW5X8OlyRIR7gUK-mEZ--U,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.1874632,5.6151625,Sainbioz,ChIJVVAEXGOvyRIRUrYfU0yTn2A,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1915049,5.6223433,Synergie Huissiers 13,ChIJvVFgzWGvyRIRGBMS0PRh2xI,"[u'point_of_interest', u'establishment']"
0,43.1898347,5.603698,Casino,ChIJsxyz1YGvyRIRrzKVMomeNas,"[u'gas_station', u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.192777,5.620255,Chambre d'hotes villa Tigre,ChIJTaC9F4qlyRIRsQqBGDadmrc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.1885148,5.6033183,ORCHESTRA,ChIJfZeTN3WvyRIRaB3YRl_A2HY,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.1950036,5.6127358,Amandine Noirot Osteopathe D.O,ChIJS_CuQ4alyRIRt0kmj1kqiYU,"[u'health', u'point_of_interest', u'establishment']"
0,43.1986541,5.616767,Team SurfCasting La Ciotat,ChIJrwmH_Y6lyRIROx-MV6TZ0Ck,"[u'point_of_interest', u'establishment']"
0,43.1901373,5.6092883,Chauvin Christian,ChIJZcpL1n2vyRIR2-qm_8SaPXw,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.1950139,5.6111319,Martinez Jean-Luc,ChIJbXcD-YalyRIRgYquN_r82T0,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.196684,5.6166223,Centre Social de l'Abeille,ChIJ-RRLK4-lyRIRJF6jmW3V1LQ,"[u'point_of_interest', u'establishment']"
0,43.1950036,5.6127358,Fabrice FRENET-BOURGOIN,ChIJ-aMd_16vyRIRu7_0waTwRqA,"[u'health', u'point_of_interest', u'establishment']"
0,43.1966632,5.6169851,Boucherie de l'abeille,ChIJz9R8W3WvyRIRi16zvHRuAHw,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1901373,5.6092883,Béatrice CHAUVIN - Ostéopathe D.O,ChIJsTZr132vyRIRa3QP9lTU3-k,"[u'health', u'point_of_interest', u'establishment']"
0,43.1910012,5.6163559,Demenagement Transports Rosso,ChIJEWqBXWKvyRIRpIld7SrmoK0,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.1865447,5.6145244,Sainbioz Biomonde Magasin Bio,ChIJVVAEXGOvyRIReIuH5jh7bqc,"[u'health', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.191128,5.615618,ACTIVPART SARL,ChIJG6nIl2KvyRIR2t6WRwUx_WQ,"[u'point_of_interest', u'establishment']"
0,43.1950139,5.6111319,Clinique vétérinaire de Roumagoua,ChIJbXEG-YalyRIRBW6Cugr2O-E,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.1969868,5.613518,cheminee jg,ChIJ--qd94WlyRIRnpb0wqPmcC4,"[u'point_of_interest', u'establishment']"
0,43.190166,5.6092385,Ciosat Sarl,ChIJxStB1n2vyRIR3MV6qA8wQCI,"[u'point_of_interest', u'establishment']"
0,43.1912313,5.6182474,Femel Traiteur,ChIJa94oDWKvyRIRr-QO5QCV0Rg,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1914551,5.6173838,Caisse d'Epargne La Ciotat Marina,ChIJ8wU-nGKvyRIR8R2MPPu8wfU,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.1901153,5.6050685,Hercule Haute Pression : nettoyage decapage demoussage marseille et sa region,ChIJDdEW-X6vyRIR8YqXRjfL8wA,"[u'point_of_interest', u'establishment']"
0,43.1981966,5.6148921,Bureau de vente Nexity La Ciotat,ChIJ38Lse3SvyRIRlTC7OCb2RFs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.1908476,5.6118638,Lpo,ChIJhXgOC32vyRIRALIwn68vtgw,"[u'school', u'point_of_interest', u'establishment']"
0,43.1986541,5.616767,Crèche Des Matagots,ChIJrwmH_Y6lyRIRj84crA9-fxE,"[u'point_of_interest', u'establishment']"
0,43.1773467,5.6100256,Hôtel-Restaurant La Croix de Malte,ChIJ2ZXa5nOvyRIReRJ0UPsNess,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.186964,5.622827,HÔTEL PLAGE LE ROSE THÉ,ChIJV3fxzWCvyRIRwvUOno5-Z60,"[u'bar', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.1768531,5.6066186,Hotel les Lavandes,ChIJh9SvNXSvyRIR6Fo3cwZE3SU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.1765214,5.6062018,Hôtel La Rotonde,ChIJ3fgwsXWvyRIRE1CEAlYCjQc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.187009,5.623133,Hôtel Restaurant le Miramar,ChIJVQWEzWavyRIR3YqegQwijuw,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.1773889,5.6104223,Cinéma Eden-Théâtre,ChIJ8czqZHGvyRIRz7WaPeSYDfw,"[u'movie_theater', u'point_of_interest', u'establishment']"
0,43.1811162,5.6121533,Le Goût de Soi,ChIJGQkOXXCvyRIRLAwmWRD0OP4,"[u'beauty_salon', u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.1756696,5.6086906,Tropiques Boutique,ChIJ0Sjte3SvyRIRUbOU7ZzYE3k,"[u'point_of_interest', u'establishment']"
0,43.1813358,5.6129838,Foncia Côté Sud,ChIJtXerT3CvyRIRqPyWhQmlJ00,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.1749719,5.6101346,Société Générale,ChIJr7WqdHOvyRIRBsgBdPMvWR8,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.184341,5.605702,Dr Thierry Fareau - Dentiste la Ciotat,ChIJzw4ptXmvyRIRkJJHTxPLWZ4,"[u'dentist', u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.176097,5.608674,Jeff de Bruges,ChIJLfskd3SvyRIREa62tPce9es,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.1831184,5.6127071,Docteur Philippe Bruneau,ChIJR_ZNl3qvyRIR4FlFMt7zJnA,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.178344,5.6106511,Reflet Marine Immobilier,ChIJ_34ab3GvyRIRzDIOje3aLiU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
