,Latitude,Longitude,Name,Place_id,Type
0,43.369174,5.631363,Auriol,ChIJnwChvsiYyRIRhBJ00_v5MCo,"[u'locality', u'political']"
0,43.374374,5.591007,Le Mas des Alludes,ChIJlf1_D0WYyRIRZiKvkudxteE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.37619,5.607346,Hôtel Occitan,ChIJHfIlQfiYyRIRsFWAybs3CFE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.3751605,5.6073085,Centre Médical de La Destrousse,ChIJm9uET_-YyRIRRLVmYC4f3nQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.3748166,5.6067056,Agence Immobiliere La Provencale,ChIJ8cN5cfeYyRIRs-mIZfDR1-4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.377505,5.6050824,Mairie,ChIJ4UmQcPeYyRIR6sJ5skeK7qw,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3797189,5.6044887,Biologement,ChIJhbxk74GXyRIRA3wQHD6ONcg,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3780174,5.6013751,Ferme du Tourtaret,ChIJR_Rqq1eYyRIRFASlLv5CBKA,"[u'food', u'point_of_interest', u'establishment']"
0,43.3766624,5.6062458,Marie Coco,ChIJ4UmQcPeYyRIRYcSaSCAsr1s,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3763944,5.6055353,Post Office,ChIJ4UmQcPeYyRIRjHlTnu6Xz8U,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.3742929,5.6068049,LABORATOIRE DE BIOLOGIE MEDICALE - LA DESTROUSSE,ChIJs28vDfeYyRIRrYwSnGbYPSQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.377116,5.598516,Dr Stéphane Cangemi,ChIJE202NVeYyRIRzE7NUM6R8zM,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.3759735,5.5927379,Le Mas de l'Epervière,ChIJ6TYCV0WYyRIRO7tl2qJWAwk,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.376886,5.605816,FB-maquettes,ChIJS5l8WviYyRIR5SL8biI7nkI,"[u'point_of_interest', u'establishment']"
0,43.376895,5.6058533,LA FEE SERVICES,ChIJQ3auSfiYyRIRZdlGMwnp4Vc,"[u'point_of_interest', u'establishment']"
0,43.3790753,5.6047648,Pro-Ferm,ChIJg-48V6qZyRIR_pBze-XcTYQ,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.3792536,5.6047208,Conceptions Études Réalisations,ChIJ2zlyvfiYyRIRPQjM5Ujhgj4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3757735,5.5968812,EC Mag,ChIJeTTKElqYyRIRAaHetsKYiUE,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.3770053,5.601742,Atec Electrique,ChIJ70q7oleYyRIRTuGEhPee0Vo,"[u'electrician', u'point_of_interest', u'establishment']"
