,Latitude,Longitude,Name,Place_id,Type
0,43.550993,5.194541,La Fare-les-Oliviers,ChIJw-Loe_D6yRIR58l1lAuUaws,"[u'locality', u'political']"
0,43.5489941,5.1995981,Moulin A Huile de la Fare Des Oliviers,ChIJH8LiR_D6yRIR_Ln6RRtECfE,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5534504,5.1919415,Sarl Ace,ChIJXb362Pv6yRIRWJ_POpBys3k,"[u'point_of_interest', u'establishment']"
0,43.5521882,5.2137841,select informatique,ChIJh2kDKY_6yRIRcSwGPIsrzxE,"[u'point_of_interest', u'establishment']"
0,43.5506,5.197446,La Fare Immobilier,ChIJ3dqpV_D6yRIR7Jlk6VLu7IM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5535072,5.2101321,2cvExperience.com,ChIJldIuoaXxyRIRRpFghzA0ZLQ,"[u'travel_agency', u'car_rental', u'point_of_interest', u'establishment']"
0,43.5495764,5.1992902,Maison de retraite publique Saint-Jean,ChIJMyrBSfD6yRIRygH7-d6xtmc,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.550992,5.194541,Agence immobilière Nexity La Fare Les Oliviers,ChIJ-xyIYvr6yRIR-vFji-0OjUo,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5502478,5.1937856,Agence Du Centre,ChIJj6Z77vr6yRIRA6RAPotIG7k,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5550098,5.1962757,Maison des Jeunes,ChIJr5QnH_f6yRIRzQqw7SpjPDk,"[u'point_of_interest', u'establishment']"
0,43.5509685,5.2003796,Cave Coopérative Vinicole,ChIJs3q_eo_6yRIRrXvrwvEK34g,"[u'food', u'point_of_interest', u'establishment']"
0,43.5506005,5.1956869,Caisse d'Epargne La Fare les Oliviers,ChIJy_YaefD6yRIRku63rqcnLmQ,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.5504209,5.1938128,Lafôret Immobilier La Fare,ChIJvQqC8vr6yRIRyHAS57JMwhE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.553111,5.2081861,Gymnase Saint Exupery,ChIJf97lkYz6yRIRDpZqCfSC_-Y,"[u'gym', u'health', u'point_of_interest', u'establishment']"
