,Latitude,Longitude,Name,Place_id,Type
0,43.296482,5.36978,Marseille,ChIJM1PaREO_yRIRIAKX_aUZCAQ,"[u'locality', u'political']"
0,43.2853422,5.5202069,Restaurant Campanile Marseille Est - La Penne,ChIJCd2i5Yi8yRIR4FAto_vEsEU,"[u'parking', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.284216,5.52086,KIP,ChIJg4QIGoi8yRIRpRzORqMHK7I,"[u'bowling_alley', u'point_of_interest', u'establishment']"
0,43.284133,5.523483,Evolution Football,ChIJX0YulIi8yRIRnGh62u3UXTQ,"[u'point_of_interest', u'establishment']"
0,43.2815056,5.5207027,Centre les Secrets de Christine,ChIJp05xm4e8yRIRJD9lhNdzxFk,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.275164,5.5246478,C.i.t.e,ChIJNX6z94G8yRIRNE6jeb22FJs,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.2835831,5.5149016,"Me AGNES BANOUN, NOTAIRE",ChIJB1o5UmO8yRIRgYSOZMgKTFU,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.2815591,5.5155761,Projet IMMO,ChIJnW8D-Xy8yRIRr14UKkZIAyk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.2811987,5.5172189,Crédit Agricole Alpes Provence,ChIJ_2V--Xy8yRIRtQogyDtP7yA,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.285431,5.51747,Comme A la Maison,ChIJ1VRKA2O8yRIRqZaJ1LPI5VY,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.2829031,5.5238297,Sita Sud,ChIJ_fxpH4a8yRIRQHqSWr3KeZ4,"[u'point_of_interest', u'establishment']"
0,43.2812378,5.5169149,Caisse d'Epargne La Penne sur Huveaune,ChIJHeYC_3y8yRIRMcOg4yfwHnU,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.281662,5.514219,Aux Delices Du Palais,ChIJJfqQfHu8yRIRObo9lw8y_W0,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.2841564,5.5210452,Kartinpro Competition,ChIJRy2jEIi8yRIRu6nUeAXlF7g,"[u'store', u'point_of_interest', u'establishment']"
