,Latitude,Longitude,Name,Place_id,Type
0,43.713811,5.316109,La Roque-d'Anthéron,ChIJJT3rtIQeyhIRDSR_4qtmtP8,"[u'locality', u'political']"
0,43.7199303,5.3100269,Logis Hôtel le Mas de Jossyl,ChIJpwRq450eyhIRNeRnSrAq148,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7170209,5.2937579,Roque Blanc,ChIJp9hJeDocyhIROzLS8QLIm6o,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.713989,5.309401,Le Grain De Sel,ChIJ58fOhCgcyhIRmTMenYicc1M,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7129362,5.3065833,Clinical The Mediterranean,ChIJZy5vE2YcyhIRd9-YUL_8NOQ,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.7139966,5.3094113,Mairie de la Roque D'Anthéron,ChIJ185x9iccyhIRsDUkO3AHImY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7153894,5.307351,Caisse d'Epargne La Roque d'Antheron,ChIJ-e3CHygcyhIRCJO43TilDoY,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.72003,5.30216,Lidl,ChIJrxXAiCQcyhIRoFgCqLePRlw,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7165125,5.3114347,Parc du Château de Florans,ChIJqz6DQp0eyhIRiUcHdVIyLV4,"[u'hospital', u'health', u'point_of_interest', u'establishment']"
0,43.719791,5.311374,Festival international de Piano,ChIJNf1N5p0eyhIR_A6osndKtlg,"[u'point_of_interest', u'establishment']"
0,43.7138343,5.3045987,Medical Center Specialized Le Méditerranée,ChIJjcMlLy8cyhIR6tZPSakN8O0,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.716422,5.310146,Bioactif,ChIJ185x9iccyhIRPz_XNig5KZ0,"[u'health', u'point_of_interest', u'establishment']"
0,43.7165594,5.3099821,Foyer Rural de la Roque D'antheron,ChIJ5WX49CccyhIRrXZIWHFwazs,"[u'point_of_interest', u'establishment']"
0,43.717642,5.3058681,Spar,ChIJi05hdZseyhIR4T75JKzQjeM,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7163941,5.308077,Elevage Bichons Frisés des VAUDOIS DU GRAND JAS,ChIJTZJWziccyhIRRBqJs7Pt00c,"[u'point_of_interest', u'establishment']"
0,43.714458,5.310525,Le Bocage,ChIJh-LvroIeyhIRPjcuPg93jAQ,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7155758,5.3072549,Mairie,ChIJ185x9iccyhIRj5fNMLpKq2w,"[u'point_of_interest', u'establishment']"
0,43.7160494,5.3075814,Office Notarial SCP Vincent Virolleaud,ChIJO_oq0yccyhIRLeYkgF1dKPQ,"[u'point_of_interest', u'establishment']"
0,43.7179941,5.308048,Pharmacie du Jas,ChIJwz4oqCccyhIR3s8wIOwtp-s,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.7180683,5.3080243,BOSPHORES,ChIJg7O9ACccyhIRUdoCxU1kWq4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7160494,5.3075815,Iderea,ChIJMfTV0iccyhIRmolWtxEkkhg,"[u'point_of_interest', u'establishment']"
0,43.7128079,5.3086681,C.a.t La Farigoule,ChIJu41XtikcyhIRukzYnz4Tje0,"[u'point_of_interest', u'establishment']"
0,43.715596,5.310693,L'auberge Du Castellas,ChIJMc85Up0eyhIRC3UuTR1vepY,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.717738,5.304472,Optique iribarne,ChIJF8tO0CUcyhIREmunjaBx1fA,"[u'point_of_interest', u'establishment']"
0,43.7159667,5.2988804,Speedabris,ChIJYWqI54D1yRIR6RIIDN1Roa4,"[u'point_of_interest', u'establishment']"
0,43.7217673,5.3070827,Massa Gérard,ChIJOXLMPCEcyhIRUDryuJvzQH4,"[u'food', u'point_of_interest', u'establishment']"
0,43.7176707,5.3055285,Laboratoire de Biologie Médicale de la Roque d'Anthéron,ChIJT9nL_oIeyhIR6OSHyGF7WaA,"[u'health', u'point_of_interest', u'establishment']"
0,43.720958,5.300168,Silvacane Provence,ChIJe4uIViMcyhIRow00jE_vsYk,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.7162669,5.3078975,Gardiol Henri Georges Emile,ChIJU8j1zSccyhIRde4ZYXAeDK4,"[u'point_of_interest', u'establishment']"
