,Latitude,Longitude,Name,Place_id,Type
0,43.701368,5.084911,Lamanon,ChIJcR0etEYAyhIRE9X4pgHOJqA,"[u'locality', u'political']"
0,43.7009613,5.092034,ENTRE ALPILLES ET LUBERON CUISINES,ChIJLxjsc6oByhIRuWlYsRYoDqE,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.699403,5.08431,Parc des Platanes de Lamanon,ChIJC6-E4UAAyhIR8BO76JBO-OY,"[u'point_of_interest', u'establishment']"
0,43.6996032,5.088888,Mirion Technologies,ChIJ4TxaJpkAyhIRapsbBLm3wTk,"[u'point_of_interest', u'establishment']"
0,43.7012279,5.0842357,Paroisse ELSA : Eyguières Lamanon Sénas Aureille,ChIJiaMtaUEAyhIRF_C8uqx7T4I,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.701466,5.084888,T2a,ChIJr558XEEAyhIRx8yjhpbFPmc,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.7012658,5.0850622,Mairie,ChIJI8IvPUYAyhIRukICX34h69Y,"[u'point_of_interest', u'establishment']"
0,43.7019137,5.0865173,En ville à Lamanon,ChIJbbJRHUQAyhIR4nJ8joXSSD0,"[u'point_of_interest', u'establishment']"
0,43.7008558,5.0878455,Beisson Sarl,ChIJ6eo4kkYAyhIRiuot6Q2bH30,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.7019587,5.0867705,Post Office,ChIJ2-tZHEQAyhIRGio3kRb9pm4,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.7009391,5.0845015,Musee de Cales,ChIJJxCiUkEAyhIRAWtpGQNeMbY,"[u'museum', u'point_of_interest', u'establishment']"
0,43.700038,5.092678,BERTET Ludovic,ChIJCzUJ7EgAyhIRsx29TpCCyfc,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.701368,5.084911,Atelier NG tailleur de pierre,ChIJLzSh80kAyhIR_eEtMEVlI5c,"[u'store', u'point_of_interest', u'establishment']"
0,43.7009036,5.0919908,Entre Alpilles et Luberon Cuisines,ChIJ0eZ5ukgAyhIRfsvGMgDiYMs,"[u'point_of_interest', u'establishment']"
0,43.701279,5.08582,Aubert Expertise et Conseil,ChIJJxCiUkEAyhIRK054p8ZvTdU,"[u'point_of_interest', u'establishment']"
0,43.702243,5.093059,Bonna Sabla,ChIJR1UtJU8AyhIRZgwMuEGhGMw,"[u'store', u'point_of_interest', u'establishment']"
0,43.7013841,5.0847899,Café Du Midi,ChIJoTrRREEAyhIRva5pPhPlXxI,"[u'cafe', u'food', u'point_of_interest', u'establishment']"
0,43.700493,5.090009,Le snack le Leandro Lamanon,ChIJAcz_F0YAyhIRak9l83WEYHU,"[u'night_club', u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7009218,5.0961952,Garage des 4 chemins,ChIJ0Xkd3kMByhIRAu1zLERfms8,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6989985,5.0824944,Mirion Formation,ChIJ4c9-RUAAyhIRDArhXQwzuyk,"[u'point_of_interest', u'establishment']"
0,43.6974852,5.0953684,Imprimerie Masson - Studio Graphique Artcom,ChIJPzUJm6v_yRIRDFPNYm2oAH0,"[u'point_of_interest', u'establishment']"
0,43.6985508,5.0948738,Glama International,ChIJ0Xkd3kMByhIRglXQGfKvmtY,"[u'point_of_interest', u'establishment']"
0,43.697538,5.094454,Aluminium industrie MEOZZI,ChIJ0Xkd3kMByhIRlIvwC46XijI,"[u'point_of_interest', u'establishment']"
0,43.6966734,5.090204,FAC Micro,ChIJo2kRDzgAyhIRwSi2e51a1KM,"[u'point_of_interest', u'establishment']"
0,43.696703,5.093793,Pauline Perrin Chaptal,ChIJ6eo4kkYAyhIR9Yq3dJIaf1Q,"[u'point_of_interest', u'establishment']"
0,43.696085,5.080443,Massilia International,ChIJ8y29YBUAyhIRIQcwAMSNYRM,"[u'point_of_interest', u'establishment']"
0,43.710593,5.0913257,OMAG SA,ChIJsfObqFAAyhIRHT5_dLu95Ds,"[u'store', u'point_of_interest', u'establishment']"
0,43.710642,5.082755,Dubois Benjamin,ChIJ40vMyF0AyhIRghZZiFJXJFc,"[u'point_of_interest', u'establishment']"
0,43.71064,5.08275,Galas Sias Jeannine,ChIJRzz2AMgAyhIRf_AH6tOrct0,"[u'point_of_interest', u'establishment']"
0,43.71064,5.08275,La Grand Manon,ChIJRzz2AMgAyhIRJLPKEaQidBg,"[u'food', u'point_of_interest', u'establishment']"
0,43.7065043,5.0818865,Chapelle Saint-Denis,ChIJe_V2tkIAyhIRkxhFCLmP5XI,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.7064809,5.081906,13113,ChIJkeZytkIAyhIR3Y4_BF5n6WU,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.700456,5.090499,Station Fruitiere Du Domaine de Confou,ChIJiVVOQkEAyhIRJeiWYUhZ6oM,"[u'point_of_interest', u'establishment']"
0,43.703359,5.09388,unnamed,ChIJb7jf_E4AyhIRRJIE7NPEJok,"[u'point_of_interest', u'establishment']"
0,43.70178,5.09577,Tjm,ChIJB75prk4AyhIRId3LhRjrdLQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7010525,5.0918701,Brasserie Ferrero Pizzeria,ChIJ2fNPO0YAyhIR__VA_ezlAcw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7031627,5.0901625,dechetterie Lamanin,ChIJ7aGqZ08AyhIRZLitox9Lj58,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7039599,5.0821562,Grottes de Calès,ChIJX5xQXEIAyhIRFKNDEYFk2hI,"[u'point_of_interest', u'establishment']"
0,43.7053979,5.0829806,Chapelles Sainte-Marie et Saint-Jean,ChIJ3c0r4UIAyhIRuHGUThn4lxg,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.640199,5.097022,Salon-de-Provence,ChIJofoBqDMAthIRIP-W_aUZCAQ,"[u'locality', u'political']"
0,43.6883354,5.0959121,Domaine De La Reynaude,ChIJpUKVjDEAyhIRgYA6s4B3d0Y,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.688927,5.095681,13113,ChIJUd1LhTEAyhIRfyzTsLNBNVQ,"[u'point_of_interest', u'establishment']"
0,43.689444,5.095771,13113,ChIJz22cgjEAyhIRJsCuqVcULqI,"[u'point_of_interest', u'establishment']"
0,43.685173,5.09757,Aire de Repos de Lamanon,ChIJCz8PyC0AyhIRxHivpAQwq-k,"[u'point_of_interest', u'establishment']"
0,43.695565,5.09491,FUTURA 4x4,ChIJvx28PzYAyhIR42QlFdOnf5M,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.697659,5.095888,Centre Glass Auto Gp Automobiles - Sarl Gauleto,ChIJbSqtQRH8yRIRWSzqtG3S4vQ,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6961835,5.0944871,Lottissement le pré d'Emma,ChIJB_QZJTYAyhIRIaKEvHQhyVU,"[u'point_of_interest', u'establishment']"
0,43.6975971,5.0954833,Arcadia Clinique Veterinaire,ChIJxQk07EkAyhIR5CMoaTJ0Dwo,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.6968643,5.0946109,Unil Opal,ChIJ0Xkd3kMByhIRME4ZxU6CI4w,"[u'point_of_interest', u'establishment']"
0,43.695299,5.02967,Eyguières,ChIJ89CkAEr-tRIRYAOX_aUZCAQ,"[u'locality', u'political']"
0,43.694468,5.076808,Isnard Philippe,ChIJ4TxaJpkAyhIRn-kjlNo3Ujg,"[u'point_of_interest', u'establishment']"
0,43.694468,5.076808,Earl Les Ecuries De Lamanon,ChIJ4TxaJpkAyhIRE8EtRP03nlg,"[u'point_of_interest', u'establishment']"
0,43.6930245,5.0768532,Espace Innovation,ChIJfSCxLxQAyhIRLuBPVNh1Hxc,"[u'point_of_interest', u'establishment']"
0,43.7454589,5.077758,Sénas,ChIJNT0C4LkAyhIRgOoAldxk5fc,"[u'locality', u'political']"
0,43.7232133,5.0891108,Pépinières Sintès,ChIJ0Xkd3kMByhIR1xb4rG76t80,"[u'food', u'point_of_interest', u'establishment']"
0,43.7259783,5.084103,Matériaux SIMC,ChIJi5tuie0AyhIRwL7a3x70Otg,"[u'store', u'point_of_interest', u'establishment']"
0,43.7265747,5.0839363,Location Fontvert,ChIJnUXvmu0AyhIRMirajM46_uc,"[u'travel_agency', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.7265747,5.0839364,Entreprise de maçonnerie Sébastien Guimard,ChIJbYfumu0AyhIRUzZYWv0o-jI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.722653,5.098467,Ecurie de la Baronnerie,ChIJxe5XVvwAyhIRzlH3JvChob4,"[u'point_of_interest', u'establishment']"
0,43.7252448,5.0999971,191 Route D'alleins 13560 Senas,ChIJBfGry-IAyhIRZHgVsBKz9Sc,"[u'point_of_interest', u'establishment']"
0,43.7259783,5.084103,Assoc Synd Autorisée Boisgelin Craponne,ChIJyf5Go-wAyhIRd5ZEkFKrAvk,"[u'point_of_interest', u'establishment']"
0,43.7259783,5.084103,Mathis'presse,ChIJyf5Go-wAyhIRyxHqijP-IlQ,"[u'store', u'point_of_interest', u'establishment']"
0,43.7265747,5.0839364,Garcia Guimard Helene Anne-Marie,ChIJN87tmu0AyhIRQuwddVXW7ik,"[u'point_of_interest', u'establishment']"
0,43.7278339,5.0957759,Layadi Alexandre,ChIJ_xYUfOQAyhIRsGOAxB0qYMs,"[u'point_of_interest', u'establishment']"
0,43.7105536,5.103169,Marin Armand Jean,ChIJl9ExnKwByhIRh2BvpCWSPL4,"[u'point_of_interest', u'establishment']"
0,43.7105536,5.103169,Castelli Michel,ChIJl9ExnKwByhIRJqjk1lf4p7k,"[u'finance', u'point_of_interest', u'establishment']"
0,43.7105536,5.103169,Collot Pascal,ChIJl9ExnKwByhIRoiSVPmF7oFo,"[u'food', u'point_of_interest', u'establishment']"
0,43.7104654,5.103193,Deliat Camille,ChIJl9ExnKwByhIRW8scar9pR8A,"[u'point_of_interest', u'establishment']"
0,43.7104654,5.103193,Michel Raphael,ChIJl9ExnKwByhIRSTlDpQwB4A0,"[u'point_of_interest', u'establishment']"
