,Latitude,Longitude,Name,Place_id,Type
0,43.653995,5.261712,Lambesc,ChIJDRzny8v3yRIRyMIsggV0Ksg,"[u'locality', u'political']"
0,43.6559537,5.2559516,Les Amories,ChIJr17QRc_3yRIRq9fcAZTqas4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6574655,5.2566742,Cheminées Provence Création,ChIJ80SJvcX3yRIRYeV3sPETNGY,"[u'point_of_interest', u'establishment']"
0,43.666948,5.251836,La Mignarde,ChIJ6d85x973yRIRD-DOzrRnNZY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.656304,5.254229,lambesc chaises,ChIJ84krIsT3yRIR8rSgVpaVtls,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6553023,5.2594834,Château de Calavon,ChIJdw71yMj3yRIRxum1WyA9uDs,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.655399,5.2575979,Ekilux,ChIJd9lgBMb3yRIRk6LwZXoSwZc,"[u'point_of_interest', u'establishment']"
0,43.6550662,5.2602617,SERVICES A DOMICILE,ChIJb0yz2cj3yRIRN43haMd7u1o,"[u'point_of_interest', u'establishment']"
0,43.6575353,5.2619926,Hospital Center Specialized De Montperrin,ChIJp55TjM73yRIRiSYpohiG5qQ,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.6553023,5.2594834,Bury Loic,ChIJBRL1yMj3yRIRO9tA67tboFo,"[u'point_of_interest', u'establishment']"
0,43.6553365,5.2602532,Le Relais Association,ChIJFXNu18j3yRIRu_9n-iG0IHY,"[u'point_of_interest', u'establishment']"
0,43.65506,5.26044,Trekking,ChIJ-RXN2cj3yRIR0F0dLy_u5TU,"[u'point_of_interest', u'establishment']"
0,43.65506,5.26044,Earl Andreis,ChIJ-RXN2cj3yRIRmjYe6h90ftw,"[u'food', u'point_of_interest', u'establishment']"
0,43.6576399,5.2564367,Méditerranéenne de Courtage,ChIJC8C5vMX3yRIRMwp9YKcgKeo,"[u'point_of_interest', u'establishment']"
0,43.6576399,5.2564367,Fulgent Isabelle,ChIJC8C5vMX3yRIRddRtNscxodI,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.663409,5.245257,Cyn'Elite,ChIJO8PBVOb3yRIRe0389UHJXUY,"[u'point_of_interest', u'establishment']"
0,43.6574655,5.2566742,Sci la Baviere,ChIJ80SJvcX3yRIRnez1-kfJYPI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6574655,5.2566742,Giraud Jean-Claude,ChIJ80SJvcX3yRIRGvdzXscedrw,"[u'food', u'point_of_interest', u'establishment']"
0,43.6574655,5.2566742,Ambrosio Daniel Serge,ChIJ80SJvcX3yRIRL4lTnPKifoo,"[u'food', u'point_of_interest', u'establishment']"
0,43.655578,5.256045,Saint-Roch,ChIJ57CpcMb3yRIRXpyel80lglc,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.653995,5.261712,Chez Cathy,ChIJW6RSEsn3yRIRQM-VEQoX2iE,"[u'point_of_interest', u'establishment']"
0,43.648815,5.254634,LID,ChIJqfu0qrn3yRIRQbgiy8UbeN4,"[u'point_of_interest', u'establishment']"
0,43.6519577,5.2638768,Société Générale,ChIJR0DDDsr3yRIRs5Hu6LuExZs,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.6533151,5.2624029,De La Vigne à L'Olivier,ChIJ43e0Fav_yRIR2hbXO_-k-qU,"[u'grocery_or_supermarket', u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.6536186,5.2612106,Le Moulin Aux Anges,ChIJv7lQBsn3yRIRzPQJicDzUh0,"[u'bar', u'point_of_interest', u'establishment']"
0,43.6528535,5.2630706,Laforet Immobilier Lambesc,ChIJH9K-hsn3yRIRf0gfdcIFFRk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6535639,5.2620834,Jaquemart Immobilier,ChIJr6h7c8n3yRIRFqEnhYV62SA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6540932,5.2615261,Sud Est Immo,ChIJJ285Ecn3yRIR7-X9_h0Z8uY,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
