,Latitude,Longitude,Name,Place_id,Type
0,43.591912,5.126824,Lançon-Provence,ChIJ4YHdMLr7yRIRYAKX_aUZCAQ,"[u'locality', u'political']"
0,43.5815994,5.1562583,La Cadeniere,ChIJI2WzVOz7yRIRBGPXaleAkvI,"[u'food', u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Impératrice Paysages,ChIJI2WzVOz7yRIR5eNsRCzTtRw,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Agence Des 3 Ormeaux,ChIJI2WzVOz7yRIRaxWDJmL83fs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.569563,5.152823,Beauty-life,ChIJExhiWIX7yRIRR4QHFWa2dJ8,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Martinasso Crouzillat,ChIJI2WzVOz7yRIREPnv7l4VGe8,"[u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Paysages Assistances,ChIJI2WzVOz7yRIR3EpyfQdjqYQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Indivision Tobias Freres,ChIJI2WzVOz7yRIRA51UkhnNr3c,"[u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Tobias Gerard,ChIJI2WzVOz7yRIRFS4gJjze7B4,"[u'point_of_interest', u'establishment']"
0,43.5815994,5.1562583,Bianconi Nathalie,ChIJI2WzVOz7yRIRuP8FYnSjJRQ,"[u'point_of_interest', u'establishment']"
0,43.581689,5.1562469,Charles Julien,ChIJI2WzVOz7yRIRK_0cORu9xGo,"[u'point_of_interest', u'establishment']"
0,43.560664,5.156386,Télégraphe Chappe,ChIJ0TaynZ37yRIRsEJqidI9xpM,"[u'point_of_interest', u'establishment']"
0,43.5865591,5.1587446,Bellegrand,ChIJAWLhLO_7yRIRZHXYkdmRyIk,"[u'point_of_interest', u'establishment']"
0,43.5893198,5.1617067,chevrerie honnore,ChIJ14Pyy-f7yRIRXe2U1esyixc,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.586994,5.151081,Chauvin Jérôme,ChIJccRWmM37yRIRUu4Br_CzvXQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5917597,5.1597614,Honnore Bernard,ChIJ8yUQlOb7yRIRFfjh-VgZT_E,"[u'food', u'point_of_interest', u'establishment']"
0,43.588522,5.168074,Chapelle Saint-Symphorien,ChIJg8tOttz7yRIRRYV9R3-gHxU,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5830405,5.1701931,Chafi Mehdi,ChIJW_aLpsb7yRIRQ05XZebDlGg,"[u'point_of_interest', u'establishment']"
0,43.5827716,5.1435222,Garage Lançonnais,ChIJRyy3jvX7yRIRVpIX2oWSfJ4,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.582856,5.1435649,Saniez Services,ChIJRyy3jvX7yRIRHGE1fG5pZGE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5827716,5.1435222,Hocquard Philippe,ChIJRyy3jvX7yRIRmNvhfWZoDlY,"[u'point_of_interest', u'establishment']"
0,43.5827716,5.1435222,Provence Maintenance,ChIJRyy3jvX7yRIRyulTeko19h4,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.582856,5.1435649,Garage Premium,ChIJRyy3jvX7yRIRW2ZZG4-rFZI,"[u'point_of_interest', u'establishment']"
0,43.550993,5.194541,La Fare-les-Oliviers,ChIJw-Loe_D6yRIR58l1lAuUaws,"[u'locality', u'political']"
0,43.5981525,5.1596108,Hippopotamus,ChIJFeSwo1j5yRIR9hOoQXGP43w,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.595644,5.158409,les écuries du mas,ChIJBSsW0-P7yRIR9lutNeABoS8,"[u'point_of_interest', u'establishment']"
0,43.59319,5.17005,Cauchi Guiseppe,ChIJ-6hIWtn7yRIRw6hfzA_5naA,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.5956011,5.148577,Mallia Denis,ChIJFQ5RKPz7yRIRmu2u9Wv-Gqs,"[u'point_of_interest', u'establishment']"
0,43.5872202,5.1791293,Enviro-Conseil et Travaux,ChIJNWzABM77yRIRJSdLIf0cQps,"[u'point_of_interest', u'establishment']"
0,43.5872202,5.1791293,Hamiache Michael Franck,ChIJNWzABM77yRIRcpt1WM8IDg4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.587719,5.144133,Alterface,ChIJwTLuw_f7yRIRjHk0Yfehiqs,"[u'point_of_interest', u'establishment']"
0,43.5880586,5.1414739,ECOLAVE SPECIALISTE DU LAVAGE ECOLOGIQUE SANS EAU,ChIJIV6TQgj8yRIRAhkiVZ4Wbso,"[u'point_of_interest', u'establishment']"
0,43.5883548,5.1405794,Seminaire Marseille Sport coach,ChIJ_SBRigj8yRIR6sR4RFJ0NA8,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.5487313,5.154792,Château Virant,ChIJabBCwG_7yRIR9EEaw9gFNjg,"[u'food', u'point_of_interest', u'establishment']"
0,43.547929,5.168075,"Perle de Provence, savons et huiles, gîtes",ChIJpVwsORL7yRIRWuhJvQnc9Vs,"[u'point_of_interest', u'establishment']"
0,43.546641,5.153566,Château la Beaumetane,ChIJZ-aWrQT7yRIR3qxVNu6IArI,"[u'point_of_interest', u'establishment']"
0,43.551797,5.1772122,JEKOdesign,ChIJ4XkQozPn9EcR1YRXtlPMwXQ,"[u'point_of_interest', u'establishment']"
0,43.5633148,5.1387777,la,ChIJjfbaiH78yRIRFeEWyyUW9XA,"[u'point_of_interest', u'establishment']"
0,43.631049,5.150567,Pélissanne,ChIJd-7yaiL5yRIRQAGX_aUZCAQ,"[u'locality', u'political']"
0,43.594055,5.172545,13680,ChIJc53TvNn7yRIRLU6vI0b2mO8,"[u'point_of_interest', u'establishment']"
0,43.5944028,5.1726848,Gare de Peage de Lancon-Provence,ChIJHS6Lutn7yRIRSHqiGAAOf9o,"[u'point_of_interest', u'establishment']"
0,43.594664,5.172763,13680,ChIJ_UAXsdn7yRIRkgpv2L-MqsI,"[u'point_of_interest', u'establishment']"
0,43.593474,5.175139,13680,ChIJKcWqXNf7yRIR9qtxZ_0mzCo,"[u'point_of_interest', u'establishment']"
0,43.595792,5.176402,Espanet Rémi,ChIJCZYcutf7yRIRmVEKN3Y8mmk,"[u'food', u'point_of_interest', u'establishment']"
0,43.5936638,5.1441311,Lescalier Gerard,ChIJE987sfj7yRIRwcbO-6Mjg_E,"[u'point_of_interest', u'establishment']"
0,43.5918695,5.1396044,AG2S,ChIJj1PZ9Qb8yRIR8tjHkd8PALE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5918695,5.1396044,Bayeron Stephanie,ChIJj1PZ9Qb8yRIRvI7nYRtFpCU,"[u'point_of_interest', u'establishment']"
0,43.5896122,5.1873921,Station-service TOTAL,ChIJKXfs5U35yRIRp8-yqXTMC2w,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.5864853,5.1818584,C.E.T Seneguier,ChIJccRWmM37yRIRyiPePhu8VeM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5864853,5.1818584,Mille Michel,ChIJccRWmM37yRIRw4GEAf5Ai8Y,"[u'point_of_interest', u'establishment']"
0,43.5864853,5.1818584,Chambon Marc,ChIJccRWmM37yRIRrBbWMjtW7n4,"[u'food', u'point_of_interest', u'establishment']"
0,43.589366,5.185808,unnamed,ChIJPbMjJC36yRIRjXXTEyJHD3Y,"[u'point_of_interest', u'establishment']"
0,43.589443,5.187136,Monop'Daily Aire Seneguier,ChIJfyfGAy36yRIRs8GA8i2t-H0,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.590007,5.136633,Multi services 13,ChIJJeHaGwb8yRIRYxLzlg4Ni80,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5900118,5.1367267,Avidif,ChIJ_043egX8yRIRqlnQGZmxr7k,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.591733,5.137557,Le Platanium Georges,ChIJifDLXcf2yRIRuMTBmLLf0Cw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5895307,5.1331132,S&S Demenagement,ChIJB8TK-A_8yRIRyOsJmyyxpGI,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.5915,5.13579,Électricien Lancon,ChIJ95HfrgX8yRIRh8YuFlXfZ1I,"[u'electrician', u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.591491,5.13568,AECP-GRACEFFA lancon,ChIJ1w3XqAX8yRIRNTpoakVJ4ss,"[u'plumber', u'general_contractor', u'electronics_store', u'electrician', u'store', u'point_of_interest', u'establishment']"
0,43.5914653,5.1352745,Pichon Patrick Jean Noel,ChIJySi6BwX8yRIR6js_ojXR_nM,"[u'point_of_interest', u'establishment']"
0,43.587414,5.1297387,ALPHA PROTEC,ChIJgTMCAhH8yRIRtIxOuUiNLnA,"[u'point_of_interest', u'establishment']"
0,43.58638,5.139203,13680,ChIJxZI2PQn8yRIR0GMaiMxuZNE,"[u'parking', u'point_of_interest', u'establishment']"
0,43.587591,5.1404309,Michel Frederic,ChIJK1vO-Qj8yRIRUmHwA4wmcYQ,"[u'point_of_interest', u'establishment']"
0,43.5883155,5.1404677,Assistance Bureautique Provence,ChIJ_SBRigj8yRIRdIfkqhwNS8s,"[u'point_of_interest', u'establishment']"
0,43.583372,5.128866,Deco-Ffrage,ChIJx69-E8XnyRIR7ZI3hE626e4,"[u'point_of_interest', u'establishment']"
0,43.4757729,5.167309,Berre-l'Étang,ChIJG8xNj1fkyRIRrlEg1sJNbJA,"[u'locality', u'political']"
0,43.5359889,5.156633,Stonica,ChIJu8jZgEP7yRIRwYbvmB1fCTc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5401133,5.1497015,NLF Webdesign,ChIJMziU7jD5yRIRDB3B-_x6i9U,"[u'point_of_interest', u'establishment']"
0,43.5374138,5.1622892,Domaine des Cravons SCEA,ChIJXxvF71zkyRIRNSfAcvggiO4,"[u'food', u'point_of_interest', u'establishment']"
0,43.5371572,5.1568241,Fiedler Gilbert,ChIJu8jZgEP7yRIRVYY46_F_Dko,"[u'point_of_interest', u'establishment']"
0,43.5371572,5.1568241,Segonzac (De) Pol,ChIJu8jZgEP7yRIRxIElDEGZsRk,"[u'point_of_interest', u'establishment']"
0,43.5366928,5.156622,Marin Marilyn,ChIJoemTm0P7yRIRx-e57Lx9FVI,"[u'point_of_interest', u'establishment']"
0,43.540072,5.1656233,Pozzo Laurent,ChIJBbt93j_7yRIRb3x2yR78uds,"[u'food', u'point_of_interest', u'establishment']"
0,43.5359889,5.156633,Lerda Karine,ChIJu8jZgEP7yRIRbaDBSON2CIM,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5360269,5.1565206,Fiedler Mikael,ChIJu8jZgEP7yRIRLvKxtCZL8TA,"[u'point_of_interest', u'establishment']"
0,43.5363839,5.1640614,PACA Menuiseries,ChIJkwBzp0D7yRIRHOnn6OMcNac,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5382209,5.1681687,Féraud,ChIJZwlXZj77yRIRgM8KrE-_hv8,"[u'food', u'point_of_interest', u'establishment']"
0,43.54012,5.149659,13680,ChIJCZCj7F37yRIRi5uQAvSGsyM,"[u'point_of_interest', u'establishment']"
0,43.533745,5.166521,Rousset Max,ChIJR2zj4jj7yRIRIO8U93378Mo,"[u'point_of_interest', u'establishment']"
0,43.536743,5.14875,13680,ChIJMeedBFz7yRIRsC05wpE5wzE,"[u'point_of_interest', u'establishment']"
0,43.5371214,5.1823138,Aérodrome de Berre-la-Fare,ChIJdw6eUyH7yRIR8vVJ7KfX3NA,"[u'airport', u'premise', u'point_of_interest', u'establishment']"
0,43.54945,5.175257,Le Moulin d'Hortense Filles & Fils,ChIJ7Y8xTQX7yRIRu8zfw8jHoLY,"[u'point_of_interest', u'establishment']"
0,43.550543,5.178718,Pizza Des Guigues,ChIJVex-lgT7yRIRa3p6pnbcs1o,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5496234,5.1792951,Chateau Virant,ChIJgbDqrgT7yRIR7ifsqRh2RiA,"[u'point_of_interest', u'establishment']"
0,43.548908,5.180883,WORLD'S TENDANCE,ChIJGRXQtRz7yRIR7U_9iO5Vx6A,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.551522,5.1772759,Boukefoussa Nassim,ChIJOV30_gT7yRIRO93kZD6X9vM,"[u'point_of_interest', u'establishment']"
0,43.5504298,5.1783778,Leclerc Charlotte,ChIJLxwMwAT7yRIRbvZ_rqKWdx0,"[u'point_of_interest', u'establishment']"
0,43.5507629,5.1783329,Romero Robert,ChIJGU47twT7yRIRr24NkQqj4hI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5477003,5.1786235,Berganton Bertrand,ChIJcUCgbhv7yRIRTD6HJA1dSzk,"[u'point_of_interest', u'establishment']"
0,43.5471626,5.1787227,Naudot Santi Isabelle,ChIJc7gBdBv7yRIRaN2xD6GEBNU,"[u'point_of_interest', u'establishment']"
0,43.5497032,5.1792378,Maintenay Patrick,ChIJgbDqrgT7yRIRjPqnZykdn9k,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.5497032,5.1792378,Dol Maurice,ChIJgbDqrgT7yRIRdVyyQz410nE,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5488369,5.1793524,Aparicio Faure Brigitte,ChIJWbgxURv7yRIROpJzqP5hSnA,"[u'point_of_interest', u'establishment']"
0,43.5509796,5.1791577,Pundener Jeremy,ChIJ4351kAT7yRIRqqmsEkx0Txo,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.5482693,5.1796158,Michel Patrick,ChIJ7QQ_Xxv7yRIRXbBo8aOOZoY,"[u'point_of_interest', u'establishment']"
0,43.5508382,5.1796528,Robin Fouille,ChIJn1JknQT7yRIRgCoRGFdbVOA,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5525566,5.1790794,Thierry Franco,ChIJK2sCcgT7yRIRefadv5ESvxs,"[u'point_of_interest', u'establishment']"
0,43.5401133,5.1497015,Les Baïsses,ChIJl6iu7F37yRIR6PZMjS7yz-A,"[u'neighborhood', u'political']"
0,43.6007962,5.1771805,Aix en Appartements,ChIJy17c8_ggyhIRNzlnoUD2AtM,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6090526,5.1479341,Relais H,ChIJl6_BCLT-yRIRls9jFVuhaYo,"[u'point_of_interest', u'establishment']"
0,43.609006,5.1478279,Hotel Mercure Lancon,ChIJKXfs5U35yRIRlJqsDSAD6U4,"[u'point_of_interest', u'establishment']"
0,43.5991487,5.180157,Teamzone école de moto trial,ChIJA4pnyn35yRIRfUiqyReH9Sw,"[u'point_of_interest', u'establishment']"
0,43.5966308,5.1366539,School Group Les Pinèdes,ChIJ82C7oBv8yRIRUsvS6TxLSQc,"[u'school', u'point_of_interest', u'establishment']"
0,43.59305,5.135809,SARL VALENTI & Fils,ChIJn8y-XQT8yRIRMGsyDyx8Nss,"[u'painter', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5947005,5.1358716,Capacy,ChIJvR56hgP8yRIRVXB1jdCc9lk,"[u'point_of_interest', u'establishment']"
0,43.598321,5.135044,Office National des Forêts,ChIJmeSzjgL8yRIRBn6ez1LKL6g,"[u'point_of_interest', u'establishment']"
0,43.594834,5.132401,Total Raffinage Marketing,ChIJMaGwrhz8yRIRvzfjQnRy5s4,"[u'point_of_interest', u'establishment']"
0,43.594834,5.132401,Total France,ChIJRRO6rhz8yRIRmW89evMfjms,"[u'point_of_interest', u'establishment']"
0,43.5927048,5.1320223,Jardin Passion Service,ChIJw-zfOhv8yRIR_OZSNAwNoLo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5981,5.132095,BULLE D'INSTANT,ChIJu_UHOB38yRIRRNb_dPWzYoc,"[u'point_of_interest', u'establishment']"
0,43.593154,5.130131,Creche Municipale les Pinsons,ChIJ82C7oBv8yRIRytoIDvFfKmc,"[u'point_of_interest', u'establishment']"
0,43.5902315,5.1905948,Aire de Lançon-Provence,ChIJ3bv0xC36yRIRwikuqV3W4-4,"[u'point_of_interest', u'establishment']"
0,43.5893468,5.190051,Quick,ChIJU1mVxt77yRIRCA0iHxrYLa4,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.589888,5.193457,Station-service TOTAL,ChIJKXfs5U35yRIRADZOKUu2kWo,"[u'gas_station', u'car_repair', u'point_of_interest', u'establishment']"
0,43.588845,5.189965,13680,ChIJkYLL2S36yRIR1PmswEDRWVE,"[u'point_of_interest', u'establishment']"
0,43.58962,5.190091,Relay,ChIJFw6PKiz6yRIRExqBtLWlqOc,"[u'food', u'point_of_interest', u'establishment']"
0,43.589668,5.19007,Hippopotamus,ChIJYcVmKiz6yRIR_sBS_UTC9Mg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.590109,5.190582,Paul (extérieur),ChIJnwwwmy76yRIR5AS8Ai5r1AM,"[u'cafe', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.590041,5.192129,Arche Cafétéria,ChIJG5xa5S76yRIRtXMO_h42aJU,"[u'point_of_interest', u'establishment']"
0,43.589298,5.12726,Pharmacie Lançonnaise,ChIJFys5Wxf8yRIRtEToTDfdeSU,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.586123,5.1287423,Batimax Cheylan,ChIJbSqtQRH8yRIRqsO27XO-1QM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5873692,5.1253589,Piscines Waterair,ChIJo7vk-xb8yRIR4qro0y0g_rM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5873692,5.1253589,ATCM Assist Tech Construc Materiaux,ChIJo7vk-xb8yRIRptUVWh0vMyU,"[u'point_of_interest', u'establishment']"
