,Latitude,Longitude,Name,Place_id,Type
0,43.66283,5.435206,Le Puy-Sainte-Réparade,ChIJbyvplnyKyRIRkACX_aUZCAQ,"[u'locality', u'political']"
0,43.6558445,5.4397246,Assur Plus,ChIJtXYzPnyKyRIR_iXQTU91qGo,"[u'insurance_agency', u'health', u'point_of_interest', u'establishment']"
0,43.649724,5.44022,Aix Outre Mer,ChIJ_dEkdmOKyRIRbUgDn_eSPes,"[u'point_of_interest', u'establishment']"
0,43.649724,5.44022,E B P Terrassement,ChIJMyU7dmOKyRIR0jugXAKaPK4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.649724,5.44022,Renov'Habitat,ChIJ_dEkdmOKyRIRPdwJrf1qPjE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.647748,5.440129,Chapelle Sainte-Réparade,ChIJI6TU5WOKyRIRzkfOvuN-Vc0,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6559276,5.4397721,Busselier,ChIJtXYzPnyKyRIRImNy1T6ahtQ,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.650256,5.4291236,"553, chemin de la gardure - La Cride - 13610 Le Puy-Sainte-Réparade",ChIJ-zAyHo-KyRIRPjdEvJ4WLSM,"[u'point_of_interest', u'establishment']"
0,43.6594421,5.4356888,Monrose Jerome Jacques Yves,ChIJgyT5BX2KyRIRnR0Hlz4m8gk,"[u'point_of_interest', u'establishment']"
0,43.6594168,5.4355695,CCCP Collecte Courrier Colis Paquet,ChIJT2CHgICKyRIRwaAM12JcPXA,"[u'point_of_interest', u'establishment']"
0,43.6595369,5.4356505,Moutach Christine,ChIJwY03foCKyRIRHXP_j0THaLY,"[u'point_of_interest', u'establishment']"
0,43.6595369,5.4356505,Protect Forest Systems,ChIJwY03foCKyRIRbij_opIivG8,"[u'point_of_interest', u'establishment']"
0,43.6599953,5.4432974,Teillerie Jacques,ChIJp8L083iKyRIRFRanjYgYytQ,"[u'point_of_interest', u'establishment']"
0,43.648198,5.435094,Le Vieux Village,ChIJ0dbG74mKyRIRKcD5nl8Dq78,"[u'premise', u'point_of_interest', u'establishment']"
0,43.635912,5.445195,Campagne le Bec,ChIJe4tKPFuKyRIRp1dJsIMlGSE,"[u'lodging', u'point_of_interest', u'establishment']"
