,Latitude,Longitude,Name,Place_id,Type
0,43.369912,5.252998,Le Rove,ChIJI_rKTJ7CyRIREACX_aUZCAQ,"[u'locality', u'political']"
0,43.36657,5.241507,L'Olivier,ChIJY69GURzoyRIREV65OJMzcz8,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.3696783,5.2513118,Mairie,ChIJqz7KzyPoyRIR7GhnuiDkjSE,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3685146,5.25144,L'instant,ChIJ87GX2CPoyRIRRk6N-6xfSzE,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.3684637,5.2515936,Laboratoire de biologie médicale ANALYS,ChIJhwKoACToyRIRfn2ysyL2kQQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.367199,5.246143,Decopro,ChIJJeQhah_oyRIRlu1vtIqx3bo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3696673,5.2507469,La Poste,ChIJ6d-ZFyLoyRIRLfsfjSORl-k,"[u'point_of_interest', u'establishment']"
0,43.367447,5.251925,Milddream Cigarettes Electroniques Le Rove,ChIJCxpXRCHoyRIRRQXLJyD-gd0,"[u'store', u'point_of_interest', u'establishment']"
0,43.3669226,5.2496007,Résidalya Le Rove,ChIJl1jFtSPoyRIR1t3L0nUyk8g,"[u'health', u'point_of_interest', u'establishment']"
0,43.3673538,5.24964,HOME BUILDER,ChIJaZeZmSHoyRIReuHYFwuoo0g,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3684665,5.2516929,"L'effet Beauté (Onglerie, Salon de Beauté, Uv)",ChIJ7SVj4CPoyRIRbtxtqE5cD8c,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.3684665,5.2516929,Pharmacie du Rove,ChIJWzbc5iPoyRIRNt8ogZDSt7s,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.367367,5.249165,HOME BUILDER,ChIJez2-QjPnyRIRta0miA3oYig,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3689901,5.2506319,Town Hall,ChIJl4pRziPoyRIRwNWcCoaJlb0,"[u'school', u'point_of_interest', u'establishment']"
0,43.3689901,5.2506319,Mairie - police municipale,ChIJl4pRziPoyRIRhZgCckLid3A,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3708939,5.2531551,Hauwelle Christian,ChIJB_iQhiToyRIREIlXk1WBAos,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.36525,5.245263,C3R,ChIJxb7isx_oyRIR5zfX8pDiGoQ,"[u'point_of_interest', u'establishment']"
0,43.3698112,5.2545362,La Maison Bleue,ChIJCabnRCToyRIREZr8aPtpSUU,"[u'point_of_interest', u'establishment']"
0,43.3699643,5.2510501,Jdg Immo-centre Immobilier,ChIJRX0UuyPoyRIRkmd6_d9Jadk,"[u'point_of_interest', u'establishment']"
