,Latitude,Longitude,Name,Place_id,Type
0,43.521487,5.512822,Le Tholonet,ChIJTWEEQjaOyRIR-c-wm2pWcE8,"[u'locality', u'political']"
0,43.522035,5.501665,Les Lodges Sainte Victoire,ChIJS2uOXjaOyRIRp-qfZ8860Fc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.522734,5.512583,Cemagref,ChIJwbTMRzaOyRIRQHuqwt2BzlM,"[u'point_of_interest', u'establishment']"
0,43.520088,5.508978,Société du Canal de Provence - Comptoir du matériel,ChIJl4l_JD-OyRIRqhZc3ctgc2E,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.521073,5.511187,Chez thomé,ChIJSzn22jCOyRIRJlWjASN5VCs,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.521581,5.511696,Le Relais Cezanne,ChIJTyD_ShSOyRIR0nEmrGVpWvM,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.521897,5.511195,La Bastide la Croix,ChIJH6LUpzeOyRIRS7ztojhz7tY,"[u'point_of_interest', u'establishment']"
0,43.524283,5.509332,Société du Canal de Provence (SCP),ChIJ6cdNITiOyRIRFQi4R5nqxP8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.521684,5.512302,Mairie du Tholonet,ChIJRdSdZBGOyRIR3OseD_t9xlk,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5169631,5.502513,Cesi,ChIJyzfs8zyOyRIRJPnrSWF7Lsw,"[u'point_of_interest', u'establishment']"
0,43.5169631,5.502513,Eco-Emballages - Région Sud-Est,ChIJyzfs8zyOyRIRMuBTgJ8LlNM,"[u'point_of_interest', u'establishment']"
0,43.520104,5.5089676,Comptoir du matériel - SCP,ChIJwxFF4zmOyRIRMQfQ6WNkEBI,"[u'point_of_interest', u'establishment']"
0,43.5227477,5.5125339,Irstea,ChIJ2zRCpDWOyRIRVsPlV9fNMMw,"[u'point_of_interest', u'establishment']"
0,43.52196,5.51132,Netafim France,ChIJ0U7TpzeOyRIRFDRa5jif6DM,"[u'point_of_interest', u'establishment']"
0,43.5183994,5.5045395,Tennis Club du Tholonet,ChIJLRYUjTuOyRIRqbgaZu7YAng,"[u'point_of_interest', u'establishment']"
0,43.5169631,5.502513,Association Bâtiments Durables Méditerranéens,ChIJyzfs8zyOyRIRyWKd9eFQ7Aw,"[u'point_of_interest', u'establishment']"
0,43.52196,5.51132,La Jardinière,ChIJ0U7TpzeOyRIR4LSqsMNYwlM,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5225887,5.5030185,Ortec Meca,ChIJl4l_JD-OyRIR-RxoecDzxlQ,"[u'point_of_interest', u'establishment']"
0,43.52196,5.51132,Comasud,ChIJ0U7TpzeOyRIRA0Ws391bz90,"[u'store', u'point_of_interest', u'establishment']"
0,43.518236,5.508711,Les Pins,ChIJCVnFcjqOyRIRrTHRX9lbx9g,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.486821,5.495122,Meyreuil,ChIJtX1x-r-RyRIRS7vw_1rOjWI,"[u'locality', u'political']"
0,43.504,5.5098,Station B.a.c.a Sarl,ChIJ6f9b8teRyRIRJ9t1vtM-EGU,"[u'point_of_interest', u'establishment']"
0,43.5030379,5.5081634,EUROSTEO,ChIJgXG8NtiRyRIR5Q_lDXzlaDY,"[u'point_of_interest', u'establishment']"
0,43.509453,5.502407,Dégriff'Stock,ChIJ7SRfqh6OyRIREHcYOnO3nes,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.50936,5.49762,Lidl,ChIJZ2CqQR-OyRIRORFFic2bA6M,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.512783,5.512172,Château Crémade,ChIJ92nnTS6OyRIRAnnyw6tj6uU,"[u'food', u'point_of_interest', u'establishment']"
0,43.508582,5.5020959,MDA Electroménager,ChIJcQeWDumSyRIRdSDO2Pnjrm0,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5082012,5.498818,Fitnessboutique Aix-en-Provence,ChIJYYGaNxyOyRIRgeoMEo7-DAw,"[u'store', u'point_of_interest', u'establishment']"
0,43.511355,5.511086,Latina Way,ChIJY4Hg7dWPyRIRRSyCXpl3lx8,"[u'point_of_interest', u'establishment']"
0,43.5082012,5.498818,Bose Palette - Aix-en-Provence (ASC Multimédia),ChIJCSXCfx-OyRIRZuHkwZQlwek,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.513482,5.503968,772424.com - Hébergement e-commerce Prestashop / Magento,ChIJJWPdYSOOyRIRhN1CnroXH6I,"[u'point_of_interest', u'establishment']"
