,Latitude,Longitude,Name,Place_id,Type
0,43.743887,4.795495,Les Baux-de-Provence,ChIJIbJq2F3htRIR4ASX_aUZCAQ,"[u'locality', u'political']"
0,43.744818,4.799613,LE MAS D'AIGRET,ChIJ3TmpF2nhtRIRDLhJ-FWeex0,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.745458,4.795183,Restaurant l'Oustau de Baumanière,ChIJH_doE0LhtRIROj436AJRQ-k,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7450618,4.7955215,Les Baux-de-Provence - Office de Tourisme,ChIJG5_q_mvhtRIRgtL5J6OVSO8,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.743446,4.795241,Le Prince Noir,ChIJ380sUWnhtRIRyH7mKjsxnCc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7432834,4.7947896,La Boutique de Provence,ChIJw6wJ4mvhtRIReZYNAMr71L0,"[u'grocery_or_supermarket', u'health', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.749239,4.7965223,Carrières de Lumières,ChIJT-JraULhtRIRPw2LfSB5Bq0,"[u'point_of_interest', u'establishment']"
0,43.7443575,4.7966856,Château des Baux de Provence,ChIJj5yaF2nhtRIRWi7hirpayzQ,"[u'point_of_interest', u'establishment']"
0,43.7448594,4.7952611,Hostellerie de la Reine-Jeanne,ChIJz__B_mvhtRIRBrXGhz81cto,"[u'bar', u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.743312,4.794811,La Benvengudo Bastide des Baux Les Baux de Provence,ChIJOZzq_mvhtRIRmcez-0UVXac,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7446773,4.7949421,Musée des Santons,ChIJG5_q_mvhtRIRu57RKNNXQ7A,"[u'museum', u'point_of_interest', u'establishment']"
0,43.7443205,4.7952755,Fondation Louis Jou des Baux-de-Provence,ChIJBTx1X2nhtRIRjEbAnmupHiM,"[u'museum', u'point_of_interest', u'establishment']"
0,43.7435466,4.7942846,Eglise Saint Vincent,ChIJjVtq8GvhtRIRTPr-gv-epH4,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.739823,4.8056723,Mas Sainte Berthe,ChIJz__B_mvhtRIRec8Vmv8EJZM,"[u'food', u'point_of_interest', u'establishment']"
0,43.743681,4.794468,Musée Yves Brayer,ChIJVcO2-mvhtRIRBfmEOvhIJFM,"[u'museum', u'point_of_interest', u'establishment']"
0,43.7443205,4.7952755,Culturespaces,ChIJBTx1X2nhtRIRap3WmrZu5P4,"[u'museum', u'point_of_interest', u'establishment']"
0,43.7443205,4.7952755,Mairie,ChIJw6wJ4mvhtRIRn-wGev5E_PY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.746994,4.795187,Vin l'Affectif,ChIJqyR79mnhtRIRtMPbXEBVjhA,"[u'food', u'point_of_interest', u'establishment']"
0,43.7434125,4.7954334,Santons Peyron Campagna,ChIJl-AsUWnhtRIRAmkE00TPRiw,"[u'point_of_interest', u'establishment']"
0,43.743305,4.7948,L'Epicerie des Baux,ChIJ-X_B_mvhtRIRpczznmALmUU,"[u'bakery', u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.743305,4.7948,AFP,ChIJt-FM4z3htRIRHxgDBG0bpPY,"[u'health', u'point_of_interest', u'establishment']"
0,43.7434219,4.7954596,Hajosi Benoit,ChIJ380sUWnhtRIRu0IfoHTgBgU,"[u'point_of_interest', u'establishment']"
0,43.74419,4.795276,Lin Paradise Maloka,ChIJbbVAXmnhtRIR0MveKe8tmnk,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.7445234,4.7948251,SOULEIADO,ChIJ580932vhtRIRuySLb2oQAFg,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.7432171,4.7946647,Café des Baux,ChIJeVAG-WvhtRIRQmP8UfVd6g0,"[u'cafe', u'food', u'point_of_interest', u'establishment']"
0,43.743305,4.7948,Price David,ChIJ-X_B_mvhtRIRfk0vNloy91Y,"[u'point_of_interest', u'establishment']"
0,43.7439333,4.7950446,Brossier Gerard,ChIJw6wJ4mvhtRIRj8BG5bNs7R4,"[u'painter', u'point_of_interest', u'establishment']"
0,43.7434828,4.7949905,Provence Création,ChIJf8HTV2nhtRIRaM-_j1AIJqg,"[u'department_store', u'store', u'point_of_interest', u'establishment']"
0,43.743576,4.795494,SFR,ChIJGZftUGnhtRIR2vnzzSxIR_s,"[u'store', u'point_of_interest', u'establishment']"
0,43.7440145,4.7951326,Le Tisserand,ChIJqUqRYGnhtRIRpoj00rLbJcU,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7434828,4.7949905,Lou Cigaloun,ChIJf8HTV2nhtRIRWBAe_Z3_slE,"[u'department_store', u'store', u'point_of_interest', u'establishment']"
0,43.743305,4.7948,Town Les Baux De Provence,ChIJnQrB_mvhtRIRlDlVWYPnfpQ,"[u'school', u'point_of_interest', u'establishment']"
0,43.743305,4.7948,Golf des Baux de Provence,ChIJnQrB_mvhtRIR5WEnDfQ_4II,"[u'point_of_interest', u'establishment']"
0,43.743305,4.7948,Cathédrale d'Images,ChIJnQrB_mvhtRIRahU541stLjo,"[u'point_of_interest', u'establishment']"
