,Latitude,Longitude,Name,Place_id,Type
0,43.832349,4.782098,Maillane,ChIJy6XaOzvmtRIRkboPmypRras,"[u'locality', u'political']"
0,43.8188116,4.7867802,Stade Maillanais,ChIJRz2ZyEPmtRIR4-S4E-t3SCU,"[u'point_of_interest', u'establishment']"
0,43.8188379,4.786661,Mairie,ChIJRz2ZyEPmtRIRuN5ummb1vvk,"[u'point_of_interest', u'establishment']"
0,43.822539,4.79241,Crouzet David,ChIJ14RO_WrmtRIRKFOVgGCMkV8,"[u'food', u'point_of_interest', u'establishment']"
0,43.8298276,4.781152,Menuiserie Dagon,ChIJJyEzJDrmtRIRU2aS_N_eUTI,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.831335,4.782403,Restaurant L'Oustalet Maianen,ChIJYfIYrjvmtRIRc7QSGbmel0Q,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8314126,4.7827154,Musée Frédéric Mistral,ChIJA0kttzvmtRIRMb111pyoOL0,"[u'point_of_interest', u'establishment']"
0,43.8264669,4.7732655,Société Pipeline Méditerranée Rhône,ChIJo4v6wDXmtRIRUQxWj5RUMSc,"[u'point_of_interest', u'establishment']"
0,43.8317437,4.7825037,Mairie,ChIJdxZzqTvmtRIRvaxiF5nl02U,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.820783,4.780612,Alexandre Le Danvic,ChIJib3teUDktRIR-FvIuYk-WPA,"[u'painter', u'point_of_interest', u'establishment']"
0,43.8188116,4.7867802,S.n.d.g,ChIJRz2ZyEPmtRIRBz8rj7FD1Po,"[u'point_of_interest', u'establishment']"
0,43.8188116,4.7867802,Sarl Riousset,ChIJRz2ZyEPmtRIRQ2JYVSFbnuM,"[u'food', u'point_of_interest', u'establishment']"
0,43.8188116,4.7867802,Yvan Christian Marie Pierre,ChIJRz2ZyEPmtRIRdKGub6HL0H4,"[u'point_of_interest', u'establishment']"
0,43.8188116,4.7867802,Gaffet Olivier,ChIJRz2ZyEPmtRIRPNYACYaXjWM,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.8188116,4.7867802,Merlos David Andre,ChIJRz2ZyEPmtRIRFgRF71qd-k4,"[u'point_of_interest', u'establishment']"
0,43.823814,4.792463,Le Mas de Mouret,ChIJi9Xh12rmtRIRwDIF_LKMw3o,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.829109,4.780533,chambres d'hotes belleviste,ChIJn5A88jnmtRIRSMLqmqWz8Cc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.830722,4.7861713,Tornier Chavenon Virginie Corinne,ChIJHQMCQTzmtRIRooAZ_9ie3U4,"[u'point_of_interest', u'establishment']"
0,43.8310236,4.7824737,Hoirie Cyprien Simian,ChIJ7R1qzzvmtRIR8Lpco72QCCQ,"[u'point_of_interest', u'establishment']"
0,43.829926,4.7778524,Voinier Marc,ChIJLTxuzDDmtRIRr7JgF5HbY_M,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.788652,4.831343,Saint-Rémy-de-Provence,ChIJ80hgrDHktRIR3XcOUlvR8rU,"[u'locality', u'political']"
0,43.8077771,4.7872354,Manade Caillan,ChIJt1LFqV_mtRIRGkTmeHKXHT0,"[u'point_of_interest', u'establishment']"
0,43.8340398,4.7804677,Mas à l’Improviste,ChIJqy9MsTrmtRIRFR_ua0NCEF4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8321668,4.7817657,Mairie,ChIJ6fF6qTvmtRIRaCeyxl5QJ5Q,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8334871,4.7824061,La Casa Pizza,ChIJAQF2HDvmtRIR-epiJCiNMfA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8323297,4.782266,Le Bureau D Adresses,ChIJ-7-0AzvmtRIRUmnw0nGVHBI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.832112,4.7791651,School Frédéric Mistral,ChIJ9UTKfTDmtRIRGombtMtFYHM,"[u'school', u'point_of_interest', u'establishment']"
0,43.8325528,4.782607,Pharmacie de Maillane,ChIJZ7mVEjvmtRIRRWkcJsnUA74,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.834234,4.78062,Le platane,ChIJhTaGvjrmtRIR5YN2vuJ86w8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8333793,4.7856376,Betech SARL,ChIJu819UiPmtRIRSV_wrXEwEHQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8326356,4.7786503,Clé Tech,ChIJmzACYjDmtRIRMZp9CyZNO7c,"[u'point_of_interest', u'establishment']"
0,43.831397,4.778557,EURL Heurtaux Thomas Electricité Générale,ChIJVZMAjDDmtRIRStjosCcLhD0,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.832248,4.784948,Makars Nathalie,ChIJPy_PJjvmtRIRAg8zjXY0Bxs,"[u'point_of_interest', u'establishment']"
0,43.8322417,4.7824511,PLOMBIÊR Marc,ChIJEzsEBDvmtRIR889uqwc2Po0,"[u'point_of_interest', u'establishment']"
0,43.832815,4.7826967,L' univers de Naille,ChIJU-z2GTvmtRIRQP8sLDuVsCo,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.8317808,4.780405,Private School Notre Dame De Grâce,ChIJM9d3ZDrmtRIRxJF08m9S8pw,"[u'school', u'point_of_interest', u'establishment']"
0,43.8531509,4.769296,Graveson,ChIJkVZLW33otRIRwAKX_aUZCAQ,"[u'locality', u'political']"
0,43.823431,4.7988424,Emballages Lambert,ChIJa6uncZ3ptRIRjuOufutrF3g,"[u'point_of_interest', u'establishment']"
0,43.8237295,4.7977854,Association Admr Des Jeunes Pousses,ChIJ9aimKW3mtRIRjXgFtUqlfec,"[u'point_of_interest', u'establishment']"
0,43.8190854,4.8029783,NSE,ChIJoaxWkG7mtRIRpapChjEqxbI,"[u'point_of_interest', u'establishment']"
0,43.818523,4.803965,Alltex,ChIJOQ0zanHmtRIRXwS1EPXm_SA,"[u'point_of_interest', u'establishment']"
0,43.8237295,4.7977854,Ital Bains,ChIJ9aimKW3mtRIRtuBXM-jPwN0,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8237295,4.7977854,Vulpian Sophie,ChIJ9aimKW3mtRIR2vX_e-7DZZE,"[u'point_of_interest', u'establishment']"
0,43.823431,4.798842,1.6Te,ChIJlzxUOG3mtRIRlH6JIB-E-xg,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.823431,4.7988424,Dayre Bouisson Rose,ChIJlzxUOG3mtRIRYuJQkPqvmv8,"[u'food', u'point_of_interest', u'establishment']"
0,43.823431,4.7988424,Societe Nutrition Animale,ChIJlzxUOG3mtRIRoMCKNC-VXsE,"[u'point_of_interest', u'establishment']"
0,43.823431,4.7988424,Martelli Milhaud Margaret,ChIJlzxUOG3mtRIRF7k86wH47rM,"[u'store', u'point_of_interest', u'establishment']"
0,43.823431,4.7988424,Etudelec,ChIJlzxUOG3mtRIR7dH8yExL1Xo,"[u'point_of_interest', u'establishment']"
0,43.823431,4.7988424,Julliard Firmin Helene Louise Michel,ChIJd_6ZjDvmtRIRh_-tePMArEc,"[u'food', u'point_of_interest', u'establishment']"
0,43.8263488,4.7976587,VALOREX sarl,ChIJvUjH_xLmtRIR3vbjhgO1AVk,"[u'food', u'point_of_interest', u'establishment']"
0,43.8317484,4.7763813,Com and Color Sarl,ChIJzTnKwDHmtRIRR1NRzLUMcsw,"[u'point_of_interest', u'establishment']"
