,Latitude,Longitude,Name,Place_id,Type
0,43.731567,5.1805389,Mallemort,ChIJ5eP4cQoDyhIRQAKX_aUZCAQ,"[u'locality', u'political']"
0,43.7315932,5.1798934,La Maison du Peintre en Provence,ChIJWUSBUp8DyhIRZqf4Tv-avBk,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7301661,5.1772296,Le Jardin ...,ChIJ85oWYaIDyhIRMyJ7_0eFH-0,"[u'cafe', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7294933,5.1799492,Caisse d'Epargne Mallemort,ChIJs2W1iKEDyhIRTk0Dr4_RdJ4,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.731567,5.180538,Hameau Des Oliviers,ChIJ588eW58DyhIRqzfyIWPvSJw,"[u'city_hall', u'local_government_office', u'lodging', u'point_of_interest', u'establishment']"
0,43.725118,5.177779,Badminton Club de Mallemort,ChIJWQ42v6MDyhIRRMPL9XEsHdk,"[u'point_of_interest', u'establishment']"
0,43.7312,5.18073,EDF,ChIJ6WzYXp8DyhIRhFhDzAzL7XQ,"[u'point_of_interest', u'establishment']"
0,43.7294455,5.1779002,Middle School Colline Durance,ChIJo3mDT6IDyhIRta4Ju6DSKnY,"[u'school', u'point_of_interest', u'establishment']"
0,43.7292277,5.1770842,Brindille Fleurs,ChIJIe7BWaIDyhIRsbMcw1Yi2AM,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.730806,5.18077,Auberge du Vieux Village,ChIJBbBl4aEDyhIR0vF85e-03RQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7282928,5.177999,Immobilier Mallemort,ChIJ9dd4t6MDyhIRC43es65sEFM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.729265,5.1779162,Sarl Mar'Immo Lisa,ChIJBTFuUKIDyhIRZB9Fw3C4HGQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7293855,5.177386,Cafe de la Poste,ChIJzSihUKIDyhIRgyxGIAK7YyU,"[u'cafe', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7287114,5.1800791,Mairie,ChIJTcrBq5cDyhIRnjILw1bzOjc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7291025,5.1791423,Immobiliere Diffusion,ChIJSUpILqIDyhIRhtiMZtaJfGg,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.729202,5.17696,La Cigale,ChIJUymhUKIDyhIRyyfmWfi2oG8,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7298277,5.1770631,Office du Tourisme,ChIJTcrBq5cDyhIRqANoWYjFa6w,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.731567,5.180538,Le Comptoir des Vins,ChIJ588eW58DyhIRG2HDLNQVEvU,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7239857,5.1800277,Mallemort,ChIJq10Zh6YDyhIR9o5K_kdQUsw,"[u'point_of_interest', u'establishment']"
0,43.755673,5.202391,Mérindol,ChIJpSQWyYsEyhIRgMKP_aUZCAQ,"[u'locality', u'political']"
0,43.713206,5.188358,La Bastide de Pont Royal,ChIJFdlSugEDyhIRW2fOPQjQtCY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.713915,5.184798,CHATEAU PONT ROYAL RECEPTIONS,ChIJQwSYgaoDyhIR61DB6ODR8r4,"[u'point_of_interest', u'establishment']"
0,43.7239857,5.1800277,Mallemort Tennis Club,ChIJq10Zh6YDyhIReAahL9_Px44,"[u'point_of_interest', u'establishment']"
0,43.7239857,5.1800277,Town De Mallemort,ChIJq10Zh6YDyhIR-mIpfEaP6zY,"[u'city_hall', u'local_government_office', u'school', u'point_of_interest', u'establishment']"
0,43.7205119,5.1776708,Pom Alliance Ile de France,ChIJZQ76Sp8DyhIRBHNWo16SagE,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7235623,5.1797807,Assurance AXA M FARRO DIMITRI,ChIJr6fbW6IDyhIRBGvCf5RQqRo,"[u'insurance_agency', u'bank', u'health', u'finance', u'point_of_interest', u'establishment']"
0,43.7239035,5.1800165,Autosecuritas controle technique securite adherent,ChIJk8Vch6YDyhIR71_OofnCCHI,"[u'point_of_interest', u'establishment']"
0,43.7194959,5.1906963,Chatelan Antiquites,ChIJ6WzYXp8DyhIRTL6mYhzmAcU,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7239857,5.1800277,Attitude Dance School,ChIJq10Zh6YDyhIRdzd5JzUT1Us,"[u'point_of_interest', u'establishment']"
0,43.7207223,5.1776887,pom'Alliance,ChIJXZ0ecq8DyhIR-0XEJKcPD1g,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.715285,5.185366,PROTECHNIQUE,ChIJITybmAADyhIR_Dmxzvh6FYk,"[u'point_of_interest', u'establishment']"
0,43.7234458,5.179295,Gendarmerie Nationale,ChIJq10Zh6YDyhIRz6uk7CoS0sE,"[u'point_of_interest', u'establishment']"
0,43.7249547,5.1852119,"ABC CULINAIRE, l'abécédaire",ChIJ62fI4AkDyhIRQSFyTp_c21w,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7142545,5.1857009,EARL Les champs de la Durance Pascal AVIGNON,ChIJFT_4iAADyhIRJhbub9bexls,"[u'food', u'point_of_interest', u'establishment']"
0,43.725465,5.184636,"India création I Agence communication Globale, Impression, Web Design",ChIJ588eW58DyhIRtYvSsAX46io,"[u'store', u'point_of_interest', u'establishment']"
0,43.725558,5.180112,Mairie,ChIJiZvKpaYDyhIR1kwEgpLZcG8,"[u'point_of_interest', u'establishment']"
0,43.703713,5.161234,Alleins,ChIJrfAxsTACyhIRjWNQgBC6SQ4,"[u'locality', u'political']"
0,43.730003,5.19429,SAS MEDESHOP,ChIJAzUfSQ0DyhIRLa_6KPwUN4o,"[u'store', u'point_of_interest', u'establishment']"
0,43.7264629,5.1854461,D Liss B Eurl,ChIJe5YcqKADyhIRGKKs46eViMA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7268878,5.1824474,Vivons Ensemble,ChIJWf-i2aADyhIRpVjV3d9jGuk,"[u'point_of_interest', u'establishment']"
