,Latitude,Longitude,Name,Place_id,Type
0,43.4212739,5.218332,Marignane,ChIJz2Y1kSLmyRIRMAKX_aUZCAQ,"[u'locality', u'political']"
0,43.417049,5.2162608,Crédit Mutuel,ChIJ7WuzTDvmyRIREVuVC2k_YO4,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4169525,5.2162492,Société Générale,ChIJnVa_tCTmyRIROGNJ2yOVzks,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4145817,5.2139701,Home Le,ChIJ4UvtWjvmyRIRxxwjiP5s3KM,"[u'store', u'point_of_interest', u'establishment']"
0,43.4178408,5.216817,Chamajesté,ChIJnaUjqCTmyRIR8Oeh6NVMov0,"[u'pet_store', u'zoo', u'store', u'point_of_interest', u'establishment']"
0,43.4178144,5.2141277,LCL - Le Crédit Lyonnais,ChIJUb3rfDvmyRIRgOIEfQcyiek,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.416531,5.2137916,Le Mekong,ChIJEyhhBDvmyRIRZx8WxrnL6Lw,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.4111676,5.2088282,E.Leclerc Marignane,ChIJ6RIDdS_myRIRVq2njdk4eiw,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4113062,5.2191449,Auto Bilan Du 8 Mai,ChIJt6AvDy_myRIRBCUoFOPOO0s,"[u'point_of_interest', u'establishment']"
0,43.414438,5.2064593,CPAM des Bouches-du-Rhône / Marignane,ChIJ08Q4CTjmyRIRyfW99V7K9OI,"[u'point_of_interest', u'establishment']"
0,43.410844,5.205134,Middle School Georges Brassens,ChIJF0oTEUjmyRIRL5FF93zLUUs,"[u'school', u'point_of_interest', u'establishment']"
0,43.4184231,5.2142703,Saint Algue,ChIJ5wRfhDzmyRIRS6sElzGuL9U,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.4170872,5.215754,Mairie de Marignane,ChIJNxyKizvmyRIRzyLkAdPd0UY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4209779,5.2065874,Mairie Service des Sports,ChIJ62cpu0DmyRIRKERpeKMSR9I,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4181873,5.2174039,BNP Paribas - Marignane,ChIJn24lUTvmyRIRI5P2OK_P6W4,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4176792,5.2155828,MAGASIN BOUYGUES TELECOM Fermé - MARIGNANE,ChIJc0mlUDvmyRIRa3MI5nZ1cog,"[u'store', u'point_of_interest', u'establishment']"
0,43.420868,5.220288,Somatrim,ChIJlX3dIiLmyRIRbAgso3zv42Q,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4132531,5.2052084,Lycée Maurice Genevoix,ChIJF0oTEUjmyRIRXLegXO3yAQg,"[u'school', u'point_of_interest', u'establishment']"
0,43.4171543,5.2142663,Marylin Création,ChIJLbRVbjvmyRIRnoTq7iLU7Rw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.419799,5.206906,Les Rascas,ChIJn-iYaz_myRIRZc6jbqByRbY,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.4063454,5.2037993,Troc.com Marignane,ChIJ5UIc5ErmyRIRGtgsVivH2FY,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.409428,5.214729,Clinique de Marignane,ChIJp08VmzHmyRIRGlerRDoVZ0U,"[u'health', u'point_of_interest', u'establishment']"
0,43.4123847,5.2189792,Commissariat de Police,ChIJ6RIDdS_myRIReWpvAlveWC4,"[u'police', u'point_of_interest', u'establishment']"
0,43.412034,5.219439,Carnivor Boucherie MARIGNANE (13700),ChIJW415-zDmyRIRdLIfATdZ5q8,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4064337,5.2029647,Curves,ChIJZXzXAEvmyRIRWFqxk1WBtuk,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.410989,5.217134,Matmut,ChIJvZcBLDDmyRIRK7yLWugOZM8,"[u'point_of_interest', u'establishment']"
0,43.4064337,5.2029647,OKA DANCE,ChIJW_TKqUvmyRIRwnbZn1vQJ9g,"[u'point_of_interest', u'establishment']"
