,Latitude,Longitude,Name,Place_id,Type
0,43.296482,5.36978,Marseille,ChIJM1PaREO_yRIRIAKX_aUZCAQ,"[u'locality', u'political']"
0,43.3520679,5.4385187,Hôtel l'Oustau,ChIJ_8Ftqiu-yRIRalv6peafu4U,"[u'point_of_interest', u'establishment']"
0,43.3514072,5.4313024,La Bastide de l'Etoile,ChIJ_Uz3F9S_yRIRGcV_jB6k5yU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.3522577,5.4388384,Musée du Terroir Marseillais,ChIJSdCUrCu-yRIRwrWeEAuiqs8,"[u'museum', u'point_of_interest', u'establishment']"
0,43.3425025,5.4371522,École centrale de Marseille,ChIJ0bU3KDO-yRIRY8LsLGpoBpA,"[u'university', u'point_of_interest', u'establishment']"
0,43.3512892,5.4408298,RS Concept,ChIJldIQ2Su-yRIRlDoBb-hOPJc,"[u'point_of_interest', u'establishment']"
0,43.3519032,5.4367452,Century21 Immo Conseil,ChIJ7TOLLyu-yRIRjfcHo8VNZxE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.344335,5.4282618,Tennis-Club De Château Gombert,ChIJG4tXxc2_yRIRsVdPnsSxdpA,"[u'health', u'point_of_interest', u'establishment']"
0,43.3552642,5.429715,Nursing Home La Loubière,ChIJqWd72dW_yRIRyVA380SrTjc,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.3518271,5.43793,Crédit Agricole Alpes Provence,ChIJU38zBCu-yRIR_pwKftFVxNU,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3457051,5.4310474,SUPINFO Marseille,ChIJAX5jS8y_yRIR_JwnYx5bOtk,"[u'university', u'point_of_interest', u'establishment']"
0,43.3526103,5.4376848,Post Office,ChIJB0EQHCu-yRIRw98WnT3SihY,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.355183,5.426135,Restaurant au Chabrot,ChIJ9dDu49e_yRIRUm72b6svSgk,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.3458216,5.4249325,Spa Morgan Esthétique,ChIJ0f0Xrdq_yRIRj6xqn5izoA4,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.3460228,5.4356963,ATEMIS Technologies SARL,ChIJTSwMSM2_yRIROCu4_wP9pwA,"[u'point_of_interest', u'establishment']"
0,43.352011,5.441499,Gedimat Barthelemy,ChIJS_ANfym-yRIRKCH6jbBu4vs,"[u'store', u'point_of_interest', u'establishment']"
0,43.3426679,5.4343935,Centre D'affaires Marseille Technopole Chateau Gombert,ChIJKax4Gc2_yRIRUpQsGCHGTTU,"[u'point_of_interest', u'establishment']"
