,Latitude,Longitude,Name,Place_id,Type
0,43.404811,5.053728,Martigues,ChIJSdKFn9EfthIRmlyw6ck9db4,"[u'locality', u'political']"
0,43.3769325,5.0567853,KINGHOME,ChIJ6yZ7eP4fthIR1lhivpePuQA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3712106,5.0482024,Fenêtre P.V.C Diffusion,ChIJJ31CPh0gthIRYvI9DwdyQ3I,"[u'hardware_store', u'store', u'point_of_interest', u'establishment']"
0,43.378243,5.05371,Martinez marc . Renovation de salle de bains/cuisine/divers,ChIJc_6b7PsfthIRGWtdAlf_keo,"[u'general_contractor', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.376898,5.0565614,Roumejon Denise,ChIJy8lCnf4fthIRlvqWcm-O4cY,"[u'food', u'point_of_interest', u'establishment']"
0,43.3769325,5.0567853,Martinez Marc Paul Jose,ChIJlcSsg_4fthIR504RdOfKgdE,"[u'point_of_interest', u'establishment']"
0,43.3769325,5.0567853,Borel Francoise Lucienne,ChIJlcSsg_4fthIRm3kinzEP8r4,"[u'point_of_interest', u'establishment']"
0,43.3769325,5.0567853,Frichemann Maurice,ChIJlcSsg_4fthIRNRg1dsYFbX0,"[u'point_of_interest', u'establishment']"
0,43.3769325,5.0567853,Montmasson Hauvuy Aline Jeanne Odette,ChIJlcSsg_4fthIRyHsYNryE6nY,"[u'food', u'point_of_interest', u'establishment']"
0,43.3724513,5.0507983,Nicolas Daniel Maurice,ChIJx-NXdfgfthIRc06LWt0xa64,"[u'point_of_interest', u'establishment']"
0,43.3712106,5.0482024,Oreille Alain,ChIJJ31CPh0gthIRkK0RXNVkBKc,"[u'point_of_interest', u'establishment']"
0,43.3711019,5.0481975,Gide Legras Nadine,ChIJ16QaPh0gthIRMSwJ88gPKc0,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3698431,5.0540101,Mairie,ChIJlV-nkgMgthIRWEVC8tjER9E,"[u'point_of_interest', u'establishment']"
0,43.3704865,5.0404269,Omnium Automobile,ChIJP3fBxogfthIRz3Z12zfFBWA,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.368773,5.05736,Elevage de L'empire de Mistral - C & JC MARCOUP - ELEVAGE DE TERRIER DU TIBET,ChIJGze-4QAgthIRPpjvUpHFIFU,"[u'point_of_interest', u'establishment']"
0,43.3720865,5.0593823,Provence Balustres,ChIJ56OA-P8fthIROZ8hxtOMWIk,"[u'point_of_interest', u'establishment']"
0,43.3696153,5.0599219,JR-Terrassements,ChIJMY7CYTYgthIRqsxLKX9S9mc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Sci Leger,ChIJzYsDSwIgthIRSmP5y6QyQNo,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Buravand Patrick Joseph,ChIJzYsDSwIgthIRukaWBj1K-nY,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Earl Marin Fils,ChIJzYsDSwIgthIRRhb5gNhPtl0,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Arlhac Gilbert,ChIJzYsDSwIgthIRNUuaKA5TbEo,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Chinal Gérard,ChIJzYsDSwIgthIRPVJDs40ILEQ,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Marin Serge Vincent,ChIJzYsDSwIgthIR_XVOkTlemkM,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Buravand Jean-Claude,ChIJzYsDSwIgthIRs5mqXpJgVT4,"[u'point_of_interest', u'establishment']"
0,43.370065,5.053181,Martin Rodolphe,ChIJzYsDSwIgthIR9eWWJ0-60Bg,"[u'point_of_interest', u'establishment']"
0,43.369118,5.0532959,Saint-Pierre,ChIJuUKLxwMgthIRoGypeagZCAo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.3976137,5.0484789,ICOM,ChIJM7h7uMQfthIRCKcP5qB4hdc,"[u'point_of_interest', u'establishment']"
0,43.3924247,5.0568027,ALOTRA,ChIJ38K06NwfthIRkbebFJbDiK8,"[u'point_of_interest', u'establishment']"
0,43.3964989,5.0500545,ADD de Martigues,ChIJh2rHqtwfthIRxQw20jraR0g,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.3954383,5.0544779,Resibat,ChIJIxaCHtwfthIRIeGCdd2-y24,"[u'point_of_interest', u'establishment']"
0,43.3953373,5.0567933,HLM Logirem,ChIJ_0wE3N4fthIRzJu7H4Z0f-w,"[u'point_of_interest', u'establishment']"
0,43.3953373,5.0567933,Sopra,ChIJ_0wE3N4fthIRXlJz1hlbpds,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3953102,5.0569113,Le Palais des Bijoux,ChIJ_0wE3N4fthIRWSqwM3QqmTU,"[u'jewelry_store', u'store', u'point_of_interest', u'establishment']"
0,43.3956563,5.057123,Commune de Martigues,ChIJCXyD194fthIRz9S42yNMlr0,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3956563,5.057123,Town Hall,ChIJCXyD194fthIRhIh9U3ysyLI,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.394754,5.051082,Voilliard Jeremie,ChIJ38K06NwfthIRWVWO4p19spY,"[u'point_of_interest', u'establishment']"
0,43.3956651,5.051118,Baudino Dominique,ChIJ38K06NwfthIRj1M5MljdM_M,"[u'store', u'point_of_interest', u'establishment']"
0,43.394858,5.052457,13500,ChIJNXvqW9wfthIRS9zbOHTFrow,"[u'point_of_interest', u'establishment']"
0,43.3956651,5.051118,Buche Jean,ChIJh-fslAIgthIRDfQNCRIvA94,"[u'point_of_interest', u'establishment']"
0,43.3956651,5.051118,Sci Meryem,ChIJ38K06NwfthIRG78zJC0xdS8,"[u'point_of_interest', u'establishment']"
0,43.3962712,5.0500026,Baudino Alexandre,ChIJh-fslAIgthIRN2e13PZk4ag,"[u'point_of_interest', u'establishment']"
0,43.3963276,5.049976,S.t.l.m,ChIJh-fslAIgthIRbKkqJ8MdkmI,"[u'moving_company', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.39656,5.0500619,13500,ChIJ84TkV9sfthIRcczdecMcbiU,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.3971007,5.048744,Rodriguez Rainier,ChIJbfuascQfthIRmiVfDCpGd-k,"[u'point_of_interest', u'establishment']"
