,Latitude,Longitude,Name,Place_id,Type
0,43.721723,4.804197,Maussane-les-Alpilles,ChIJLYk1ooThtRIRpQGEzEX71bE,"[u'locality', u'political']"
0,43.7154495,4.8345101,Huile d'olive Maussane,ChIJtbnqN4ThtRIRYzUFZSCOrPI,"[u'point_of_interest', u'establishment']"
0,43.715411,4.838539,Earl Domaine Plaines Marguerite,ChIJ8yrk04XhtRIR0uvWb0tO0QE,"[u'point_of_interest', u'establishment']"
0,43.71677,4.82912,Camous André,ChIJVRuUNjjitRIRKdaqozVB1ag,"[u'point_of_interest', u'establishment']"
0,43.7205439,4.835667,Carenco Denis,ChIJhXkYO0nitRIRaZab0UkqrJ8,"[u'painter', u'point_of_interest', u'establishment']"
0,43.716277,4.823505,LES JARDINS DU LOURON,ChIJ8WcEloDhtRIR1QtO8hg7IwI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7073767,4.8263244,aeo-édiiteur,ChIJYWgY4RXitRIRltOcFSIBXJ0,"[u'book_store', u'store', u'point_of_interest', u'establishment']"
0,43.71677,4.82912,Moucadel Marie-Paule,ChIJVRuUNjjitRIR_trz5F5MC4E,"[u'furniture_store', u'health', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.71677,4.82912,Alpilles Gourmet,ChIJVRuUNjjitRIRz74WHESqi3U,"[u'food', u'point_of_interest', u'establishment']"
0,43.716774,4.829117,Earl les Vignes de Greoux,ChIJo5uWNjjitRIR4_LMaPQuJd0,"[u'food', u'point_of_interest', u'establishment']"
0,43.7205439,4.835667,Caracorp,ChIJhXkYO0nitRIRn1BunSBgX04,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.721185,4.829285,Blanc Mireille,ChIJHeHhXDbitRIR5ny1pwu68qo,"[u'point_of_interest', u'establishment']"
0,43.7146042,4.8226976,Fontvanne,ChIJjTqmEzvitRIRy3GaxkYXvwQ,"[u'point_of_interest', u'establishment']"
0,43.7205439,4.835667,Les Calans,ChIJhXkYO0nitRIRagALHXz78KA,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.704165,4.831473,Le Petit Paysan,ChIJqR-JTGvitRIRtERs-Puo25w,"[u'food', u'point_of_interest', u'establishment']"
0,43.7012649,4.8347707,Lemercier Magali,ChIJ8cVLT2zitRIRruK3z5TB8qU,"[u'point_of_interest', u'establishment']"
0,43.721831,4.825787,RIPPERT Promotion,ChIJJ_ekTjHitRIRMzlgLoifAf4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.722117,4.8245876,Mas des Argelas,ChIJSxHbyDbitRIRn8SDl1pDDrE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.743887,4.795495,Les Baux-de-Provence,ChIJIbJq2F3htRIR4ASX_aUZCAQ,"[u'locality', u'political']"
0,43.7200596,4.8157827,Villa Alpilles,ChIJQ2qzMi_itRIRKE5H8ltyH6c,"[u'point_of_interest', u'establishment']"
0,43.7203776,4.815762,Bertrand Andre Alexandre,ChIJiVU26yjitRIRDYUlBWxFku0,"[u'point_of_interest', u'establishment']"
0,43.7203776,4.815762,Juglaret Raymonde,ChIJiVU26yjitRIRbvDYZAwMjsM,"[u'food', u'point_of_interest', u'establishment']"
0,43.7203776,4.815762,Coste Nicole,ChIJiVU26yjitRIRPpX9N0-SZGg,"[u'health', u'point_of_interest', u'establishment']"
0,43.7203776,4.815762,Bouyer Industrie,ChIJIX0j0yjitRIRQklJ5RCUwww,"[u'point_of_interest', u'establishment']"
0,43.719606,4.814249,Monblan,ChIJiVU26yjitRIR63XX-KfHymI,"[u'premise', u'point_of_interest', u'establishment']"
0,43.688994,4.871352,Mouriès,ChIJLy9sIpzitRIRzxFeOr1Taus,"[u'locality', u'political']"
0,43.703079,4.846837,Le Mas Saint Roman - Gîtes et location vacances à Maussane les Alpilles,ChIJ7ajarGbitRIRI__kyvYNUUI,"[u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.7046948,4.8473633,LE PETIT ROMAN,ChIJZbLqJ2fitRIRPZD7ISu84BI,"[u'point_of_interest', u'establishment']"
0,43.7057101,4.8190507,Laugier Oudard Isabelle Claude Cathy,ChIJG1e4PyDitRIRPGEz5uRyDCw,"[u'point_of_interest', u'establishment']"
0,43.7299754,4.8176289,Mas De L'Esparou,ChIJC6YPrfTjtRIRUFaOYNPsgNU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.724785,4.812161,HAPPY IMMOBILIER,ChIJ57KSfYfhtRIRS8MSMBSiQlQ,"[u'real_estate_agency', u'finance', u'point_of_interest', u'establishment']"
0,43.724811,4.8123527,Mirabea Conduite Maussane,ChIJKxw2RCritRIRJ6D6aZEYWIE,"[u'point_of_interest', u'establishment']"
0,43.718884,4.812032,Best Western Hotel Aurelia,ChIJXx20l4fhtRIRMWDpgWOSCr4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7189588,4.8102899,Val Baussenc,ChIJXx20l4fhtRIRcP4uXEa8W2c,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7202746,4.8073931,Logis Hôtel les Magnanarelles,ChIJ_2XKT4bhtRIRpPlTNPAe7fc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7210808,4.8093871,Camping Municipal des Romarins,ChIJm8FNcYfhtRIRwXrmrg0__g4,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.7122695,4.8050742,Millésimes,ChIJ90FwgozhtRIReA6y18HAKv4,"[u'food', u'point_of_interest', u'establishment']"
0,43.719376,4.8080571,Le Pré des Baux Hôtel de Charme,ChIJ_53DTobhtRIRO5nlqd44Wz0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7172914,4.8075177,Monsieur Gillardin,ChIJgc5S8ojhtRIRCRX4l8zn82U,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.721103,4.809425,Les Romarins,ChIJxzD3bIfhtRIRkwYP2fAS0nI,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.721257,4.810402,Etoffes des Alpilles,ChIJfyEvfIfhtRIR93w7ESm0T1Q,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.720804,4.809525,Aux Délices des Alpilles,ChIJ8Tm26IbhtRIR7LSoA8s294U,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7152556,4.8054358,menuiserie pelouzet,ChIJ1S6JNYnhtRIR_DPbUD1Buy0,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7204055,4.808975,Maison Ou Appart,ChIJg4SqpIfhtRIRu-Vk0gT7ous,"[u'point_of_interest', u'establishment']"
0,43.71121,4.805404,Rousseau,ChIJiVU26yjitRIRyw4KdhGee-Y,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7198153,4.8075476,Noel-Charles REMAUD,ChIJ564xNobhtRIRVKA7oa7NNt0,"[u'point_of_interest', u'establishment']"
0,43.71121,4.805404,Autovision,ChIJ90FwgozhtRIReVPKdT4m_lc,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.7107297,4.8056685,La Compagnie Electrique,ChIJXSoOZIvhtRIRYFfvdWFH2D8,"[u'electrician', u'store', u'point_of_interest', u'establishment']"
0,43.7107207,4.8057734,Songe'Déco,ChIJC0oOZIvhtRIROXtBzAlLmu8,"[u'point_of_interest', u'establishment']"
0,43.716869,4.806516,Le Cazaou,ChIJfwHb3IjhtRIRAyZi6msqGuI,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.6951068,4.8528089,Hotel TERRICIAË,ChIJq11ueofitRIRhDUgTumPLeI,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6899236,4.8467821,Yelamos Richaud Agnes,ChIJh3GczHjitRIRSNB9b_i1qns,"[u'food', u'point_of_interest', u'establishment']"
0,43.6899236,4.8467821,Guillemin Eric,ChIJh3GczHjitRIRox9x_jrEKRk,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6899236,4.8467821,Genk,ChIJh3GczHjitRIR0rd_37aGuBM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6934474,4.8537674,Mas de Jacquet,ChIJu0htOofitRIRZek_f5SmE8o,"[u'point_of_interest', u'establishment']"
0,43.687518,4.842352,Ebénisterie d'art les Herminettes,ChIJvXiJ7dcJthIR1QyqKTW6IM4,"[u'point_of_interest', u'establishment']"
0,43.7004463,4.8540527,Lou Ventoulet,ChIJd8vPr4nitRIRzrvKzYy_FI0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7000235,4.8572767,Devenson,ChIJsznO1I7itRIRFIP-NWmIntQ,"[u'point_of_interest', u'establishment']"
