,Latitude,Longitude,Name,Place_id,Type
0,43.635993,5.528175,Meyrargues,ChIJHbED9EiIyRIRtQi7JcNlvnA,"[u'locality', u'political']"
0,43.627475,5.516845,Durance Granulats - Meyrargues,ChIJX2eVeB2JyRIR1gpr2TT24vI,"[u'storage', u'point_of_interest', u'establishment']"
0,43.6255993,5.5205586,Cagnat Patrick,ChIJM6UzOFOIyRIRQlMnXgZpqE4,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.6255993,5.5205586,DEFOUG (Controles Tests Expertises Nordtest),ChIJM6UzOFOIyRIRMkTDpYh4nTc,"[u'point_of_interest', u'establishment']"
0,43.6285529,5.51746,unnamed,ChIJtcfLcK2JyRIRWeg96_W6oKw,"[u'point_of_interest', u'establishment']"
0,43.6327646,5.525848,Cocs Sarl Cedric,ChIJT3XTpE6IyRIR8kGNInjLNQc,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6329448,5.5253092,Boudra Sophian,ChIJKzZ2pk6IyRIR2MRFfcpFYU0,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6330265,5.5253612,Gerentes Stephane,ChIJKzZ2pk6IyRIRGG_Lh4ywvFY,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.633303,5.5228722,Salle des sports,ChIJu9n-ekyIyRIR0LhwVO4_RvI,"[u'point_of_interest', u'establishment']"
0,43.6359879,5.5277124,School Jules Ferry,ChIJG3UdAEmIyRIR2H6kcRWfQJ4,"[u'school', u'point_of_interest', u'establishment']"
0,43.6356855,5.5281599,Smartimmo,ChIJR6KYtDeIyRIRlDy3LEY1BAM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6378597,5.5275773,Mairie,ChIJh3r50UmIyRIRh6o63_FjAZg,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6401379,5.5232573,Auberge des Trois Gares,ChIJhxJEujWIyRIRBM5dlT-bhwk,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6360217,5.5269285,Nursery School De Meyrargues,ChIJp-Gd_0iIyRIRGK25OHpFXGE,"[u'school', u'point_of_interest', u'establishment']"
0,43.635993,5.528175,DS Point-Déco,ChIJHbED9EiIyRIR0YX3TD6dKuo,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.640085,5.5232849,Esso,ChIJ3dfruzWIyRIROp7v68Q5meM,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.6376524,5.5274454,Post Office,ChIJh3r50UmIyRIRWBRrPCMQkXY,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.6350682,5.527926,Se Concept & Partners,ChIJ01sR5EiIyRIRNmPwLy9U-zM,"[u'point_of_interest', u'establishment']"
0,43.6340975,5.5285093,"Les Bricol'Anges, jardinier Aix-en-Provence et alentours",ChIJKSaLxUiIyRIRpNk854BjFe8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.63524,5.52854,Beton de France Sud Est,ChIJV-0Q7kiIyRIRoCINNDRhud8,"[u'point_of_interest', u'establishment']"
0,43.6361133,5.5309493,Famille et Provence,ChIJwcSJQkiIyRIRP-FysMyhh6k,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6355095,5.5284915,Paroisse de Meyrargues,ChIJTeP78EiIyRIRWRYr5r07DOs,"[u'point_of_interest', u'establishment']"
0,43.635236,5.528542,Alpha Service Maintenance,ChIJV-0Q7kiIyRIRCd6b7-cXr7g,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.64075,5.5252146,BROCANTIQ PROVENCE,ChIJTyEQfjaIyRIRmn4TdlZdULI,"[u'store', u'point_of_interest', u'establishment']"
0,43.6382573,5.525482,Meddlesome,ChIJVUcx_EmIyRIRhqGDqAG8Ucs,"[u'point_of_interest', u'establishment']"
0,43.6337935,5.5268773,Societe de Chasse Meyrarguais,ChIJ8TUVMkmIyRIR907R8OIdH1I,"[u'point_of_interest', u'establishment']"
