,Latitude,Longitude,Name,Place_id,Type
0,43.486821,5.495122,Meyreuil,ChIJtX1x-r-RyRIRS7vw_1rOjWI,"[u'locality', u'political']"
0,43.486719,5.4949539,Mairie,ChIJwcdgyZSRyRIRhE6FNjbhTxc,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.486821,5.495122,Mistrals,ChIJtX1x-r-RyRIRBojX1Rgnh4A,"[u'point_of_interest', u'establishment']"
0,43.486788,5.494714,As Auto 13,ChIJN304SuuRyRIRrX7iGxfpE5c,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,CLE Informatique Sarl,ChIJn_DOqZWNyRIRITbiFLAHv58,"[u'point_of_interest', u'establishment']"
0,43.4948974,5.5058469,F.p.c.o.,ChIJxXzRxMSRyRIRIY8vToiToLA,"[u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Sacquet Pascal,ChIJbSNIhy-QyRIRj2U8mQQHUPs,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Urba.tp,ChIJN304SuuRyRIRFZWIGqlaVBM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4948974,5.5058469,Sublime,ChIJxXzRxMSRyRIRegp8qzufT9U,"[u'store', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Laboratoires Preventys,ChIJN304SuuRyRIRPXKI5XyfOMY,"[u'store', u'point_of_interest', u'establishment']"
0,43.4872702,5.5008556,Commune de Meyreuil,ChIJwQFbZsCRyRIRrwLCr9SAjYc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Comtesse Emilie,ChIJN304SuuRyRIR9j0jkKM1-dI,"[u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Urba Tradition Pavage,ChIJN304SuuRyRIRJbmvRHN3IsE,"[u'store', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Preventime,ChIJN304SuuRyRIRl7_hNubfyO8,"[u'point_of_interest', u'establishment']"
0,43.4948445,5.5059472,I.S.O Aix en Provence Institut,ChIJxXzRxMSRyRIRRhgLzzjpMdw,"[u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Cote Sud Promotion,ChIJxZ04SuuRyRIRXCc7ivxGjbM,"[u'finance', u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Soc Commerciale Hotels Economiques,ChIJxZ04SuuRyRIRxOJeK1mz5aY,"[u'point_of_interest', u'establishment']"
0,43.486788,5.494714,Softway Medical Radiologie,ChIJxZ04SuuRyRIRgQStA4uyxWA,"[u'point_of_interest', u'establishment']"
0,43.4862297,5.4950634,Mairie - office municipal de la jeunesse et des sports,ChIJwcdgyZSRyRIRDP4XMv-rz6M,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.487008,5.498592,Labouaou,ChIJiTQtpuqRyRIR2UquS0yviFA,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.4750484,5.4961397,Public Primary School Virgile Arène,ChIJOxgempmRyRIRikuMri3ehXE,"[u'school', u'point_of_interest', u'establishment']"
0,43.4807293,5.4953383,Jean Bonan,ChIJCSzbk5aRyRIR6ws9Ni8m5ek,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.477058,5.49502,AVS PEINTURE - Patrice INCERTI - Artisan Peintre,ChIJYzCwYZeRyRIRWwdP3X341ZU,"[u'painter', u'point_of_interest', u'establishment']"
0,43.4844337,5.4935914,Patrimoine Gestion Privee,ChIJNeH8gZSRyRIRYRRIL4FpA84,"[u'finance', u'point_of_interest', u'establishment']"
0,43.4853293,5.4942537,POWERMAXX/DIFFRADIO/PATRICK ALLAIN,ChIJNWQENOuRyRIRFi6cwS9AnYI,"[u'point_of_interest', u'establishment']"
0,43.4849162,5.4937633,Lcj,ChIJAQZDnJSRyRIR3S9hgCBJCUU,"[u'point_of_interest', u'establishment']"
0,43.504,5.5098,Station B.a.c.a Sarl,ChIJ6f9b8teRyRIRJ9t1vtM-EGU,"[u'point_of_interest', u'establishment']"
0,43.5030379,5.5081634,EUROSTEO,ChIJgXG8NtiRyRIR5Q_lDXzlaDY,"[u'point_of_interest', u'establishment']"
0,43.505089,5.493895,Château Simone,ChIJ7-vE8OGRyRIRJGyC45aMxFc,"[u'food', u'point_of_interest', u'establishment']"
0,43.5030599,5.5080396,LM Diffusion,ChIJGd9GRdeRyRIRuKEHxLMMqgU,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4959661,5.5069506,PLOMBIÊR Bernard,ChIJnanM1tqRyRIRYKcRwRCstis,"[u'point_of_interest', u'establishment']"
0,43.5031018,5.5081734,Pôle Dance Attitude,ChIJxXzRxMSRyRIRhRIXIQmIzv8,"[u'point_of_interest', u'establishment']"
0,43.4965927,5.5082603,Institut ostéopathie des professionnels de santé EUROSTEO,ChIJnxF4vtqRyRIRrJjaMvqkXsw,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.5082012,5.498818,Fitnessboutique Aix-en-Provence,ChIJYYGaNxyOyRIRgeoMEo7-DAw,"[u'store', u'point_of_interest', u'establishment']"
0,43.503898,5.509584,Station-service TOTAL,ChIJWytf89eRyRIRR5qa2QPR-M8,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.5078951,5.4999411,L' Escalier Bois,ChIJm3ngyiGOyRIRiqMmHLUrdNU,"[u'point_of_interest', u'establishment']"
0,43.5082012,5.498818,Bose Palette - Aix-en-Provence (ASC Multimédia),ChIJCSXCfx-OyRIRZuHkwZQlwek,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5082012,5.498818,CG Expert,ChIJXxlI-eSNyRIR-cb6XQjfPyI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5082173,5.4988378,Cellarium,ChIJKee51SGOyRIRHAe-dUUjEM4,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.508217,5.498838,m'eye vision,ChIJ9WhBfx-OyRIRjOv1mpNRgaM,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.5082173,5.4988378,EdenSpa Showroom,ChIJqwPo1SGOyRIRjWmWi09XOGw,"[u'store', u'point_of_interest', u'establishment']"
0,43.521487,5.512822,Le Tholonet,ChIJTWEEQjaOyRIR-c-wm2pWcE8,"[u'locality', u'political']"
