,Latitude,Longitude,Name,Place_id,Type
0,43.414078,5.504583,Mimet,ChIJHyMj88CWyRIRsAGX_aUZCAQ,"[u'locality', u'political']"
0,43.4138277,5.5053004,Logis Hôtel le Grand Puech,ChIJUT0Ii8OWyRIRHFSneEv2Q90,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.4137512,5.5061354,"Le Grain de Selle, Frédéric Deschamps",ChIJB5pnisOWyRIRXlfGiVnlML8,"[u'point_of_interest', u'establishment']"
0,43.4141528,5.505083,Mairie,ChIJDUYd88OWyRIR31MlEQHRCTA,"[u'point_of_interest', u'establishment']"
0,43.4146438,5.4935353,Système Espace Lumière,ChIJ-fHyB8SWyRIR9FYeMccXi6U,"[u'point_of_interest', u'establishment']"
0,43.4143358,5.5045308,Mairie,ChIJtcN5BsSWyRIRPOBcoPTLARY,"[u'point_of_interest', u'establishment']"
0,43.414078,5.504583,Restaurant spécialités Corse,ChIJ-fHyB8SWyRIR4N6ZfFpmh2k,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.4161796,5.497942,Gioia Albano Artiste Peintre,ChIJ5w5KkLiWyRIRIrppFG9AFak,"[u'point_of_interest', u'establishment']"
0,43.414285,5.504584,Villevieille Michel,ChIJiyEVBsSWyRIRvF_BPbWdVxs,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4160997,5.4978948,Albano Gioia,ChIJreDHkbiWyRIRQSs4eviVcN8,"[u'point_of_interest', u'establishment']"
0,43.4143358,5.5045308,Post Office,ChIJtcN5BsSWyRIR9mRhdIGAAts,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4139733,5.5048164,Batbedat Magali Odette,ChIJRT7L98OWyRIR-3nT-uaf4r4,"[u'point_of_interest', u'establishment']"
0,43.416886,5.505502,ISIS COMMUNICATION,ChIJa8gFt8WWyRIR-5oqqFX6H7I,"[u'point_of_interest', u'establishment']"
0,43.4188348,5.4965408,LBCONSULT,ChIJDwtvLriWyRIRXGqT1eT7LNI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4186294,5.4998485,Sapeur Pompier,ChIJGZ5Y5seWyRIRo7pW2SKXnjs,"[u'point_of_interest', u'establishment']"
0,43.4189048,5.4957283,PLOMBIÊR Bernard,ChIJ-RlA0bmWyRIRKsK17Nl3Exc,"[u'point_of_interest', u'establishment']"
0,43.4207556,5.4956336,Les Charpentiers du Littoral,ChIJK_zSDbeWyRIRFxKoGsFBOpI,"[u'point_of_interest', u'establishment']"
0,43.4165238,5.5054407,Lagache Sandrine,ChIJQ0qdtcWWyRIRUqEoqJoUnM4,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4092039,5.5012041,Vesperini Anne,ChIJg1McgeqWyRIRKGgyEKfoXLo,"[u'point_of_interest', u'establishment']"
0,43.414078,5.504583,Institut MARIE CECILE - Agréé Yon-Ka,ChIJ-fHyB8SWyRIRqpJ68rr65C4,"[u'point_of_interest', u'establishment']"
0,43.400748,5.493906,Le Paradis,ChIJv3RLG5KWyRIRtUyjHQfSxkg,"[u'premise', u'point_of_interest', u'establishment']"
0,43.4525982,5.4717363,Gardanne,ChIJDUKSKXuRyRIRAAOX_aUZCAQ,"[u'locality', u'political']"
0,43.4244141,5.5040178,Corinne Esthétique,ChIJ1YO5JcqWyRIRSFzYs_1f2OQ,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.4236592,5.4930026,Ramonage-Propre,ChIJp1jKUbGWyRIRqIsPidLgocg,"[u'point_of_interest', u'establishment']"
0,43.4223609,5.5013918,Impact Conseil Et Formation,ChIJayRVl8mWyRIRIjpQIifyFzM,"[u'point_of_interest', u'establishment']"
0,43.423767,5.4992189,Logik,ChIJI7Lf3iDpyRIREgq8r4tvgKc,"[u'point_of_interest', u'establishment']"
0,43.4218159,5.4931398,Town Hall,ChIJOyTjKbGWyRIR_G2GB2LyjXA,"[u'point_of_interest', u'establishment']"
0,43.4113026,5.5121127,Takeda-Budo,ChIJH-_JVNyWyRIRMT8-i-k9SFs,"[u'health', u'point_of_interest', u'establishment']"
0,43.4174692,5.513354,zeugma web agency,ChIJseHwFNqWyRIRA3Z9oXkEHAg,"[u'point_of_interest', u'establishment']"
0,43.416432,5.515405,Marchand Chambron Beatrice,ChIJYyc5mtmWyRIRBSMXXNY_5RQ,"[u'point_of_interest', u'establishment']"
0,43.4181313,5.5172661,gîtes et chambres d'hôtes LELAOU,ChIJHfRPKtiWyRIREelxIZt3N00,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.412342,5.507196,13105,ChIJ9QRADsOWyRIRQ6efH18pKjo,"[u'parking', u'point_of_interest', u'establishment']"
0,43.405825,5.527922,Saint-Savournin,ChIJibod2xCXyRIRQP-W_aUZCAQ,"[u'locality', u'political']"
0,43.4190242,5.4953703,Michel Ludovic,ChIJbZrc2bmWyRIRaLk00BivR7s,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4188348,5.4965408,Serra Paolo,ChIJDwtvLriWyRIRTKfkbtlV1Og,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.429668,5.434833,Simiane-Collongue,ChIJy4oZ1mGUyRIR4P6W_aUZCAQ,"[u'locality', u'political']"
0,43.336148,5.4825739,Allauch,ChIJEYyEEyiWyRIRcAWX_aUZCAQ,"[u'locality', u'political']"
0,43.4110499,5.5120588,Galichet Patrice,ChIJy_t_B92WyRIRS6p0Cd570fM,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.411671,5.5059632,Gagin Alexandre,ChIJxd-dssOWyRIRWtAy0Arhrqo,"[u'point_of_interest', u'establishment']"
