,Latitude,Longitude,Name,Place_id,Type
0,43.588896,5.002136,Miramas,ChIJza-aYrADthIRQFNhmV8_0cw,"[u'locality', u'political']"
0,43.585168,5.0056039,Mairie Annexe,ChIJ59BR8LgDthIRSnT40Zv2Chs,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.585902,5.0069399,Médiathèque Intercommunale Ouest Provence,ChIJtdQp-McDthIRoSZd7pM_1W0,"[u'point_of_interest', u'establishment']"
0,43.587169,5.004583,Garage Brosset Sarl - Citroën,ChIJieLTUL8DthIRQNV2WfAXwrU,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.5866691,5.0086839,Théâtre la Colonne,ChIJZYybFMgDthIRnuAcQYOSJ7E,"[u'point_of_interest', u'establishment']"
0,43.5823559,5.0039714,Middle School La Carraire,ChIJC2fZNbkDthIRaLF57pBrx4o,"[u'school', u'point_of_interest', u'establishment']"
0,43.5817102,5.0034064,Les Bains d'O Rient,ChIJqcHKWrkDthIRIwAcifRe6us,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.5847734,5.0151227,Beauté Services,ChIJwcFWhbUDthIRXKzSCqVBgF4,"[u'point_of_interest', u'establishment']"
0,43.58421,5.0127674,Rayon Soleil Pomeyrol Foyer,ChIJ72aXdLYDthIRT4-xQ3_nPVE,"[u'point_of_interest', u'establishment']"
0,43.580619,5.013045,Vivre Mobile,ChIJk6qqqrYDthIRibrk2hv0Nec,"[u'point_of_interest', u'establishment']"
0,43.581377,5.015881,Miramas BTP,ChIJUdpgibQDthIRtnKROuKrE1g,"[u'point_of_interest', u'establishment']"
0,43.584218,5.014758,Scrabble Club Miramas,ChIJf0FAlrUDthIR9ddmWiHMlKI,"[u'point_of_interest', u'establishment']"
0,43.587265,5.00883,Audition Santé,ChIJPVXKyaz_yRIRJqTktquylAw,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.584818,5.0148801,chatterie des coeurs longhair,ChIJjUGKj7UDthIRPYzYr3WcmXY,"[u'point_of_interest', u'establishment']"
0,43.5814863,5.0148129,Témoins de Jéhovah,ChIJCxCmP7QDthIRqgq_WWR0Uj8,"[u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5893496,5.0093958,S.f.h.e.,ChIJ82vDw8gDthIRtxtPnK3OGyE,"[u'point_of_interest', u'establishment']"
0,43.5813744,5.0131749,Bonheur d'Asie,ChIJRRmfBbQDthIRNZI-6LzWoIs,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.584267,5.0128852,Leconcombre,ChIJ3YfYCrYDthIRL0DO7SVIbbk,"[u'point_of_interest', u'establishment']"
0,43.583507,5.014985,Federation Francaise Natation CD13,ChIJ6cwDsLUDthIRjKddKusAitU,"[u'point_of_interest', u'establishment']"
0,43.590563,5.0100939,Saint-Sulpi,ChIJTewMLM8DthIRFbin-Rx2Ink,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5778661,5.0077796,Crit Interim Miramas,ChIJddLFIrsDthIRBTaIoVjxoKI,"[u'point_of_interest', u'establishment']"
0,43.5778434,5.0076788,Sarl DESSAUD,ChIJWSQ5IrsDthIRERcbggOt8x8,"[u'general_contractor', u'electrician', u'store', u'point_of_interest', u'establishment']"
0,43.5734182,5.0058775,Glacerie La,ChIJiZy4qKUDthIRxDhM2efx5oo,"[u'point_of_interest', u'establishment']"
0,43.5754995,5.0089288,Pompes funèbres ROC-ECLERC,ChIJAbhM5q8DthIRkoRlPHHyt9I,"[u'point_of_interest', u'establishment']"
0,43.5734182,5.0058775,Les Dragées de Provence,ChIJiZy4qKUDthIR4kQOP7cmzW0,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5755795,5.0086693,Prestations Funéraires Provence Méditerranée,ChIJcw4v5K8DthIR9PXplJ64qEQ,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.571559,5.014695,Saleime,ChIJ5Z3IadADthIR_dWcpalEl10,"[u'point_of_interest', u'establishment']"
0,43.5789999,5.0081991,Jardins Loisirs,ChIJCWQrm7ADthIR_JfO42r5B_c,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5757824,5.0097483,Bressan Serge,ChIJFQyb2a8DthIRrL5FPja9D5M,"[u'point_of_interest', u'establishment']"
0,43.5734182,5.0058775,S.n.s.i.provence,ChIJiZy4qKUDthIRIEG1PcsSuU4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.576516,5.011978,"Assistante maternelle à Miramas, JOUCLARD Sandra",ChIJGSd9HbEDthIRUkrFCmqEc8A,"[u'point_of_interest', u'establishment']"
0,43.5766912,5.0111389,JOUCLARD,ChIJSXxO2g4BthIRssxPiZyCvSw,"[u'point_of_interest', u'establishment']"
0,43.5755942,5.0087918,Mairie,ChIJcw4v5K8DthIRzK-FGCWVcd8,"[u'point_of_interest', u'establishment']"
0,43.5768622,5.0048089,MASSOT lionel (éleveur maine coon),ChIJP4ifJbsDthIRuXFDRduESPA,"[u'pet_store', u'store', u'point_of_interest', u'establishment']"
0,43.5719,5.019423,M B I,ChIJN_jDCL0DthIRZ3ivkvf5mCE,"[u'general_contractor', u'electrician', u'point_of_interest', u'establishment']"
0,43.579847,5.009533,Mira'grimp,ChIJC9Hzw7ADthIReeOS4RmH2X4,"[u'point_of_interest', u'establishment']"
0,43.569588,5.00983,Monteau,ChIJS7yN5agDthIRqTlPNclsh0w,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.593749,5.010859,College Miramaris,ChIJuwT4qs8DthIR6a0zwJNcLOU,"[u'school', u'point_of_interest', u'establishment']"
0,43.5913932,5.0063894,Athletic Club de Miramas,ChIJNz20w8UDthIRHbjIdBmH2EQ,"[u'point_of_interest', u'establishment']"
0,43.591676,5.011251,Gymnase Saint Suspy,ChIJlVji6M4DthIRrtkCs85ag5g,"[u'point_of_interest', u'establishment']"
0,43.599816,5.0197868,Golf Club de Miramas,ChIJvbiv8rsDthIRZAdbICaDAgg,"[u'health', u'point_of_interest', u'establishment']"
0,43.593977,5.00949,Mairie - mairie annexe la Rousse-Placiers,ChIJ8dhTx88DthIRxgHszKdGGiY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5933874,5.0090341,Pharmacie des Vents Provençaux // Pharmacie Miramas,ChIJn71ll88DthIRf-qKwCCTaG8,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.5922188,5.0111175,Gymnastique Club Miramas,ChIJ2T_9nk4DthIRG_3DCpVCANA,"[u'point_of_interest', u'establishment']"
0,43.590294,5.009646,ASSISTANTE MATERNELLE MIRAMAS,ChIJMYiOW3ivyRIRNNiQInjp_zA,"[u'point_of_interest', u'establishment']"
0,43.5925108,5.0105941,Association Sportive Du College Miramaris,ChIJuwT4qs8DthIR_cqYG2rsj88,"[u'point_of_interest', u'establishment']"
0,43.5946957,5.008482,Logirem,ChIJMY2o-s8DthIRtYjOnciDIAU,"[u'point_of_interest', u'establishment']"
0,43.5913932,5.0063894,Lgt,ChIJNz20w8UDthIRzgwq2SGOUGI,"[u'school', u'point_of_interest', u'establishment']"
0,43.595124,5.010387,S-Trad,ChIJy8emKtADthIRusKA2IgLAGY,"[u'point_of_interest', u'establishment']"
0,43.5933218,5.0076018,CYRIADOM MARTIGUES - ETANG DE BERRE,ChIJBRNvfMUDthIRdEVIuWWxlwE,"[u'point_of_interest', u'establishment']"
0,43.5894184,5.0076634,Erilia,ChIJPxQ0HsYDthIRNk4omRUxBJA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5905336,5.0150142,Green Services,ChIJJXM1sjQCthIRkL6DUIsz0Tk,"[u'store', u'point_of_interest', u'establishment']"
0,43.593977,5.00949,Departement Des Bouches Du Rhone,ChIJ8dhTx88DthIRfQNo8N1bPQE,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.5909825,5.0074276,Famille et Provence,ChIJ5bIFWM8DthIR6roXdeh0nT4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.599699,5.0081701,Les Ruches,ChIJjWF1rtADthIRSU1ADx_BHBY,"[u'neighborhood', u'political']"
0,43.58899,5.0262129,Centre Aéré Municipal,ChIJSxWk8rsDthIRZ92LWwzLscM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.589031,5.0262049,Château de Cabasse,ChIJcZV_KDcCthIRF-JKO6GZZBk,"[u'point_of_interest', u'establishment']"
0,43.5847718,5.0201096,Pitalua Fernand,ChIJP05tAMuqUEAR-wOgOrWe4YU,"[u'point_of_interest', u'establishment']"
0,43.581702,5.017376,NOUNOU Laëtitia Assistante maternelle Miramas,ChIJY_qW6LQDthIRN_lLOy2ScRs,"[u'point_of_interest', u'establishment']"
0,43.5801813,5.0297196,Canis-cool,ChIJm0GKC0YCthIR_bA3WtXza2o,"[u'point_of_interest', u'establishment']"
0,43.5869727,5.0134531,Cyril Galline Photo,ChIJYVXzJMoDthIRithyX7uqeL8,"[u'point_of_interest', u'establishment']"
0,43.5907449,5.0164892,Vtg France SAS,ChIJU4DxkMwDthIRvkf6CklglVw,"[u'point_of_interest', u'establishment']"
0,43.5843933,5.0213357,Da Conceicao Oliveira Jose,ChIJ6VqPb0oCthIRJYiK3OevXhE,"[u'point_of_interest', u'establishment']"
0,43.5824841,5.001451,Société Générale,ChIJeS7WsLwDthIR4vayXMM03cU,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.5834574,5.0011243,Crédit Mutuel,ChIJ48vA_74DthIRaHk7dAfQNfY,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.5804079,4.9991867,SNCF (Frêt),ChIJzctQuL0DthIRU9QcC7mOzeA,"[u'train_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.5827867,5.0007759,Immobilier Miramas Solvimo,ChIJcSb8QccDthIRH49M5L7ohuI,"[u'real_estate_agency', u'finance', u'point_of_interest', u'establishment']"
0,43.587654,5.000011,McDonald's,ChIJoZ5VKcADthIRymO08ZsIKCA,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5833387,5.0016634,MAGASIN BOUYGUES TELECOM MIRAMAS,ChIJeS7WsLwDthIR7-hNrw6f2pw,"[u'store', u'point_of_interest', u'establishment']"
0,43.5840107,5.0020513,Setip Immobilier Miramas,ChIJCU6KLL8DthIR1oG1CtK7WAM,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.58911,4.999874,School Higher Education Private Fontlongue,ChIJoZ5VKcADthIRtUFB3jmiatQ,"[u'school', u'food', u'point_of_interest', u'establishment']"
0,43.5835426,5.0008674,Post Office,ChIJZ7sT7r4DthIRZ6LPyp94Yms,"[u'post_office', u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.5817866,5.0007302,LCL - Le Crédit Lyonnais,ChIJP19dhb4DthIR9EZTU2lf_KI,"[u'finance', u'atm', u'bank', u'point_of_interest', u'establishment']"
0,43.582126,5.0007857,BNP Paribas - Miramas,ChIJfUbFjb4DthIRc5rTqVtkk7U,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.578552,4.999297,Miramas Immobilier,ChIJBzSEUrwDthIRDbNQ-jDLVHc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5799248,5.0009212,Agence Act'Immobilier Service,ChIJd4luR7wDthIR1NNnsaY5hLs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.513006,4.987968,Istres,ChIJxbAOzsQEthIRoAKX_aUZCAQ,"[u'locality', u'political']"
0,43.5637933,5.0244507,Glacier le Quillé,ChIJL7KZIPkCthIRxg6Y6tne4Mg,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5638611,5.0157771,Monty Store,ChIJW1YGVQADthIRlF4-coPAGR8,"[u'department_store', u'store', u'point_of_interest', u'establishment']"
0,43.5609887,5.0194216,La Poudrière,ChIJV7YcOrwDthIR1mfWKnongNY,"[u'point_of_interest', u'establishment']"
0,43.5631119,5.0244897,Le Quillé,ChIJkdDNG2b9yRIRzfuFPH4oc4o,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.563045,5.023584,Le Jess Restaurant,ChIJNxpwUl4CthIRNuJGbFsjXNY,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5695526,5.0236654,Horizon Electronique,ChIJL8FqDXf9yRIRPxI8KG3Io6A,"[u'electrician', u'general_contractor', u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.569598,5.023632,Horizon Elec,ChIJMxoioVYCthIRtgk-vCV8KKI,"[u'general_contractor', u'electrician', u'store', u'point_of_interest', u'establishment']"
0,43.564036,5.024727,Salomon Doris,ChIJM2CbwvgCthIRltWvFux2jbo,"[u'painter', u'point_of_interest', u'establishment']"
0,43.5648358,5.0134333,Barnini Dubus Claudia,ChIJXfhtyQADthIRDwEFJs3De-I,"[u'point_of_interest', u'establishment']"
0,43.565268,5.015417,Barron Pierrette,ChIJB97EiQADthIRN4H35YUHHBw,"[u'point_of_interest', u'establishment']"
0,43.5638371,5.0156575,Sci Hugues,ChIJL8FqDXf9yRIRpW3G5uY_5rE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
