,Latitude,Longitude,Name,Place_id,Type
0,43.806056,4.948633,Mollégès,ChIJN06iYEn6tRIRjeqLE_6wYEU,"[u'locality', u'political']"
0,43.8032,4.949708,Les Ocres,ChIJk6fVHUz6tRIRXcanq8oOLm4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8051359,4.9477664,FC Mollégès,ChIJoZ-ZV076tRIRwt9UmGf03qI,"[u'point_of_interest', u'establishment']"
0,43.8064098,4.9474204,Mas du Capoun,ChIJQRIdsE_6tRIRgoSBwsAuBEg,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.806411,4.954555,OMAG SAP,ChIJS0qrQEj6tRIRE_9grm86k-o,"[u'point_of_interest', u'establishment']"
0,43.813122,4.948431,Parc Animalier L'Arc en Ciel,ChIJ_2D2hkP6tRIRvj2jXU4JHHA,"[u'zoo', u'point_of_interest', u'establishment']"
0,43.8033632,4.9503781,Alpilles Fermetures,ChIJr4zPK7j7tRIRFRgl39JHSUk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8087033,4.9491372,Fabre Martine,ChIJERd04E76tRIRUxn8l1bqFLc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8033632,4.9503781,K M J,ChIJMTPcqU76tRIRkZ6PDTrb_Go,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.80599,4.949034,Mairie de Mollégès,ChIJobNmHE_6tRIRjm-1fisOksg,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8101256,4.9536745,L'Oustaou Du Comtat,ChIJ3ZV-q0f6tRIRKER-FK8FPZw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8033367,4.9492821,Le clos de Calas,ChIJFb_vn076tRIRE9DxELqVhQg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8059009,4.9498913,Tabac Presse Bégagnon Philippe,ChIJ-y8V1076tRIRg_pMaQQX4i8,"[u'point_of_interest', u'establishment']"
0,43.806056,4.948633,Eurorepar Carrosserie Bernelin,ChIJryJhA0_6tRIRX2hhgbdYeik,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.8064269,4.9481069,sarl SPEP NOUVELLE,ChIJkYj8B0_6tRIRkoYGYqMSttQ,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8033632,4.9503781,Habitat Diffusion,ChIJMTPcqU76tRIR_izm36DWuQ8,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.80933,4.950317,Céline MICHEL - Expert Comptable,ChIJgcXl3UX6tRIR-XWrpK91SQ4,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.8023058,4.9446873,Les Jardins de Provence,ChIJgZrKbFL6tRIRcktmLtu84Hc,"[u'point_of_interest', u'establishment']"
0,43.8084169,4.9434058,ANTIFEU SARL,ChIJYe8gnVr6tRIRn8viYVfnKiU,"[u'point_of_interest', u'establishment']"
0,43.8080091,4.9480023,Mairie,ChIJtwe_HU_6tRIRrilwLPpMpUo,"[u'point_of_interest', u'establishment']"
0,43.76015,4.950151,Eygalières,ChIJwyqUSYv7tRIRcAOX_aUZCAQ,"[u'locality', u'political']"
0,43.8033632,4.9503781,Callplace,ChIJMTPcqU76tRIR5tOg5yWFv0g,"[u'point_of_interest', u'establishment']"
0,43.788685,4.954035,CAVE DU MAS DE LONGCHAMP,ChIJMTPcqU76tRIRkq3byMEpaso,"[u'food', u'point_of_interest', u'establishment']"
0,43.7882107,4.9530238,Provence Dépôt vente,ChIJDXPTiX_7tRIRFokuMIma2ao,"[u'store', u'point_of_interest', u'establishment']"
0,43.7961658,4.9469727,Camus Dominique,ChIJ4cedX7L7tRIR127R2goN1-o,"[u'meal_takeaway', u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7961658,4.9469727,Leroy Robert,ChIJ4cedX7L7tRIR1SLnOGrjI4g,"[u'point_of_interest', u'establishment']"
0,43.7961658,4.9469727,Roland Eric,ChIJ4cedX7L7tRIR3Y0ehYZxMxs,"[u'point_of_interest', u'establishment']"
0,43.7984479,4.9482385,Chabannes Nadia,ChIJ461SKrP7tRIRh15ZJUB1qdI,"[u'point_of_interest', u'establishment']"
0,43.7984479,4.9482385,Diez Julien Paul Alain,ChIJ461SKrP7tRIRPt-ufIpTqV4,"[u'general_contractor', u'point_of_interest', u'establishment']"
