,Latitude,Longitude,Name,Place_id,Type
0,43.688994,4.871352,Mouriès,ChIJLy9sIpzitRIRzxFeOr1Taus,"[u'locality', u'political']"
0,43.6952106,4.8832867,La Méridienne,ChIJ_R559a_itRIR3Ym6vbzJ_dY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.708655,4.892334,Botte Robert,ChIJnU-ePcvitRIRysGMWKI7Ios,"[u'point_of_interest', u'establishment']"
0,43.695282,4.883211,Trefois Philippe,ChIJ_R559a_itRIRGZziyPtDWE4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.705272,4.8898288,CCP,ChIJpcuJjLXitRIRXalEOruRCrY,"[u'point_of_interest', u'establishment']"
0,43.7011467,4.898829,Trouche Patrice,ChIJgetpWEn9tRIRvWgGRVOh8_k,"[u'food', u'point_of_interest', u'establishment']"
0,43.6952106,4.8832867,Courtheoux Paul,ChIJ_R559a_itRIR8dME29bjMbE,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.708655,4.892334,Van Woerden Revoil Marie Cornelie,ChIJnU-ePcvitRIR06Ycu0H8mAU,"[u'point_of_interest', u'establishment']"
0,43.7022329,4.902194,Vanderstein Christophe,ChIJ4bWo8Uj9tRIRWbLRVwOsv28,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.708655,4.892334,Les Baumettes,ChIJnU-ePcvitRIRpm4ogPftM4c,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.686093,4.886156,Eurorepar Garage Du Coussoul,ChIJh6NFewIIthIR8SUb_cjqmMI,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.692421,4.902005,Le Ranch des Alpilles,ChIJDxyH71D9tRIR2vG_CofGoIc,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.6867855,4.880974,Terr'agro,ChIJsy3CfR0IthIRonjzmTUOy1Q,"[u'point_of_interest', u'establishment']"
0,43.6909618,4.8792838,Puech Remy,ChIJHcMelqbitRIRUAQi1sfr3KA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6859146,4.8825485,La Roseraie,ChIJ-a5Xu5_itRIRFnN63FjMo6g,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.6898885,4.8788497,Bertrand Jean Andre,ChIJ9bY826bitRIRkE93SW2FcYU,"[u'point_of_interest', u'establishment']"
0,43.6858043,4.8814016,Stade Pierre Astier,ChIJhU2och0IthIR7km5dLugi8w,"[u'stadium', u'point_of_interest', u'establishment']"
