,Latitude,Longitude,Name,Place_id,Type
0,43.877232,4.902065,Noves,ChIJq6xTMzzwtRIRcAGX_aUZCAQ,"[u'locality', u'political']"
0,43.858565,4.902763,CONSTRUCTIONS MODULAIRES SERVICES (C.M.S. 13 ),ChIJue_57NLxtRIRvEQZL5JkQZ4,"[u'premise', u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.8608842,4.9039614,Ets HORTICOLES BOYER,ChIJ6QEaZhbwtRIRvBTg0btDw0E,"[u'food', u'point_of_interest', u'establishment']"
0,43.865722,4.898529,MS BUREAUTIQUE,ChIJFQDceSbwtRIRsQHH1nXgcvw,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.863495,4.907712,Formation Habilitations,ChIJQ4dylTvwtRIRNyujmPOEVaU,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.8632354,4.908081,Genin Andre Gaston Jean,ChIJiS8L7DvwtRIRXJVuyhTsb8k,"[u'point_of_interest', u'establishment']"
0,43.8604006,4.9041869,Le Palais Gourmet,ChIJ300N1DzwtRIRrM7hVHcWx3I,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8618018,4.9034879,Chabanne Dominique,ChIJ69t4TiPwtRIRIL_Di1bWBW4,"[u'food', u'point_of_interest', u'establishment']"
0,43.8618221,4.9036094,Giraud Maurice Rosalin,ChIJ69t4TiPwtRIRBp97ehD9oQU,"[u'food', u'point_of_interest', u'establishment']"
0,43.8618872,4.9039364,Gonfond Frederic,ChIJweZMTSPwtRIRp_cASdd7lQQ,"[u'point_of_interest', u'establishment']"
0,43.8565669,4.9057867,Ginoux Leopold,ChIJI5GL-yzwtRIRCCTr_bvhoEQ,"[u'food', u'point_of_interest', u'establishment']"
0,43.8562569,4.9058231,Gourdin Christophe Patrice,ChIJbcfruRfwtRIR3AWyjWfH4y8,"[u'point_of_interest', u'establishment']"
0,43.863309,4.9017187,Montero Dit Chris Montero Christin C,ChIJz8DnVSzwtRIRObKeAJ-tZAc,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.8628219,4.9033395,Sebastiani Jauzion Monique Marie,ChIJx3dR_yzwtRIRnQdmHZcStQ4,"[u'point_of_interest', u'establishment']"
0,43.864303,4.9030818,Guibert Gonfond Noelle Germaine Mari,ChIJTfjPVSzwtRIRW2v61kgul7s,"[u'point_of_interest', u'establishment']"
0,43.864303,4.9030818,Gonfond Frederic Francois,ChIJTfjPVSzwtRIRnGkxdH6g4ZM,"[u'point_of_interest', u'establishment']"
0,43.8628519,4.892764,Robert Bernard Roger Marcel,ChIJNVKqTd_vtRIRrf0BsB1UZbQ,"[u'point_of_interest', u'establishment']"
0,43.8517033,4.9019978,Le Nid de la HUPPE,ChIJXfwnRhrwtRIRbGIvk53J8OU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8627776,4.9094089,Rais-chaabane Bourillon Kaoubab,ChIJGY8n_T_wtRIRx0ZSr2vfGiA,"[u'point_of_interest', u'establishment']"
0,43.8629839,4.8897786,Libourel Gilles Marie Joseph,ChIJjTeGtd7vtRIRCHE2H3jd9uo,"[u'point_of_interest', u'establishment']"
0,43.8422848,4.9022053,Camping Marie Rose,ChIJvR70lgfwtRIRBktghRUoX5U,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.8426749,4.9061585,Christophe POLIZZANO sculpteur tailleur de pierre,ChIJQX6ILdHvtRIRsoOgAqWKXzw,"[u'point_of_interest', u'establishment']"
0,43.8463253,4.9013662,Mas du Trebon Suzanne vente fruits legumes,ChIJD3ZSlA_wtRIRLdIdtanDMf8,"[u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Cante Gérard,ChIJlQKElQvwtRIRFVEAgZZOBuw,"[u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Gonfond Sebastien Marc Denis,ChIJlQKElQvwtRIR5ucFwI3rb-o,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Thore Colette,ChIJlQKElQvwtRIRdII0Tm7mr7U,"[u'store', u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Windenberger Jacques,ChIJlQKElQvwtRIRLdmEmMbxcZ4,"[u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Christin Nicolas,ChIJlQKElQvwtRIRsLnf-c48-Yg,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Guibert Antoine,ChIJlQKElQvwtRIR0mZSIMNxom0,"[u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Anacmo Sarl,ChIJlQKElQvwtRIRIoYgtQOlUVY,"[u'point_of_interest', u'establishment']"
0,43.8427648,4.9061634,Gori Père Fils,ChIJlQKElQvwtRIRMesHf9X7KU8,"[u'point_of_interest', u'establishment']"
0,43.8426749,4.9061585,Camera Gerard,ChIJlQKElQvwtRIRfvBzvbJDADo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.83769,4.918884,Verquières,ChIJ80Tr_HTwtRIRxTsPmRea-hg,"[u'locality', u'political']"
0,43.872413,4.900739,e-noves,ChIJCSqYKCzwtRIRkfdIfkFi0IQ,"[u'point_of_interest', u'establishment']"
0,43.871175,4.8970695,Le pays du bonheur,ChIJ75LebCnwtRIRV5N43ZGr7pU,"[u'point_of_interest', u'establishment']"
0,43.8713,4.8972291,Feel Good Bijoux,ChIJnyEJaynwtRIRtHGJnqsuX2c,"[u'jewelry_store', u'store', u'point_of_interest', u'establishment']"
0,43.873478,4.901307,Tchip,ChIJbQfQSizwtRIRaCCbTxB4f20,"[u'beauty_salon', u'hair_care', u'health', u'point_of_interest', u'establishment']"
0,43.8728425,4.9014607,TCHIP COIFFURE,ChIJWeYSzS3wtRIR-m6hKftJeiU,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.8734936,4.9014111,Marie Becque,ChIJwQfQSizwtRIR0s2E-ZLopGI,"[u'health', u'point_of_interest', u'establishment']"
0,43.8745765,4.9008868,L'Essentielle,ChIJwQfQSizwtRIR7Qm6Bt3JP0Y,"[u'beauty_salon', u'spa', u'point_of_interest', u'establishment']"
0,43.8754235,4.9019292,Mairie De Noves,ChIJgTZxNS3wtRIRtI3pSNM3MhE,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8748684,4.900796,Lambert Alain,ChIJZ93k8yzwtRIROYQIRg76EWE,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.8746498,4.9025025,Renault,ChIJY1s8Cy3wtRIRqZ89nA-6wzA,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.8749292,4.9010075,Sanelec,ChIJD2j0-yzwtRIR999zIXf21Os,"[u'point_of_interest', u'establishment']"
0,43.87496,4.9009859,Mairie - psychologue scolaire,ChIJN-KN-yzwtRIRbhIaOWsG1AE,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8753361,4.9024258,ACCENT IMMOBILIER,ChIJ-3MBFC3wtRIRfqOoAXPH5Tc,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.8751,4.9024,MMA Noves,ChIJ4Un1DS3wtRIRQm1i__7IhZM,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.8750772,4.9024483,Cabinet Boyer,ChIJA7DeDS3wtRIRRVs9i1_SFl0,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.8589834,4.916398,Station-service TOTAL,ChIJsbG_T0DwtRIRB5S76n0x4-U,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.8667286,4.9115628,Centre de Secours,ChIJEQbxYDfwtRIRVcfiqRWXAnQ,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.8548426,4.9198366,Scania Méditérranée,ChIJEQbxYDfwtRIRIH_dLRr00Qc,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.8568642,4.9115894,Earl les Traverses,ChIJj0fRghXwtRIR84wmibqenPw,"[u'point_of_interest', u'establishment']"
0,43.8568642,4.9115894,Eurl Des Traverses,ChIJj0fRghXwtRIRW4V1z0ZtBFA,"[u'point_of_interest', u'establishment']"
0,43.8623766,4.910089,Hunt Andrew John,ChIJ_1Y2tT7wtRIR3ey2o82rsfA,"[u'food', u'point_of_interest', u'establishment']"
0,43.8623766,4.910089,Hoffmann Ternier Michele,ChIJ8_eOAC7wtRIRDwzVK-heXdc,"[u'point_of_interest', u'establishment']"
0,43.8623766,4.910089,Seignour Xavier Maurice Joseph,ChIJA6OgSznwtRIR-VW1czgfzaQ,"[u'point_of_interest', u'establishment']"
0,43.8624128,4.9102032,Liebgott Andre,ChIJA6OgSznwtRIR2dBakQD8VBM,"[u'point_of_interest', u'establishment']"
0,43.8820059,4.855685,Châteaurenard,ChIJHVhC0lTutRIRtgdpL1MWNAg,"[u'locality', u'political']"
0,43.8653908,4.8846273,HOM'FORMS,ChIJz2nZGNvvtRIRysAK6QFFYcw,"[u'health', u'point_of_interest', u'establishment']"
0,43.8629602,4.8896583,Lenne Perez Sanchez Claudette,ChIJjTeGtd7vtRIRAnhjdSCvB6w,"[u'point_of_interest', u'establishment']"
0,43.8629839,4.8897786,Fosci Monique Therese Jose,ChIJjTeGtd7vtRIRRzhwWVnBx7w,"[u'point_of_interest', u'establishment']"
0,43.8629839,4.8897786,Ferme de Villargelle,ChIJjTeGtd7vtRIR9LfGPLw3AHo,"[u'food', u'point_of_interest', u'establishment']"
