,Latitude,Longitude,Name,Place_id,Type
0,43.791223,5.038677,Orgon,ChIJO0Dmi-_4tRIRYAGX_aUZCAQ,"[u'locality', u'political']"
0,43.7848929,5.0211269,Le Mas des Cigales,ChIJ7ZNwIeP4tRIRoY6LOyfNMDc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.778846,5.0278219,unnamed,ChIJscALMeb4tRIRhB8rRKt1xH4,"[u'point_of_interest', u'establishment']"
0,43.782524,5.026172,unnamed,ChIJv08Fs-X4tRIReyCJ0dL7Xu4,"[u'point_of_interest', u'establishment']"
0,43.7808543,5.0115893,Domaine de la Rose,ChIJPUdYaBn5tRIRZxA5n7ZSsso,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.787469,5.029166,unnamed,ChIJF1T6evD4tRIR8jSwpSRrAq8,"[u'point_of_interest', u'establishment']"
0,43.7930891,5.0300089,Solidarite Paysans Provence,ChIJ0fHvFy_4tRIRW6RCE6na1UM,"[u'point_of_interest', u'establishment']"
0,43.793776,5.02139,Restaurant des Arcades,ChIJe0KMB9f7tRIRh9P2ttd3Gpw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.793367,5.020062,La Maison Christy,ChIJcQUxsv_4tRIRs_l3xr1Lnz8,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7890264,5.0282729,Omya SAS,ChIJgclYP_H4tRIRbsfwlBZDigQ,"[u'point_of_interest', u'establishment']"
0,43.792793,5.025587,Musee Automobile de Provence,ChIJ16-z8PT4tRIRE4HW_HyF_rs,"[u'museum', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.7917216,5.0295818,Intermarché,ChIJd3xoaff4tRIR9YK9lnMKkK0,"[u'shopping_mall', u'point_of_interest', u'establishment']"
0,43.7917163,5.0296588,Intermarché Super,ChIJFWBV9_T4tRIRpy8uZaxkp3k,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7938978,5.0202799,La Maison Christy,ChIJwS_opP_4tRIRzQYqmtznyc8,"[u'point_of_interest', u'establishment']"
0,43.7939967,5.0199729,Resto Grill,ChIJP2jbwP_4tRIRCJsZ6rUk2HU,"[u'bar', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7930614,5.0298,ADEAR,ChIJ5VS5kiP5yRIRwRZmPBMb1Sw,"[u'point_of_interest', u'establishment']"
0,43.7906867,5.0320655,Brigade Territoriale de Gendarmerie,ChIJ4fboyPb4tRIRAVb4MH8wxj0,"[u'point_of_interest', u'establishment']"
0,43.7892333,5.0325447,Coulet Frederic,ChIJgclYP_H4tRIRlM-Gi0ZdwEg,"[u'point_of_interest', u'establishment']"
0,43.7892333,5.0325447,Renovation Entretien Batiment,ChIJgclYP_H4tRIRbowbLP0F0z4,"[u'point_of_interest', u'establishment']"
0,43.7922342,5.0333942,Jouvent Jean-François Rougier François et Carbonnier-Rougier Françoise SCP,ChIJdRjyhvb4tRIRfOaF0bLKrkU,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.7917913,5.033648,Station service,ChIJbf35nPb4tRIRjGzDVunXTYU,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.7923241,5.0333988,Sci les Abricotiers 2,ChIJdRjyhvb4tRIRceSq-47ijEY,"[u'point_of_interest', u'establishment']"
0,43.788602,5.034829,Olivier Gheude,ChIJcb8TG_X4tRIRsDztj6F8Fms,"[u'point_of_interest', u'establishment']"
0,43.7922881,5.0336491,Familles Rurales Fed Dpte Des B D R,ChIJt4Zygfb4tRIRWOdx4qHNTPo,"[u'point_of_interest', u'establishment']"
0,43.782032,5.040879,Camping La Vallée Heureuse,ChIJZYl6EJP4tRIRknQ0ymricw8,"[u'campground', u'rv_park', u'park', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.7867524,5.0378242,Marie Jauffret Elise Antoinette,ChIJS37E6fL4tRIRYr7ngSQc8UA,"[u'point_of_interest', u'establishment']"
0,43.7875068,5.0366377,Coupard Laurent,ChIJ-x0l_vL4tRIRijFBkUsXLb4,"[u'plumber', u'point_of_interest', u'establishment']"
