,Latitude,Longitude,Name,Place_id,Type
0,43.718275,4.783751,Paradou,ChIJ41NuM6XhtRIRBkFuS7o7Zp8,"[u'locality', u'political']"
0,43.7159383,4.7795418,Résidence de Vacances Les Garrigues De La Vallée Des Baux,ChIJP0rQdbvhtRIRi5aJzty5elU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.704711,4.789441,Tours de Castillon,ChIJ7dppBMLhtRIRQ_dgKcAuxEA,"[u'point_of_interest', u'establishment']"
0,43.7154877,4.7818158,Gipsy Queen,ChIJ6X7rz7vhtRIRCk7OxU2wg3A,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7152665,4.7819016,la maison au fond du jardin,ChIJxxtR97nhtRIRMAG3gCbn-1w,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.712605,4.770068,Alpilles Piscines Services,ChIJzTv0iY7htRIRMR531UuWOfY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.714956,4.785987,sasu c2pa,ChIJowZ-H7zhtRIRGmh3cTTF9HY,"[u'finance', u'point_of_interest', u'establishment']"
0,43.709815,4.784058,Bellagamba Arnaud Gabriel Marcel,ChIJPfFWV8fhtRIREjR7m0aOjQk,"[u'point_of_interest', u'establishment']"
0,43.7101128,4.7704063,Cayzac Sophie,ChIJTweLosrhtRIRsfb1l5uwAoE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7131998,4.7833925,Lemayene Nicolas,ChIJ287YF7nhtRIR7I-X-MDnhew,"[u'point_of_interest', u'establishment']"
0,43.707792,4.769268,Roux Corinne Pierrette,ChIJsdNsLcvhtRIRGjLSGxW5m84,"[u'point_of_interest', u'establishment']"
0,43.710067,4.76846,Cosp Import Export,ChIJkdIfazXgtRIR8DJrrlnA7dM,"[u'point_of_interest', u'establishment']"
0,43.710067,4.76846,La Petite Terre,ChIJU9RpRTXgtRIR-5u8UXB0mZU,"[u'point_of_interest', u'establishment']"
0,43.710067,4.76846,Seveyrac Mélanie,ChIJU9RpRTXgtRIRVUzeuIW4hXE,"[u'point_of_interest', u'establishment']"
0,43.710067,4.76846,Seveyrac Jean Louis,ChIJU9RpRTXgtRIRAN6kiYnab1s,"[u'point_of_interest', u'establishment']"
0,43.710067,4.76846,Maurell Laurent,ChIJkdIfazXgtRIRaL2atzD2XTU,"[u'point_of_interest', u'establishment']"
0,43.712605,4.770068,Brunelys,ChIJU3iAI7XhtRIR2gHDDZCX5HA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7163817,4.7794744,Boyer Jean-Luc,ChIJoXafdbrhtRIRFLNneQ6Hnd0,"[u'point_of_interest', u'establishment']"
0,43.716212,4.7828383,Guy FERRER,ChIJ68ubt7vhtRIRImN0Dg9pw04,"[u'point_of_interest', u'establishment']"
0,43.711764,4.789211,unnamed,ChIJyT_Zz7_htRIRWrldcY9HiKI,"[u'point_of_interest', u'establishment']"
0,43.7008845,4.7707915,Mas Magali,ChIJOV4mnNLhtRIRtVDOmDmRvKk,"[u'point_of_interest', u'establishment']"
0,43.7213349,4.7767274,La petite Provence du Paradou,ChIJB2oEZobhtRIRy6wB0Ak1aUM,"[u'store', u'point_of_interest', u'establishment']"
0,43.7179462,4.7850115,La Maison Du Paradou,ChIJDdOmnLzhtRIRMMPDFEKd3RY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7186946,4.7839773,Mairie,ChIJ4w5BQ7vhtRIRRHQ2emZRtM4,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7205048,4.779978,Maison d'hôtes,ChIJOfH-WaXhtRIRTpuaIlW-7dg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7180057,4.7839818,Agence Postale,ChIJIz-Wb7vhtRIRtNK2ZYVWpDc,"[u'point_of_interest', u'establishment']"
0,43.718635,4.788258,L'Espélido,ChIJPUxfOb3htRIR3D3hxozym4g,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.715932,4.785357,"Lesoeurs Guy, Psychanalyste",ChIJdUGfErzhtRIR6vf5kLw4JFo,"[u'health', u'point_of_interest', u'establishment']"
0,43.7183305,4.7836555,Le Boudoir de Paradou,ChIJTfE0arvhtRIRMsPMU4bQF48,"[u'point_of_interest', u'establishment']"
0,43.7183377,4.784089,Spar,ChIJa-iyV7vhtRIRtE9Xm5f7W9Y,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.720725,4.786609,La Petite France,ChIJf8Xn36LhtRIRYLLIRKNDCjU,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7214357,4.7862303,inprovenceholidays,ChIJyb9TEqPhtRIRT5v6BstpbP0,"[u'point_of_interest', u'establishment']"
0,43.7203521,4.7848578,Le Bistrot du Paradou,ChIJExZWM4ThtRIRSq7ZDItE5-U,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.72111,4.7878933,Mas Rose,ChIJsbmE5aLhtRIRM7NZdCqtPQ4,"[u'point_of_interest', u'establishment']"
0,43.722822,4.786327,Andreux Bernard,ChIJq1r5u6PhtRIRVTjXc2pkUvA,"[u'point_of_interest', u'establishment']"
0,43.721723,4.804197,Maussane-les-Alpilles,ChIJLYk1ooThtRIRpQGEzEX71bE,"[u'locality', u'political']"
0,43.708683,4.799324,Chambres d'hôtes - Clos de l'Acacia,ChIJV6k2RO3htRIRSRPVRwEbvo8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7147786,4.7878933,Le Castillon,ChIJD5fy173htRIR4N1r6IbDgEk,"[u'point_of_interest', u'establishment']"
