,Latitude,Longitude,Name,Place_id,Type
0,43.384147,5.577433,Peypin,ChIJDW-Fti2YyRIRAAGX_aUZCAQ,"[u'locality', u'political']"
0,43.391084,5.573804,L'Atelier Arts et Forme,ChIJO8Zu3M2ZyRIRz2MJO0Yp5_0,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.384244,5.5776116,Mairie,ChIJB0JphzOYyRIR6vGVRe1sCNM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.391452,5.57393,NJ Esthétique,ChIJTS-n2M2ZyRIRFJ0L2QW-8Lw,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.3848207,5.5783597,Agence du Sud Peypin,ChIJ5209kTSYyRIRTL0iQBcpQGI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.384428,5.576703,iriscouleur.com,ChIJmS9AIXeXyRIR0lsUkZIsHfI,"[u'store', u'point_of_interest', u'establishment']"
0,43.3842512,5.5776495,Caisse d'Epargne Peypin,ChIJU2aygTSYyRIR2GbeGbv8TG4,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.3843123,5.5777855,Pharmacie le Pilon du Roi,ChIJce8sijSYyRIR9AYl3mgYMg0,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3834683,5.5771887,Mairie,ChIJO7kIhjOYyRIRTmYZE9m3rTw,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.384021,5.577396,Marie Courand - Psychologue,ChIJ0w4-gDOYyRIRIQBVs3upNj8,"[u'health', u'point_of_interest', u'establishment']"
0,43.3854807,5.5695841,NATIE BEAUTEE,ChIJHdTW4SyYyRIR3t6ZEi5RAv0,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.384365,5.5773912,Post Office,ChIJO7kIhjOYyRIRu84GbTWB49E,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.3841038,5.5785936,"Cabinet dentaire des Docteurs Plaça, Dumont et Aubut",ChIJR2cpijSYyRIRCDJbjzMtM0c,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.3838042,5.5773422,Hôtel Le Jardin des Chats,ChIJlUfofzOYyRIRaiKSm4kFeHo,"[u'point_of_interest', u'establishment']"
0,43.3843321,5.577495,Mairie Centrale (0),ChIJoy2BBnqXyRIRjpykp-7dF_8,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.383875,5.578879,Studio le labo,ChIJlbB4WkqYyRIRDlZleVk2MDY,"[u'point_of_interest', u'establishment']"
0,43.38439,5.57767,Chianese Lydia,ChIJxWvRgzSYyRIRD65uHCb17dg,"[u'point_of_interest', u'establishment']"
0,43.3843032,5.5777003,Dyneff S.a.s.,ChIJxWvRgzSYyRIRzKYpCVE3ryg,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.3863023,5.5722127,Eve JAUME,ChIJj13YqTKYyRIRczuEYYlnkFI,"[u'point_of_interest', u'establishment']"
0,43.3855099,5.571024,L'Escaillon,ChIJC5Psai2YyRIR9OgO7Qxynb4,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.38439,5.57767,Exister,ChIJxWvRgzSYyRIRTFmhY556aJY,"[u'point_of_interest', u'establishment']"
0,43.3848886,5.569409,PLOMBIÊR Martin,ChIJ0QP_ci2YyRIRfe26Cl4TWlM,"[u'point_of_interest', u'establishment']"
0,43.3842832,5.5760095,L2b Conseil,ChIJyRT_CjOYyRIRMXkDWggk-cw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3845704,5.5772344,Mairie,ChIJZ0qNfDOYyRIROKWBV7LioMU,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3891809,5.5670308,Monsieur Philippe Lespinats,ChIJBccUndOZyRIRCCyEak1cQY0,"[u'point_of_interest', u'establishment']"
0,43.385496,5.5772395,Commune de Peypin Mairie,ChIJj17rXjOYyRIRFFgIwa2d-WM,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3841586,5.578323,Automatisme Sevuirte Main,ChIJvyQqijSYyRIRbDbCZ-wsTjk,"[u'point_of_interest', u'establishment']"
0,43.3894273,5.5673096,Bringuier Philippe,ChIJw5odgtOZyRIRdPTALL9ohv8,"[u'point_of_interest', u'establishment']"
0,43.3841038,5.5785936,Cordaix,ChIJM0UpijSYyRIRctw_OANi2xQ,"[u'point_of_interest', u'establishment']"
